,group,variable,month,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,atencion odontologica, periodoncias,2014-01-01,2,20,2,20,22
"COLCHA ""K""",atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
COLLANA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
COLOMI,atencion odontologica, periodoncias,2014-01-01,0,10,0,10,10
COLPA BELGICA,atencion odontologica, periodoncias,2014-01-01,0,13,0,13,13
COLQUECHACA,atencion odontologica, periodoncias,2014-01-01,1,15,1,15,16
COLQUIRI,atencion odontologica, periodoncias,2014-01-01,3,0,3,0,3
COMARAPA,atencion odontologica, periodoncias,2014-01-01,3,10,3,10,13
CONCEPCION,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
COPACABANA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
CORIPATA,atencion odontologica, periodoncias,2014-01-01,0,7,0,7,7
CORO CORO,atencion odontologica, periodoncias,2014-01-01,3,3,3,3,6
COROICO,atencion odontologica, periodoncias,2014-01-01,8,8,8,8,16
COTAGAITA,atencion odontologica, periodoncias,2014-01-01,6,12,6,12,18
COTOCA,atencion odontologica, periodoncias,2014-01-01,2,5,2,5,7
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-01-01,1,6,1,6,7
CUEVO,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
CULPINA,atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
DESAGUADERO,atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
EL ALTO,atencion odontologica, periodoncias,2014-01-01,338,390,338,390,728
EL PUENTE(STC),atencion odontologica, periodoncias,2014-01-01,2,2,2,2,4
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
EL TORNO,atencion odontologica, periodoncias,2014-01-01,16,42,16,42,58
EL VILLAR,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-01-01,9,8,9,8,17
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-01-01,1,22,1,22,23
ESCOMA,atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
EUCALIPTUS,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
FILADELFIA,atencion odontologica, periodoncias,2014-01-01,1,4,1,4,5
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-01-01,1,12,1,12,13
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-01-01,1,8,1,8,9
GUANAY,atencion odontologica, periodoncias,2014-01-01,9,12,9,12,21
GUAYARAMERIN,atencion odontologica, periodoncias,2014-01-01,32,66,32,66,98
GUTIERREZ,atencion odontologica, periodoncias,2014-01-01,0,8,0,8,8
HUACAYA (VILLA DE HUACAYA),atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
HUACHACALLA,atencion odontologica, periodoncias,2014-01-01,3,9,3,9,12
HUARACAJE,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
HUARINA,atencion odontologica, periodoncias,2014-01-01,0,5,0,5,5
HUATAJATA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-01-01,2,4,2,4,6
HUMANATA,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
ICLA,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
INGAVI (HUMAITA),atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
INQUISIVI,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
JESUS DE MACHACA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
LA ASUNTA,atencion odontologica, periodoncias,2014-01-01,1,6,1,6,7
LA GUARDIA,atencion odontologica, periodoncias,2014-01-01,8,28,8,28,36
LA PAZ,atencion odontologica, periodoncias,2014-01-01,474,686,474,686,1160
LAJA,atencion odontologica, periodoncias,2014-01-01,3,2,3,2,5
LAS CARRERAS,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
LLALLAGUA,atencion odontologica, periodoncias,2014-01-01,2,11,2,11,13
LURIBAY,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
MACHACAMARCA,atencion odontologica, periodoncias,2014-01-01,0,5,0,5,5
MACHARETI,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
MAGDALENA,atencion odontologica, periodoncias,2014-01-01,9,11,9,11,20
MAPIRI,atencion odontologica, periodoncias,2014-01-01,3,6,3,6,9
MECAPACA,atencion odontologica, periodoncias,2014-01-01,3,4,3,4,7
MINEROS,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
MIZQUE,atencion odontologica, periodoncias,2014-01-01,2,32,2,32,34
MOCOMOCO,atencion odontologica, periodoncias,2014-01-01,0,3,0,3,3
MOJOCOYA,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
MONTEAGUDO,atencion odontologica, periodoncias,2014-01-01,7,21,7,21,28
MONTERO,atencion odontologica, periodoncias,2014-01-01,27,45,27,45,72
MOROCHATA,atencion odontologica, periodoncias,2014-01-01,1,19,1,19,20
OKINAWA,atencion odontologica, periodoncias,2014-01-01,1,4,1,4,5
OMEREQUE,atencion odontologica, periodoncias,2014-01-01,3,4,3,4,7
ORURO,atencion odontologica, periodoncias,2014-01-01,132,134,132,134,266
PADCAYA,atencion odontologica, periodoncias,2014-01-01,8,27,8,27,35
PADILLA,atencion odontologica, periodoncias,2014-01-01,4,7,4,7,11
PAILON,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
PALCA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
PALOS BLANCOS,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
PAMPA AULLAGAS,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
PAMPA GRANDE,atencion odontologica, periodoncias,2014-01-01,0,5,0,5,5
PAPEL PAMPA,atencion odontologica, periodoncias,2014-01-01,2,5,2,5,7
PATACAMAYA,atencion odontologica, periodoncias,2014-01-01,9,8,9,8,17
PAZÑA,atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
PELECHUCO,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
POCOATA,atencion odontologica, periodoncias,2014-01-01,0,9,0,9,9
POCONA,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
POJO (CBBA),atencion odontologica, periodoncias,2014-01-01,7,15,7,15,22
POOPO,atencion odontologica, periodoncias,2014-01-01,7,11,7,11,18
POROMA,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
PORONGO,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
PORTACHUELO,atencion odontologica, periodoncias,2014-01-01,1,7,1,7,8
PORVENIR,atencion odontologica, periodoncias,2014-01-01,33,27,33,27,60
POTOSI,atencion odontologica, periodoncias,2014-01-01,74,164,74,164,238
PRESTO,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
PUCARANI,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
PUERTO ACOSTA,atencion odontologica, periodoncias,2014-01-01,2,1,2,1,3
PUERTO CARABUCO,atencion odontologica, periodoncias,2014-01-01,24,4,24,4,28
PUERTO RICO,atencion odontologica, periodoncias,2014-01-01,1,4,1,4,5
PUERTO SUAREZ,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
PUERTO VILLARROEL,atencion odontologica, periodoncias,2014-01-01,4,26,4,26,30
PUNA,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
PUNATA,atencion odontologica, periodoncias,2014-01-01,3,17,3,17,20
QUIABAYA,atencion odontologica, periodoncias,2014-01-01,1,4,1,4,5
QUILLACOLLO,atencion odontologica, periodoncias,2014-01-01,51,118,51,118,169
QUIME,atencion odontologica, periodoncias,2014-01-01,5,6,5,6,11
QUIRUSILLAS,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
RAVELO,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
REYES,atencion odontologica, periodoncias,2014-01-01,11,15,11,15,26
RIBERALTA,atencion odontologica, periodoncias,2014-01-01,37,204,37,204,241
ROBORE,atencion odontologica, periodoncias,2014-01-01,2,2,2,2,4
RURRENABAQUE,atencion odontologica, periodoncias,2014-01-01,2,3,2,3,5
SABAYA,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
SACABA,atencion odontologica, periodoncias,2014-01-01,50,76,50,76,126
SACABAMBA,atencion odontologica, periodoncias,2014-01-01,0,5,0,5,5
SACACA,atencion odontologica, periodoncias,2014-01-01,9,22,9,22,31
SAIPINA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
SALINAS DE GARCI MENDOZA,atencion odontologica, periodoncias,2014-01-01,1,3,1,3,4
SAMAIPATA,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
SAN ANDRES,atencion odontologica, periodoncias,2014-01-01,0,5,0,5,5
SAN ANDRES DE MACHACA,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
SAN BORJA,atencion odontologica, periodoncias,2014-01-01,12,20,12,20,32
SAN BUENA VENTURA,atencion odontologica, periodoncias,2014-01-01,5,3,5,3,8
SAN CARLOS,atencion odontologica, periodoncias,2014-01-01,3,2,3,2,5
SAN IGNACIO,atencion odontologica, periodoncias,2014-01-01,30,61,30,61,91
SAN IGNACIO DE VELASCO,atencion odontologica, periodoncias,2014-01-01,2,4,2,4,6
SAN JAVIER(BNI),atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
SAN JAVIER(STC),atencion odontologica, periodoncias,2014-01-01,4,5,4,5,9
SAN JULIAN,atencion odontologica, periodoncias,2014-01-01,8,26,8,26,34
SAN LORENZO(TJA),atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
SAN LUCAS,atencion odontologica, periodoncias,2014-01-01,6,17,6,17,23
SAN MIGUEL DE VELASCO,atencion odontologica, periodoncias,2014-01-01,6,10,6,10,16
SAN PEDRO,atencion odontologica, periodoncias,2014-01-01,0,3,0,3,3
SAN PEDRO DE BUENA VISTA,atencion odontologica, periodoncias,2014-01-01,1,3,1,3,4
SAN RAFAEL,atencion odontologica, periodoncias,2014-01-01,10,26,10,26,36
SAN RAMON SCZ,atencion odontologica, periodoncias,2014-01-01,6,10,6,10,16
SANTA CRUZ DE LA SIERRA,atencion odontologica, periodoncias,2014-01-01,851,1532,851,1532,2383
SANTA ROSA,atencion odontologica, periodoncias,2014-01-01,3,1,3,1,4
SANTA ROSA DEL SARA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
SANTIAGO DE HUARI,atencion odontologica, periodoncias,2014-01-01,1,11,1,11,12
SANTIAGO DE HUATA,atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
SANTIAGO DE MACHACA,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
SANTIVAÑES,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
SAPAHAQUI,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
SHINAOTA,atencion odontologica, periodoncias,2014-01-01,2,5,2,5,7
SICA SICA (VILLA AROMA),atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
SICAYA,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
SIPE SIPE,atencion odontologica, periodoncias,2014-01-01,20,42,20,42,62
SOPACHUY,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
SORACACHI,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
SORATA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
SUCRE,atencion odontologica, periodoncias,2014-01-01,201,360,201,360,561
TACACHI,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
TACOPAYA,atencion odontologica, periodoncias,2014-01-01,2,1,2,1,3
TAPACARI,atencion odontologica, periodoncias,2014-01-01,2,3,2,3,5
TARABUCO,atencion odontologica, periodoncias,2014-01-01,2,14,2,14,16
TARATA,atencion odontologica, periodoncias,2014-01-01,1,7,1,7,8
TARIJA,atencion odontologica, periodoncias,2014-01-01,161,192,161,192,353
TARVITA,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
TEOPONTE,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
TIAWANACU,atencion odontologica, periodoncias,2014-01-01,3,2,3,2,5
TINGUIPAYA,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
TIQUIPAYA,atencion odontologica, periodoncias,2014-01-01,14,58,14,58,72
TIRAQUE (CBBA),atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
TOCO,atencion odontologica, periodoncias,2014-01-01,1,8,1,8,9
TOLATA,atencion odontologica, periodoncias,2014-01-01,2,11,2,11,13
TOMINA,atencion odontologica, periodoncias,2014-01-01,4,14,4,14,18
TORO TORO,atencion odontologica, periodoncias,2014-01-01,3,15,3,15,18
TOTORA(CBBA),atencion odontologica, periodoncias,2014-01-01,2,2,2,2,4
TOTORA(ORR),atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
TRIGAL,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
TRINIDAD,atencion odontologica, periodoncias,2014-01-01,44,59,44,59,103
TUPIZA,atencion odontologica, periodoncias,2014-01-01,16,7,16,7,23
TURCO,atencion odontologica, periodoncias,2014-01-01,0,3,0,3,3
UNCIA,atencion odontologica, periodoncias,2014-01-01,5,7,5,7,12
URIONDO (A. CONCEPCION),atencion odontologica, periodoncias,2014-01-01,0,7,0,7,7
URUBICHA,atencion odontologica, periodoncias,2014-01-01,1,5,1,5,6
VACAS,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
VALLEGRANDE,atencion odontologica, periodoncias,2014-01-01,0,15,0,15,15
VIACHA,atencion odontologica, periodoncias,2014-01-01,13,11,13,11,24
VILA VILA,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
VILLA CHARCAS,atencion odontologica, periodoncias,2014-01-01,3,3,3,3,6
VILLA MONTES,atencion odontologica, periodoncias,2014-01-01,22,37,22,37,59
VILLA RIVERO,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
VILLA SERRANO,atencion odontologica, periodoncias,2014-01-01,1,4,1,4,5
VILLA TUNARI,atencion odontologica, periodoncias,2014-01-01,13,48,13,48,61
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, periodoncias,2014-01-01,4,5,4,5,9
VILLAZON,atencion odontologica, periodoncias,2014-01-01,0,5,0,5,5
VINTO,atencion odontologica, periodoncias,2014-01-01,2,32,2,32,34
VITICHI,atencion odontologica, periodoncias,2014-01-01,1,3,1,3,4
WARNES,atencion odontologica, periodoncias,2014-01-01,16,24,16,24,40
YACUIBA,atencion odontologica, periodoncias,2014-01-01,21,27,21,27,48
YAMPARAEZ,atencion odontologica, periodoncias,2014-01-01,0,9,0,9,9
YAPACANI,atencion odontologica, periodoncias,2014-01-01,7,14,7,14,21
YOCALLA,atencion odontologica, periodoncias,2014-01-01,2,7,2,7,9
YOTALA,atencion odontologica, periodoncias,2014-01-01,0,9,0,9,9
YUNCHARA,atencion odontologica, periodoncias,2014-01-01,2,10,2,10,12
ZUDAÑEZ,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
ACACIO,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
ACHACACHI,atencion odontologica, periodoncias,2014-02-01,1,5,1,5,6
ACHOCALLA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
AIQUILE,atencion odontologica, periodoncias,2014-02-01,17,14,17,14,31
ALALAY,atencion odontologica, periodoncias,2014-02-01,0,3,0,3,3
ALCALA,atencion odontologica, periodoncias,2014-02-01,0,6,0,6,6
ALTO BENI,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
ANTEQUERA,atencion odontologica, periodoncias,2014-02-01,1,2,1,2,3
ANZALDO,atencion odontologica, periodoncias,2014-02-01,3,4,3,4,7
ARAMPAMPA,atencion odontologica, periodoncias,2014-02-01,0,2,0,2,2
ARANI,atencion odontologica, periodoncias,2014-02-01,0,9,0,9,9
ARBIETO,atencion odontologica, periodoncias,2014-02-01,3,24,3,24,27
ARQUE,atencion odontologica, periodoncias,2014-02-01,0,4,0,4,4
ATOCHA,atencion odontologica, periodoncias,2014-02-01,21,45,21,45,66
AUCAPATA,atencion odontologica, periodoncias,2014-02-01,1,3,1,3,4
AYATA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, periodoncias,2014-02-01,5,15,5,15,20
AZURDUY,atencion odontologica, periodoncias,2014-02-01,1,1,1,1,2
BELEN DE URMIRI,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
BERMEJO,atencion odontologica, periodoncias,2014-02-01,43,64,43,64,107
BETANZOS,atencion odontologica, periodoncias,2014-02-01,8,7,8,7,15
CABEZAS,atencion odontologica, periodoncias,2014-02-01,42,42,42,42,84
CAIROMA,atencion odontologica, periodoncias,2014-02-01,0,2,0,2,2
"CAIZA ""D""",atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CAJUATA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CALACOTO,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CALAMARCA,atencion odontologica, periodoncias,2014-02-01,2,2,2,2,4
CAMARGO,atencion odontologica, periodoncias,2014-02-01,1,1,1,1,2
CAMIRI,atencion odontologica, periodoncias,2014-02-01,29,48,29,48,77
CAPINOTA,atencion odontologica, periodoncias,2014-02-01,15,34,15,34,49
CARACOLLO,atencion odontologica, periodoncias,2014-02-01,2,11,2,11,13
CARANAVI,atencion odontologica, periodoncias,2014-02-01,41,38,41,38,79
CARAPARI,atencion odontologica, periodoncias,2014-02-01,10,12,10,12,22
CARIPUYO,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-02-01,10,29,10,29,39
CHALLAPATA,atencion odontologica, periodoncias,2014-02-01,9,5,9,5,14
CHARAGUA,atencion odontologica, periodoncias,2014-02-01,1,2,1,2,3
CHAYANTA,atencion odontologica, periodoncias,2014-02-01,1,3,1,3,4
CHIMORE,atencion odontologica, periodoncias,2014-02-01,1,1,1,1,2
CHIPAYA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CHUA COCANI,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-02-01,2,4,2,4,6
CHUMA,atencion odontologica, periodoncias,2014-02-01,1,10,1,10,11
CKOCHAS,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CLIZA,atencion odontologica, periodoncias,2014-02-01,9,35,9,35,44
COBIJA,atencion odontologica, periodoncias,2014-02-01,6,25,6,25,31
COCAPATA,atencion odontologica, periodoncias,2014-02-01,0,17,0,17,17
COCHABAMBA,atencion odontologica, periodoncias,2014-02-01,725,1077,725,1077,1802
COIPASA,atencion odontologica, periodoncias,2014-02-01,2,5,2,5,7
COLCAPIRHUA,atencion odontologica, periodoncias,2014-02-01,0,15,0,15,15
"COLCHA ""K""",atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
COLOMI,atencion odontologica, periodoncias,2014-02-01,0,11,0,11,11
COLPA BELGICA,atencion odontologica, periodoncias,2014-02-01,1,10,1,10,11
COLQUECHACA,atencion odontologica, periodoncias,2014-02-01,2,8,2,8,10
COLQUENCHA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
COLQUIRI,atencion odontologica, periodoncias,2014-02-01,3,5,3,5,8
COMARAPA,atencion odontologica, periodoncias,2014-02-01,5,7,5,7,12
CONCEPCION,atencion odontologica, periodoncias,2014-02-01,1,4,1,4,5
COPACABANA,atencion odontologica, periodoncias,2014-02-01,5,9,5,9,14
CORIPATA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
CORO CORO,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
COTAGAITA,atencion odontologica, periodoncias,2014-02-01,16,21,16,21,37
COTOCA,atencion odontologica, periodoncias,2014-02-01,1,6,1,6,7
CUATRO CAÑADAS,atencion odontologica, periodoncias,2014-02-01,3,5,3,5,8
CUEVO,atencion odontologica, periodoncias,2014-02-01,2,3,2,3,5
CULPINA,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
CURAHUARA DE CARANGAS,atencion odontologica, periodoncias,2014-02-01,1,2,1,2,3
CURVA,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
EL ALTO,atencion odontologica, periodoncias,2014-02-01,188,310,188,310,498
EL PUENTE(STC),atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, periodoncias,2014-02-01,2,2,2,2,4
EL TORNO,atencion odontologica, periodoncias,2014-02-01,12,43,12,43,55
EL VILLAR,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
ENTRE RIOS TRJ,atencion odontologica, periodoncias,2014-02-01,2,7,2,7,9
ENTRE RIOS CBBA,atencion odontologica, periodoncias,2014-02-01,0,30,0,30,30
ESCOMA,atencion odontologica, periodoncias,2014-02-01,6,0,6,0,6
EUCALIPTUS,atencion odontologica, periodoncias,2014-02-01,1,7,1,7,8
FERNANDEZ ALONSO,atencion odontologica, periodoncias,2014-02-01,1,2,1,2,3
GENERAL SAAVEDRA,atencion odontologica, periodoncias,2014-02-01,0,8,0,8,8
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, periodoncias,2014-02-01,0,4,0,4,4
GUANAY,atencion odontologica, periodoncias,2014-02-01,10,10,10,10,20
GUAQUI,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
GUAYARAMERIN,atencion odontologica, periodoncias,2014-02-01,42,96,42,96,138
GUTIERREZ,atencion odontologica, periodoncias,2014-02-01,0,4,0,4,4
HUANUNI,atencion odontologica, periodoncias,2014-02-01,2,2,2,2,4
HUARACAJE,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
HUARINA,atencion odontologica, periodoncias,2014-02-01,0,2,0,2,2
HUATAJATA,atencion odontologica, periodoncias,2014-02-01,0,2,0,2,2
HUAYLLAMARCA,atencion odontologica, periodoncias,2014-02-01,0,12,0,12,12
HUMANATA,atencion odontologica, periodoncias,2014-02-01,2,1,2,1,3
ICLA,atencion odontologica, periodoncias,2014-02-01,1,1,1,1,2
INCAHUASI,atencion odontologica, periodoncias,2014-02-01,1,0,1,0,1
INQUISIVI,atencion odontologica, periodoncias,2014-02-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),atencion odontologica, periodoncias,2014-02-01,0,5,0,5,5
JESUS DE MACHACA,atencion odontologica, periodoncias,2014-02-01,2,5,2,5,7
LA ASUNTA,atencion odontologica, periodoncias,2014-02-01,5,6,5,6,11
LA GUARDIA,atencion odontologica, periodoncias,2014-02-01,16,36,16,36,52
LA PAZ,atencion odontologica, periodoncias,2014-02-01,530,800,530,800,1330
LA RIVERA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
LLALLAGUA,atencion odontologica, periodoncias,2014-02-01,2,17,2,17,19
LURIBAY,atencion odontologica, periodoncias,2014-02-01,0,3,0,3,3
MACHACAMARCA,atencion odontologica, periodoncias,2014-02-01,0,1,0,1,1
