,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,10,9,10,19
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,9,9,9,18
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,2,3,2,5
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,128,151,128,151,279
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,26,50,26,50,76
CHARAÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,4,6,4,10
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,43,28,43,28,71
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,2,0,2,2
CHUA COCANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,2,10,2,12
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,22,11,22,33
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,62,63,62,63,125
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,98,215,98,215,313
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,14,10,14,24
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3507,5448,3507,5448,8955
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,4,10,4,14
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,115,210,115,210,325
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,3,6,3,9
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,17,23,17,23,40
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,29,8,29,8,37
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,105,135,105,135,240
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,22,28,22,28,50
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,3,2,3,5
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,13,9,13,22
COMANCHE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,3,0,3,3
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,20,22,20,22,42
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,8,5,8,13
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,8,11,8,19
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,3,3,3,6
CORQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,6,0,6,6
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,173,218,173,218,391
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,113,135,113,135,248
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,90,78,90,78,168
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,11,8,11,19
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,19,9,19,28
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,0,1,0,1
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,28,10,28,38
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,22,15,22,15,37
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2252,2940,2252,2940,5192
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,18,30,18,30,48
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,25,11,25,36
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,17,8,17,8,25
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,78,128,78,128,206
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,4,3,4,7
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,70,117,70,117,187
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,246,348,246,348,594
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,2,0,2,2
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,0,8,0,8
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,14,6,14,20
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,5,2,5,7
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,2,5,2,7
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,60,133,60,133,193
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,25,41,25,41,66
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,34,43,34,43,77
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,266,276,266,276,542
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,39,5,39,44
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,10,0,10,10
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,11,12,11,23
HUACHACALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,15,2,15,17
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,135,174,135,174,309
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,4,9,4,9,13
HUARINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,10,5,10,15
HUATAJATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,21,8,21,29
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,14,17,14,17,31
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,2,2,2,4
ICHOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,10,10,10,20
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,64,104,64,104,168
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,7,20,7,20,27
INGAVI (HUMAITA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,1,3,1,4
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,7,16,7,16,23
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,14,5,14,19
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,49,25,49,25,74
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,85,180,85,180,265
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2587,1710,2587,1710,4297
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,7,6,7,6,13
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,3,1,3,4
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,57,87,57,87,144
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,14,8,14,22
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,38,26,38,26,64
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,23,30,23,30,53
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,32,27,32,27,59
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,15,43,15,43,58
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,10,5,10,15
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,22,10,22,10,32
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,4,0,4,0,4
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,12,5,12,17
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,93,74,93,74,167
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,195,201,195,201,396
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,13,16,13,16,29
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,70,133,70,133,203
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,3,6,3,9
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,9,5,9,14
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,7,5,7,12
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,633,739,633,739,1372
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,45,52,45,52,97
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,36,43,36,43,79
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,64,57,64,57,121
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,33,30,33,30,63
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,32,43,32,43,75
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,6,6,6,12
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,37,33,37,33,70
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,15,6,15,6,21
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,8,1,8,9
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,97,160,97,160,257
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,80,71,80,71,151
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,12,9,12,21
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,26,20,26,20,46
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,16,20,16,20,36
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,49,36,49,36,85
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,20,5,20,25
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,15,15,15,15,30
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,7,18,7,18,25
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,21,32,21,32,53
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,5,9,5,14
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,27,34,27,34,61
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,299,377,299,377,676
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,13,24,13,24,37
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,14,16,14,16,30
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,14,11,14,25
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,1,1,1,2
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,6,6,6,12
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,16,6,16,22
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,9,3,9,12
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,41,61,41,61,102
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,100,66,100,66,166
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,1,3,1,4
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,37,85,37,85,122
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,4,2,4,2,6
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,524,727,524,727,1251
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,23,48,23,48,71
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,2,0,2,2
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,4,8,4,8,12
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,23,50,23,50,73
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,95,362,95,362,457
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,13,0,13,13
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,52,62,52,62,114
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,5,6,5,11
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,435,570,435,570,1005
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,7,2,7,9
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,27,74,27,74,101
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,7,5,7,5,12
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,50,62,50,62,112
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,23,17,23,17,40
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,2,0,2,2
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,14,31,14,31,45
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,11,10,11,21
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,3,5,3,8
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,12,8,12,20
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,20,18,20,18,38
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,5,3,5,8
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,14,15,14,15,29
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,122,227,122,227,349
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,41,53,41,53,94
SAN JAVIER(BNI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,1,0,1,1
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,17,9,17,26
SAN JOAQUIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,15,4,15,4,19
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,1,5,1,6
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,5,5,5,10
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,37,91,37,91,128
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,3,0,3,3
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,37,78,37,78,115
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,18,12,18,30
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,8,0,8,8
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,11,9,11,20
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,10,12,10,22
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,5,10,5,15
SAN PEDRO DE QUEMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,12,6,12,18
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,26,10,26,36
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,1,1,1,2
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,20,10,20,30
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,79,157,79,157,236
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3724,5312,3724,5312,9036
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,10,6,10,16
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,24,44,24,44,68
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,108,212,108,212,320
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,14,12,14,26
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,6,12,6,18
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,2,1,2,3
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,2,0,2,2
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,17,67,17,67,84
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,10,8,10,18
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,17,5,17,22
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,59,172,59,172,231
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,19,39,19,39,58
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,3,3,3,3,6
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,25,40,25,40,65
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,966,1173,966,1173,2139
TACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,1,1,1,2
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,7,6,7,13
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,11,2,11,13
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,33,26,33,26,59
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,60,74,60,74,134
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,39,35,39,35,74
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,42,84,42,84,126
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,494,789,494,789,1283
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,26,29,26,29,55
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,6,1,6,7
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,20,5,20,25
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,6,4,6,4,10
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,13,1,13,14
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,533,826,533,826,1359
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,13,15,13,15,28
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,21,38,21,38,59
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,24,24,24,24,48
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,2,2,2,2,4
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,18,5,18,5,23
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,7,16,7,16,23
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,16,6,16,6,22
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,13,25,13,25,38
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,14,0,14,14
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,14,17,14,17,31
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,167,220,167,220,387
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,40,26,40,26,66
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,16,16,16,16,32
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,117,180,117,180,297
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,73,144,73,144,217
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,5,1,5,6
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,15,10,15,10,25
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,19,45,19,45,64
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,89,96,89,96,185
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,69,67,69,67,136
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,185,239,185,239,424
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,10,10,10,20
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,27,32,27,32,59
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,18,26,18,26,44
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,257,396,257,396,653
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,27,58,27,58,85
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,154,290,154,290,444
