,group,variable,month,TOTAL 3.5 CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTAL 3.5 CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
CAMIRI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,95,0,95,95
CAPINOTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,22,0,22,22
CAQUIAVIRI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,31,0,31,31
CARACOLLO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,161,0,161,161
CARANAVI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,42,0,42,42
CARAPARI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
CARIPUYO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
CATACORA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,125,0,125,125
CHAQUI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
CHARAGUA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,57,0,57,57
CHARAÑA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
CHAYANTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,3,0,3,3
CHIMORE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,110,0,110,110
CHIPAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
CHUA COCANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,32,0,32,32
CHUMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,22,0,22,22
CKOCHAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,3,0,3,3
CLIZA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,94,0,94,94
COBIJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,325,0,325,325
COCAPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,44,0,44,44
COCHABAMBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1424,0,1424,1424
COIPASA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
COLCAPIRHUA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,328,0,328,328
"COLCHA ""K""",atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
COLLANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,17,0,17,17
COLOMI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,53,0,53,53
COLPA BELGICA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,36,0,36,36
COLQUECHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,52,0,52,52
COLQUENCHA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
COMANCHE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
COMARAPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,55,0,55,55
CONCEPCION,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,16,0,16,16
COPACABANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,5,0,5,5
CORIPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
CORO CORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,12,0,12,12
COROICO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,12,0,12,12
CORQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
COTAGAITA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,39,0,39,39
COTOCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,155,0,155,155
CUATRO CAÑADAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,62,0,62,62
CUEVO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,13,0,13,13
CULPINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,18,0,18,18
CURVA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,3,0,3,3
DESAGUADERO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
EL ALTO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1100,0,1100,1100
EL CHORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,41,0,41,41
EL PUENTE(STC),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,24,0,24,24
EL PUENTE(TJA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,4,0,4,4
EL TORNO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,39,0,39,39
EL VILLAR,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,24,0,24,24
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,118,0,118,118
EUCALIPTUS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,4,0,4,4
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,12,0,12,12
FILADELFIA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,38,0,38,38
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,107,0,107,107
GUANAY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,16,0,16,16
GUAQUI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,23,0,23,23
GUAYARAMERIN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,137,0,137,137
GUTIERREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,54,0,54,54
HUACARETA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,74,0,74,74
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
HUACHACALLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,4,0,4,4
HUANUNI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,37,0,37,37
HUARACAJE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,19,0,19,19
HUARINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,3,0,3,3
HUATAJATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
HUAYLLAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,21,0,21,21
HUMANATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,3,0,3,3
ICLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
INCAHUASI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
INGAVI (HUMAITA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,5,0,5,5
INQUISIVI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,52,0,52,52
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,32,0,32,32
IXIAMAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
JESUS DE MACHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
LA ASUNTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,43,0,43,43
LA GUARDIA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,132,0,132,132
LA PAZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1028,0,1028,1028
LAGUNILLAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
LAJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
LAS CARRERAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
LLALLAGUA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,149,0,149,149
MACHACAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
MACHARETI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
MAGDALENA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
MAPIRI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,35,0,35,35
MECAPACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
MINEROS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,13,0,13,13
MIZQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,26,0,26,26
MOCOMOCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
MOJOCOYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
MONTEAGUDO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,173,0,173,173
MONTERO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,141,0,141,141
MORO MORO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,17,0,17,17
MOROCHATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,143,0,143,143
OCURI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,26,0,26,26
OKINAWA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
ORURO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,356,0,356,356
PADCAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
PADILLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
PAILON,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,73,0,73,73
PALCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,50,0,50,50
PALOS BLANCOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,58,0,58,58
PAMPA AULLAGAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
PAMPA GRANDE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,51,0,51,51
PAPEL PAMPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,35,0,35,35
PASORAPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
PATACAMAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,44,0,44,44
PAZÑA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
PELECHUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,25,0,25,25
POCOATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,61,0,61,61
POCONA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,44,0,44,44
POJO (CBBA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,37,0,37,37
POOPO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,29,0,29,29
PORCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,29,0,29,29
POROMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
PORONGO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,5,0,5,5
PORTACHUELO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,29,0,29,29
PORVENIR,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,4,0,4,4
POSTRER VALLE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,27,0,27,27
POTOSI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,551,0,551,551
PRESTO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,45,0,45,45
PUCARANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
PUERTO ACOSTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
PUERTO CARABUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,13,0,13,13
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,16,0,16,16
PUERTO PEREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
PUERTO QUIJARRO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,74,0,74,74
PUERTO RICO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,28,0,28,28
PUERTO SUAREZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,27,0,27,27
PUERTO VILLARROEL,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,54,0,54,54
PUNA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,5,0,5,5
PUNATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,108,0,108,108
QUIABAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
QUILLACOLLO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,291,0,291,291
QUIME,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,56,0,56,56
RAVELO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,45,0,45,45
REYES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
RIBERALTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,303,0,303,303
RURRENABAQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,17,0,17,17
SACABA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,349,0,349,349
SACABAMBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,23,0,23,23
SACACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,37,0,37,37
SAIPINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,25,0,25,25
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,59,0,59,59
SAMAIPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,39,0,39,39
SAN AGUSTIN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
SAN ANDRES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,8,0,8,8
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,23,0,23,23
SAN BENITO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
SAN BORJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,19,0,19,19
SAN BUENA VENTURA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,21,0,21,21
SAN CARLOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,21,0,21,21
SAN IGNACIO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,52,0,52,52
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,54,0,54,54
SAN JAVIER(BNI),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
SAN JAVIER(STC),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,16,0,16,16
SAN JOAQUIN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,50,0,50,50
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,29,0,29,29
SAN JULIAN,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,50,0,50,50
SAN LORENZO(PND),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
SAN LORENZO(TJA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
SAN LUCAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,68,0,68,68
SAN MATIAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,26,0,26,26
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
SAN PEDRO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,23,0,23,23
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,34,0,34,34
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
SAN RAFAEL,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,5,0,5,5
SAN RAMON BENI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,19,0,19,19
SAN RAMON SCZ,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,20,0,20,20
SANTA ANA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,82,0,82,82
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2725,0,2725,2725
SANTA ROSA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,24,0,24,24
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,7,0,7,7
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,12,0,12,12
SANTIVAÑES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
SAPAHAQUI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
SENA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
SHINAOTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,74,0,74,74
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,12,0,12,12
SICAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,25,0,25,25
SIPE SIPE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,268,0,268,268
SOPACHUY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,30,0,30,30
SORACACHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,21,0,21,21
SORATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,72,0,72,72
SUCRE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1166,0,1166,1166
TACACOMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,12,0,12,12
TACOBAMBA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,11,0,11,11
TACOPAYA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,25,0,25,25
TAPACARI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,36,0,36,36
TARABUCO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,71,0,71,71
TARACO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,16,0,16,16
TARATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,22,0,22,22
TARIJA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,100,0,100,100
TARVITA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,62,0,62,62
TEOPONTE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,5,0,5,5
