,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAÑA,atencion odontologica, primera consulta,2014-01-01,14,17,14,17,31
CHAYANTA,atencion odontologica, primera consulta,2014-01-01,18,32,18,32,50
CHIMORE,atencion odontologica, primera consulta,2014-01-01,92,149,92,149,241
CHIPAYA,atencion odontologica, primera consulta,2014-01-01,8,16,8,16,24
CHOQUE COTA,atencion odontologica, primera consulta,2014-01-01,14,6,14,6,20
CHUA COCANI,atencion odontologica, primera consulta,2014-01-01,10,5,10,5,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-01-01,48,69,48,69,117
CHUMA,atencion odontologica, primera consulta,2014-01-01,88,122,88,122,210
CKOCHAS,atencion odontologica, primera consulta,2014-01-01,2,9,2,9,11
CLIZA,atencion odontologica, primera consulta,2014-01-01,79,75,79,75,154
COBIJA,atencion odontologica, primera consulta,2014-01-01,233,308,233,308,541
COCAPATA,atencion odontologica, primera consulta,2014-01-01,19,41,19,41,60
COCHABAMBA,atencion odontologica, primera consulta,2014-01-01,1780,2453,1780,2453,4233
COIPASA,atencion odontologica, primera consulta,2014-01-01,4,6,4,6,10
COLCAPIRHUA,atencion odontologica, primera consulta,2014-01-01,62,104,62,104,166
"COLCHA ""K""",atencion odontologica, primera consulta,2014-01-01,36,42,36,42,78
COLLANA,atencion odontologica, primera consulta,2014-01-01,38,76,38,76,114
COLOMI,atencion odontologica, primera consulta,2014-01-01,42,42,42,42,84
COLPA BELGICA,atencion odontologica, primera consulta,2014-01-01,24,43,24,43,67
COLQUECHACA,atencion odontologica, primera consulta,2014-01-01,110,163,110,163,273
COLQUENCHA,atencion odontologica, primera consulta,2014-01-01,10,9,10,9,19
COLQUIRI,atencion odontologica, primera consulta,2014-01-01,49,72,49,72,121
COMANCHE,atencion odontologica, primera consulta,2014-01-01,10,21,10,21,31
COMARAPA,atencion odontologica, primera consulta,2014-01-01,46,69,46,69,115
CONCEPCION,atencion odontologica, primera consulta,2014-01-01,22,31,22,31,53
COPACABANA,atencion odontologica, primera consulta,2014-01-01,73,82,73,82,155
CORIPATA,atencion odontologica, primera consulta,2014-01-01,19,20,19,20,39
CORO CORO,atencion odontologica, primera consulta,2014-01-01,29,54,29,54,83
COROICO,atencion odontologica, primera consulta,2014-01-01,3,10,3,10,13
CORQUE,atencion odontologica, primera consulta,2014-01-01,21,38,21,38,59
COTAGAITA,atencion odontologica, primera consulta,2014-01-01,319,236,319,236,555
COTOCA,atencion odontologica, primera consulta,2014-01-01,87,155,87,155,242
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-01-01,193,239,193,239,432
CUEVO,atencion odontologica, primera consulta,2014-01-01,57,98,57,98,155
CULPINA,atencion odontologica, primera consulta,2014-01-01,59,8,59,8,67
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-01-01,10,15,10,15,25
CURVA,atencion odontologica, primera consulta,2014-01-01,21,37,21,37,58
DESAGUADERO,atencion odontologica, primera consulta,2014-01-01,83,79,83,79,162
EL ALTO,atencion odontologica, primera consulta,2014-01-01,2827,3740,2827,3740,6567
EL CHORO,atencion odontologica, primera consulta,2014-01-01,7,14,7,14,21
EL PUENTE(STC),atencion odontologica, primera consulta,2014-01-01,32,55,32,55,87
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-01-01,93,192,93,192,285
EL TORNO,atencion odontologica, primera consulta,2014-01-01,197,328,197,328,525
EL VILLAR,atencion odontologica, primera consulta,2014-01-01,12,32,12,32,44
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-01-01,200,441,200,441,641
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-01-01,59,131,59,131,190
ESCOMA,atencion odontologica, primera consulta,2014-01-01,30,83,30,83,113
EUCALIPTUS,atencion odontologica, primera consulta,2014-01-01,28,44,28,44,72
FERNANDEZ ALONSO,atencion odontologica, primera consulta,2014-01-01,28,45,28,45,73
FILADELFIA,atencion odontologica, primera consulta,2014-01-01,20,34,20,34,54
GENERAL SAAVEDRA,atencion odontologica, primera consulta,2014-01-01,75,88,75,88,163
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, primera consulta,2014-01-01,108,150,108,150,258
GUANAY,atencion odontologica, primera consulta,2014-01-01,63,86,63,86,149
GUAQUI,atencion odontologica, primera consulta,2014-01-01,65,119,65,119,184
GUAYARAMERIN,atencion odontologica, primera consulta,2014-01-01,396,477,396,477,873
GUTIERREZ,atencion odontologica, primera consulta,2014-01-01,139,185,139,185,324
HUACARETA,atencion odontologica, primera consulta,2014-01-01,40,96,40,96,136
HUACAYA (VILLA DE HUACAYA),atencion odontologica, primera consulta,2014-01-01,36,52,36,52,88
HUACHACALLA,atencion odontologica, primera consulta,2014-01-01,51,49,51,49,100
HUANUNI,atencion odontologica, primera consulta,2014-01-01,151,204,151,204,355
HUARACAJE,atencion odontologica, primera consulta,2014-01-01,18,29,18,29,47
HUATAJATA,atencion odontologica, primera consulta,2014-01-01,26,58,26,58,84
HUAYLLAMARCA,atencion odontologica, primera consulta,2014-01-01,45,75,45,75,120
HUMANATA,atencion odontologica, primera consulta,2014-01-01,58,69,58,69,127
ICHOCA,atencion odontologica, primera consulta,2014-01-01,46,52,46,52,98
ICLA,atencion odontologica, primera consulta,2014-01-01,74,100,74,100,174
INCAHUASI,atencion odontologica, primera consulta,2014-01-01,18,50,18,50,68
INGAVI (HUMAITA),atencion odontologica, primera consulta,2014-01-01,17,15,17,15,32
INQUISIVI,atencion odontologica, primera consulta,2014-01-01,59,78,59,78,137
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-01-01,103,147,103,147,250
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-01-01,62,142,62,142,204
LA ASUNTA,atencion odontologica, primera consulta,2014-01-01,148,200,148,200,348
LA GUARDIA,atencion odontologica, primera consulta,2014-01-01,149,243,149,243,392
LA PAZ,atencion odontologica, primera consulta,2014-01-01,4084,5430,4084,5430,9514
LAGUNILLAS,atencion odontologica, primera consulta,2014-01-01,30,27,30,27,57
LAJA,atencion odontologica, primera consulta,2014-01-01,68,112,68,112,180
LAS CARRERAS,atencion odontologica, primera consulta,2014-01-01,16,54,16,54,70
LLALLAGUA,atencion odontologica, primera consulta,2014-01-01,170,253,170,253,423
LURIBAY,atencion odontologica, primera consulta,2014-01-01,5,7,5,7,12
MACHACAMARCA,atencion odontologica, primera consulta,2014-01-01,17,37,17,37,54
MACHARETI,atencion odontologica, primera consulta,2014-01-01,1,2,1,2,3
MAGDALENA,atencion odontologica, primera consulta,2014-01-01,37,55,37,55,92
MAPIRI,atencion odontologica, primera consulta,2014-01-01,105,134,105,134,239
MECAPACA,atencion odontologica, primera consulta,2014-01-01,54,93,54,93,147
MINEROS,atencion odontologica, primera consulta,2014-01-01,25,41,25,41,66
MIZQUE,atencion odontologica, primera consulta,2014-01-01,39,47,39,47,86
MOCOMOCO,atencion odontologica, primera consulta,2014-01-01,52,56,52,56,108
MOJOCOYA,atencion odontologica, primera consulta,2014-01-01,46,78,46,78,124
MONTEAGUDO,atencion odontologica, primera consulta,2014-01-01,140,195,140,195,335
MONTERO,atencion odontologica, primera consulta,2014-01-01,214,333,214,333,547
MORO MORO,atencion odontologica, primera consulta,2014-01-01,46,51,46,51,97
MOROCHATA,atencion odontologica, primera consulta,2014-01-01,48,89,48,89,137
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, primera consulta,2014-01-01,11,9,11,9,20
OCURI,atencion odontologica, primera consulta,2014-01-01,41,97,41,97,138
OKINAWA,atencion odontologica, primera consulta,2014-01-01,24,56,24,56,80
OMEREQUE,atencion odontologica, primera consulta,2014-01-01,5,7,5,7,12
ORURO,atencion odontologica, primera consulta,2014-01-01,979,1481,979,1481,2460
PADCAYA,atencion odontologica, primera consulta,2014-01-01,84,186,84,186,270
PADILLA,atencion odontologica, primera consulta,2014-01-01,86,77,86,77,163
PAILON,atencion odontologica, primera consulta,2014-01-01,97,144,97,144,241
PALCA,atencion odontologica, primera consulta,2014-01-01,59,62,59,62,121
PALOS BLANCOS,atencion odontologica, primera consulta,2014-01-01,93,173,93,173,266
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-01-01,23,22,23,22,45
PAMPA GRANDE,atencion odontologica, primera consulta,2014-01-01,38,78,38,78,116
PAPEL PAMPA,atencion odontologica, primera consulta,2014-01-01,35,48,35,48,83
PASORAPA,atencion odontologica, primera consulta,2014-01-01,19,26,19,26,45
PATACAMAYA,atencion odontologica, primera consulta,2014-01-01,59,111,59,111,170
PAZÑA,atencion odontologica, primera consulta,2014-01-01,36,43,36,43,79
PELECHUCO,atencion odontologica, primera consulta,2014-01-01,38,49,38,49,87
POCOATA,atencion odontologica, primera consulta,2014-01-01,34,19,34,19,53
POCONA,atencion odontologica, primera consulta,2014-01-01,59,96,59,96,155
POJO (CBBA),atencion odontologica, primera consulta,2014-01-01,53,109,53,109,162
POOPO,atencion odontologica, primera consulta,2014-01-01,34,30,34,30,64
PORCO,atencion odontologica, primera consulta,2014-01-01,42,75,42,75,117
POROMA,atencion odontologica, primera consulta,2014-01-01,19,34,19,34,53
PORONGO,atencion odontologica, primera consulta,2014-01-01,26,31,26,31,57
PORTACHUELO,atencion odontologica, primera consulta,2014-01-01,62,118,62,118,180
PORVENIR,atencion odontologica, primera consulta,2014-01-01,127,112,127,112,239
POSTRER VALLE,atencion odontologica, primera consulta,2014-01-01,38,41,38,41,79
POTOSI,atencion odontologica, primera consulta,2014-01-01,790,1313,790,1313,2103
PRESTO,atencion odontologica, primera consulta,2014-01-01,26,41,26,41,67
PUCARA,atencion odontologica, primera consulta,2014-01-01,78,14,78,14,92
PUCARANI,atencion odontologica, primera consulta,2014-01-01,71,95,71,95,166
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-01-01,153,172,153,172,325
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-01-01,19,43,19,43,62
PUERTO PEREZ,atencion odontologica, primera consulta,2014-01-01,7,14,7,14,21
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-01-01,82,44,82,44,126
PUERTO RICO,atencion odontologica, primera consulta,2014-01-01,58,93,58,93,151
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-01-01,18,23,18,23,41
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-01-01,103,148,103,148,251
PUNA,atencion odontologica, primera consulta,2014-01-01,24,27,24,27,51
PUNATA,atencion odontologica, primera consulta,2014-01-01,51,86,51,86,137
QUIABAYA,atencion odontologica, primera consulta,2014-01-01,41,60,41,60,101
QUILLACOLLO,atencion odontologica, primera consulta,2014-01-01,136,293,136,293,429
QUIME,atencion odontologica, primera consulta,2014-01-01,93,157,93,157,250
QUIRUSILLAS,atencion odontologica, primera consulta,2014-01-01,3,4,3,4,7
RAVELO,atencion odontologica, primera consulta,2014-01-01,105,121,105,121,226
REYES,atencion odontologica, primera consulta,2014-01-01,10,26,10,26,36
RIBERALTA,atencion odontologica, primera consulta,2014-01-01,250,695,250,695,945
ROBORE,atencion odontologica, primera consulta,2014-01-01,99,89,99,89,188
RURRENABAQUE,atencion odontologica, primera consulta,2014-01-01,48,61,48,61,109
SABAYA,atencion odontologica, primera consulta,2014-01-01,32,40,32,40,72
SACABA,atencion odontologica, primera consulta,2014-01-01,273,494,273,494,767
SACABAMBA,atencion odontologica, primera consulta,2014-01-01,11,19,11,19,30
SACACA,atencion odontologica, primera consulta,2014-01-01,72,92,72,92,164
SAIPINA,atencion odontologica, primera consulta,2014-01-01,33,63,33,63,96
SALINAS DE GARCI MENDOZA,atencion odontologica, primera consulta,2014-01-01,64,87,64,87,151
SAMAIPATA,atencion odontologica, primera consulta,2014-01-01,51,63,51,63,114
SAN AGUSTIN,atencion odontologica, primera consulta,2014-01-01,2,1,2,1,3
SAN ANDRES,atencion odontologica, primera consulta,2014-01-01,30,49,30,49,79
SAN ANDRES DE MACHACA,atencion odontologica, primera consulta,2014-01-01,16,27,16,27,43
SAN ANTONIO DE ESMORUCO,atencion odontologica, primera consulta,2014-01-01,1,6,1,6,7
SAN ANTONIO DE LOMERIO,atencion odontologica, primera consulta,2014-01-01,24,57,24,57,81
SAN BENITO,atencion odontologica, primera consulta,2014-01-01,4,10,4,10,14
SAN BORJA,atencion odontologica, primera consulta,2014-01-01,55,66,55,66,121
SAN BUENA VENTURA,atencion odontologica, primera consulta,2014-01-01,51,61,51,61,112
SAN CARLOS,atencion odontologica, primera consulta,2014-01-01,84,119,84,119,203
SAN IGNACIO,atencion odontologica, primera consulta,2014-01-01,300,434,300,434,734
SAN IGNACIO DE VELASCO,atencion odontologica, primera consulta,2014-01-01,249,380,249,380,629
SAN JAVIER(STC),atencion odontologica, primera consulta,2014-01-01,45,64,45,64,109
SAN JOAQUIN,atencion odontologica, primera consulta,2014-01-01,16,17,16,17,33
SAN JOSE DE CHIQUITOS,atencion odontologica, primera consulta,2014-01-01,91,186,91,186,277
SAN JUAN DE YAPACANI,atencion odontologica, primera consulta,2014-01-01,55,157,55,157,212
SAN JULIAN,atencion odontologica, primera consulta,2014-01-01,99,202,99,202,301
SAN LORENZO(PND),atencion odontologica, primera consulta,2014-01-01,5,13,5,13,18
SAN LORENZO(TJA),atencion odontologica, primera consulta,2014-01-01,197,409,197,409,606
SAN LUCAS,atencion odontologica, primera consulta,2014-01-01,129,227,129,227,356
SAN MATIAS,atencion odontologica, primera consulta,2014-01-01,22,37,22,37,59
SAN MIGUEL DE VELASCO,atencion odontologica, primera consulta,2014-01-01,39,81,39,81,120
SAN PABLO DE LIPEZ,atencion odontologica, primera consulta,2014-01-01,8,12,8,12,20
SAN PEDRO,atencion odontologica, primera consulta,2014-01-01,92,184,92,184,276
SAN PEDRO DE BUENA VISTA,atencion odontologica, primera consulta,2014-01-01,38,68,38,68,106
SAN PEDRO DE QUEMES,atencion odontologica, primera consulta,2014-01-01,9,21,9,21,30
SAN PEDRO DE TIQUINA,atencion odontologica, primera consulta,2014-01-01,22,53,22,53,75
SAN RAFAEL,atencion odontologica, primera consulta,2014-01-01,10,26,10,26,36
SAN RAMON BENI,atencion odontologica, primera consulta,2014-01-01,33,52,33,52,85
SAN RAMON SCZ,atencion odontologica, primera consulta,2014-01-01,106,171,106,171,277
SANTA ANA,atencion odontologica, primera consulta,2014-01-01,122,219,122,219,341
SANTA CRUZ DE LA SIERRA,atencion odontologica, primera consulta,2014-01-01,5104,7577,5104,7577,12681
SANTA ROSA,atencion odontologica, primera consulta,2014-01-01,6,8,6,8,14
SANTA ROSA DEL SARA,atencion odontologica, primera consulta,2014-01-01,92,162,92,162,254
SANTIAGO DE CALLAPA,atencion odontologica, primera consulta,2014-01-01,2,6,2,6,8
SANTIAGO DE HUARI,atencion odontologica, primera consulta,2014-01-01,83,103,83,103,186
SANTIAGO DE HUATA,atencion odontologica, primera consulta,2014-01-01,16,16,16,16,32
SANTIAGO DE MACHACA,atencion odontologica, primera consulta,2014-01-01,55,150,55,150,205
SANTIVAÑES,atencion odontologica, primera consulta,2014-01-01,22,24,22,24,46
SANTUARIO DE QUILLACAS,atencion odontologica, primera consulta,2014-01-01,13,3,13,3,16
SAPAHAQUI,atencion odontologica, primera consulta,2014-01-01,46,32,46,32,78
SENA,atencion odontologica, primera consulta,2014-01-01,18,50,18,50,68
SHINAOTA,atencion odontologica, primera consulta,2014-01-01,30,74,30,74,104
SICA SICA (VILLA AROMA),atencion odontologica, primera consulta,2014-01-01,78,89,78,89,167
SICAYA,atencion odontologica, primera consulta,2014-01-01,12,59,12,59,71
SIPE SIPE,atencion odontologica, primera consulta,2014-01-01,136,253,136,253,389
SOPACHUY,atencion odontologica, primera consulta,2014-01-01,48,86,48,86,134
SORACACHI,atencion odontologica, primera consulta,2014-01-01,31,43,31,43,74
SORATA,atencion odontologica, primera consulta,2014-01-01,37,60,37,60,97
SUCRE,atencion odontologica, primera consulta,2014-01-01,1845,3125,1845,3125,4970
TACACHI,atencion odontologica, primera consulta,2014-01-01,2,2,2,2,4
TACACOMA,atencion odontologica, primera consulta,2014-01-01,32,25,32,25,57
TACOBAMBA,atencion odontologica, primera consulta,2014-01-01,5,23,5,23,28
TACOPAYA,atencion odontologica, primera consulta,2014-01-01,16,57,16,57,73
TAHUA,atencion odontologica, primera consulta,2014-01-01,5,4,5,4,9
TAPACARI,atencion odontologica, primera consulta,2014-01-01,63,67,63,67,130
TARABUCO,atencion odontologica, primera consulta,2014-01-01,100,152,100,152,252
TARACO,atencion odontologica, primera consulta,2014-01-01,54,49,54,49,103
TARATA,atencion odontologica, primera consulta,2014-01-01,40,84,40,84,124
TARIJA,atencion odontologica, primera consulta,2014-01-01,1550,2260,1550,2260,3810
TARVITA,atencion odontologica, primera consulta,2014-01-01,86,138,86,138,224
TEOPONTE,atencion odontologica, primera consulta,2014-01-01,28,50,28,50,78
TIAWANACU,atencion odontologica, primera consulta,2014-01-01,74,189,74,189,263
TINGUIPAYA,atencion odontologica, primera consulta,2014-01-01,19,28,19,28,47
TIPUANI,atencion odontologica, primera consulta,2014-01-01,29,37,29,37,66
TIQUIPAYA,atencion odontologica, primera consulta,2014-01-01,290,437,290,437,727
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-01-01,37,119,37,119,156
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-01-01,17,11,17,11,28
TOCO,atencion odontologica, primera consulta,2014-01-01,23,50,23,50,73
TOLATA,atencion odontologica, primera consulta,2014-01-01,28,43,28,43,71
TOLEDO,atencion odontologica, primera consulta,2014-01-01,6,16,6,16,22
TOMAVE,atencion odontologica, primera consulta,2014-01-01,37,63,37,63,100
TOMINA,atencion odontologica, primera consulta,2014-01-01,40,83,40,83,123
TORO TORO,atencion odontologica, primera consulta,2014-01-01,35,69,35,69,104
TOTORA(CBBA),atencion odontologica, primera consulta,2014-01-01,90,135,90,135,225
TRIGAL,atencion odontologica, primera consulta,2014-01-01,24,28,24,28,52
TRINIDAD,atencion odontologica, primera consulta,2014-01-01,527,683,527,683,1210
TUPIZA,atencion odontologica, primera consulta,2014-01-01,117,163,117,163,280
TURCO,atencion odontologica, primera consulta,2014-01-01,35,47,35,47,82
UMALA,atencion odontologica, primera consulta,2014-01-01,27,30,27,30,57
UNCIA,atencion odontologica, primera consulta,2014-01-01,101,167,101,167,268
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-01-01,192,325,192,325,517
URUBICHA,atencion odontologica, primera consulta,2014-01-01,25,48,25,48,73
UYUNI,atencion odontologica, primera consulta,2014-01-01,153,209,153,209,362
VACAS,atencion odontologica, primera consulta,2014-01-01,45,89,45,89,134
VALLEGRANDE,atencion odontologica, primera consulta,2014-01-01,173,234,173,234,407
VIACHA,atencion odontologica, primera consulta,2014-01-01,183,284,183,284,467
VILA VILA,atencion odontologica, primera consulta,2014-01-01,9,12,9,12,21
VILLA CHARCAS,atencion odontologica, primera consulta,2014-01-01,28,48,28,48,76
VILLA MONTES,atencion odontologica, primera consulta,2014-01-01,466,839,466,839,1305
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-01-01,15,20,15,20,35
VILLA RIVERO,atencion odontologica, primera consulta,2014-01-01,22,40,22,40,62
VILLA SERRANO,atencion odontologica, primera consulta,2014-01-01,70,122,70,122,192
VILLA TUNARI,atencion odontologica, primera consulta,2014-01-01,203,308,203,308,511
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-01-01,62,86,62,86,148
VILLAZON,atencion odontologica, primera consulta,2014-01-01,100,197,100,197,297
VINTO,atencion odontologica, primera consulta,2014-01-01,83,292,83,292,375
VITICHI,atencion odontologica, primera consulta,2014-01-01,26,72,26,72,98
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-01-01,21,30,21,30,51
WARNES,atencion odontologica, primera consulta,2014-01-01,84,147,84,147,231
YACO,atencion odontologica, primera consulta,2014-01-01,15,18,15,18,33
YACUIBA,atencion odontologica, primera consulta,2014-01-01,317,680,317,680,997
YAMPARAEZ,atencion odontologica, primera consulta,2014-01-01,89,138,89,138,227
YAPACANI,atencion odontologica, primera consulta,2014-01-01,138,203,138,203,341
YOCALLA,atencion odontologica, primera consulta,2014-01-01,27,40,27,40,67
YOTALA,atencion odontologica, primera consulta,2014-01-01,23,60,23,60,83
YUNCHARA,atencion odontologica, primera consulta,2014-01-01,83,159,83,159,242
ZUDAÑEZ,atencion odontologica, primera consulta,2014-01-01,13,47,13,47,60
ACACIO,atencion odontologica, primera consulta,2014-02-01,21,38,21,38,59
ACHACACHI,atencion odontologica, primera consulta,2014-02-01,86,135,86,135,221
ACHOCALLA,atencion odontologica, primera consulta,2014-02-01,88,150,88,150,238
AIQUILE,atencion odontologica, primera consulta,2014-02-01,68,81,68,81,149
ALALAY,atencion odontologica, primera consulta,2014-02-01,1,2,1,2,3
ALCALA,atencion odontologica, primera consulta,2014-02-01,26,47,26,47,73
ALTO BENI,atencion odontologica, primera consulta,2014-02-01,24,48,24,48,72
ANCORAIMES,atencion odontologica, primera consulta,2014-02-01,29,39,29,39,68
ANDAMARCA,atencion odontologica, primera consulta,2014-02-01,26,39,26,39,65
ANTEQUERA,atencion odontologica, primera consulta,2014-02-01,24,26,24,26,50
ANZALDO,atencion odontologica, primera consulta,2014-02-01,45,68,45,68,113
APOLO,atencion odontologica, primera consulta,2014-02-01,11,17,11,17,28
ARAMPAMPA,atencion odontologica, primera consulta,2014-02-01,35,44,35,44,79
ARANI,atencion odontologica, primera consulta,2014-02-01,16,32,16,32,48
ARBIETO,atencion odontologica, primera consulta,2014-02-01,33,75,33,75,108
ARQUE,atencion odontologica, primera consulta,2014-02-01,58,76,58,76,134
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-02-01,68,108,68,108,176
ATOCHA,atencion odontologica, primera consulta,2014-02-01,218,321,218,321,539
AUCAPATA,atencion odontologica, primera consulta,2014-02-01,22,28,22,28,50
AYATA,atencion odontologica, primera consulta,2014-02-01,55,69,55,69,124
AYO AYO,atencion odontologica, primera consulta,2014-02-01,28,50,28,50,78
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-02-01,154,171,154,171,325
AZURDUY,atencion odontologica, primera consulta,2014-02-01,25,45,25,45,70
BATALLAS,atencion odontologica, primera consulta,2014-02-01,12,39,12,39,51
BAURES,atencion odontologica, primera consulta,2014-02-01,18,35,18,35,53
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-02-01,25,17,25,17,42
BELEN DE URMIRI,atencion odontologica, primera consulta,2014-02-01,11,13,11,13,24
BERMEJO,atencion odontologica, primera consulta,2014-02-01,340,507,340,507,847
BETANZOS,atencion odontologica, primera consulta,2014-02-01,104,137,104,137,241
BOLIVAR,atencion odontologica, primera consulta,2014-02-01,13,24,13,24,37
BOLPEBRA,atencion odontologica, primera consulta,2014-02-01,4,2,4,2,6
BUENA VISTA,atencion odontologica, primera consulta,2014-02-01,2,5,2,5,7
CABEZAS,atencion odontologica, primera consulta,2014-02-01,99,145,99,145,244
CAIROMA,atencion odontologica, primera consulta,2014-02-01,66,93,66,93,159
"CAIZA ""D""",atencion odontologica, primera consulta,2014-02-01,25,60,25,60,85
CAJUATA,atencion odontologica, primera consulta,2014-02-01,64,67,64,67,131
CALACOTO,atencion odontologica, primera consulta,2014-02-01,11,18,11,18,29
CALAMARCA,atencion odontologica, primera consulta,2014-02-01,73,113,73,113,186
