,group,variable,month,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CARAPARI,atencion odontologica,otras acciones,2014-01-01,56.0,53.0,56.0,53.0,109.0
CARIPUYO,atencion odontologica,otras acciones,2014-01-01,5.0,1.0,5.0,1.0,6.0
CHALLAPATA,atencion odontologica,otras acciones,2014-01-01,96.0,161.0,96.0,161.0,257.0
CHAQUI,atencion odontologica,otras acciones,2014-01-01,14.0,29.0,14.0,29.0,43.0
CHARAGUA,atencion odontologica,otras acciones,2014-01-01,3.0,10.0,3.0,10.0,13.0
CHAYANTA,atencion odontologica,otras acciones,2014-01-01,6.0,2.0,6.0,2.0,8.0
CHIMORE,atencion odontologica,otras acciones,2014-01-01,31.0,26.0,31.0,26.0,57.0
CHIPAYA,atencion odontologica,otras acciones,2014-01-01,5.0,10.0,5.0,10.0,15.0
CHOQUE COTA,atencion odontologica,otras acciones,2014-01-01,11.0,8.0,11.0,8.0,19.0
CHUA COCANI,atencion odontologica,otras acciones,2014-01-01,6.0,11.0,6.0,11.0,17.0
CHUMA,atencion odontologica,otras acciones,2014-01-01,18.0,26.0,18.0,26.0,44.0
CKOCHAS,atencion odontologica,otras acciones,2014-01-01,2.0,10.0,2.0,10.0,12.0
CLIZA,atencion odontologica,otras acciones,2014-01-01,48.0,47.0,48.0,47.0,95.0
COBIJA,atencion odontologica,otras acciones,2014-01-01,78.0,192.0,78.0,192.0,270.0
COCAPATA,atencion odontologica,otras acciones,2014-01-01,9.0,9.0,9.0,9.0,18.0
COCHABAMBA,atencion odontologica,otras acciones,2014-01-01,1914.0,2370.0,1914.0,2370.0,4284.0
COIPASA,atencion odontologica,otras acciones,2014-01-01,3.0,2.0,3.0,2.0,5.0
COLCAPIRHUA,atencion odontologica,otras acciones,2014-01-01,57.0,146.0,57.0,146.0,203.0
"COLCHA ""K""",atencion odontologica,otras acciones,2014-01-01,16.0,44.0,16.0,44.0,60.0
COLLANA,atencion odontologica,otras acciones,2014-01-01,13.0,22.0,13.0,22.0,35.0
COLOMI,atencion odontologica,otras acciones,2014-01-01,5.0,18.0,5.0,18.0,23.0
COLQUECHACA,atencion odontologica,otras acciones,2014-01-01,49.0,59.0,49.0,59.0,108.0
COLQUIRI,atencion odontologica,otras acciones,2014-01-01,13.0,26.0,13.0,26.0,39.0
COMANCHE,atencion odontologica,otras acciones,2014-01-01,12.0,14.0,12.0,14.0,26.0
COMARAPA,atencion odontologica,otras acciones,2014-01-01,5.0,8.0,5.0,8.0,13.0
COPACABANA,atencion odontologica,otras acciones,2014-01-01,35.0,45.0,35.0,45.0,80.0
CORO CORO,atencion odontologica,otras acciones,2014-01-01,2.0,8.0,2.0,8.0,10.0
COROICO,atencion odontologica,otras acciones,2014-01-01,33.0,20.0,33.0,20.0,53.0
CORQUE,atencion odontologica,otras acciones,2014-01-01,7.0,15.0,7.0,15.0,22.0
COTAGAITA,atencion odontologica,otras acciones,2014-01-01,101.0,217.0,101.0,217.0,318.0
CUATRO CAÑADAS,atencion odontologica,otras acciones,2014-01-01,29.0,76.0,29.0,76.0,105.0
CUEVO,atencion odontologica,otras acciones,2014-01-01,31.0,50.0,31.0,50.0,81.0
CULPINA,atencion odontologica,otras acciones,2014-01-01,12.0,17.0,12.0,17.0,29.0
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2014-01-01,6.0,11.0,6.0,11.0,17.0
DESAGUADERO,atencion odontologica,otras acciones,2014-01-01,23.0,25.0,23.0,25.0,48.0
EL ALTO,atencion odontologica,otras acciones,2014-01-01,1695.0,2333.0,1695.0,2333.0,4028.0
EL CHORO,atencion odontologica,otras acciones,2014-01-01,8.0,23.0,8.0,23.0,31.0
EL PUENTE(STC),atencion odontologica,otras acciones,2014-01-01,12.0,23.0,12.0,23.0,35.0
EL PUENTE(TJA),atencion odontologica,otras acciones,2014-01-01,12.0,16.0,12.0,16.0,28.0
EL TORNO,atencion odontologica,otras acciones,2014-01-01,9.0,22.0,9.0,22.0,31.0
EL VILLAR,atencion odontologica,otras acciones,2014-01-01,0.0,8.0,0.0,8.0,8.0
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2014-01-01,60.0,137.0,60.0,137.0,197.0
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2014-01-01,59.0,154.0,59.0,154.0,213.0
ESCOMA,atencion odontologica,otras acciones,2014-01-01,5.0,8.0,5.0,8.0,13.0
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2014-01-01,23.0,19.0,23.0,19.0,42.0
FILADELFIA,atencion odontologica,otras acciones,2014-01-01,5.0,7.0,5.0,7.0,12.0
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2014-01-01,5.0,18.0,5.0,18.0,23.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2014-01-01,34.0,29.0,34.0,29.0,63.0
GUAQUI,atencion odontologica,otras acciones,2014-01-01,13.0,19.0,13.0,19.0,32.0
GUAYARAMERIN,atencion odontologica,otras acciones,2014-01-01,289.0,285.0,289.0,285.0,574.0
GUTIERREZ,atencion odontologica,otras acciones,2014-01-01,0.0,9.0,0.0,9.0,9.0
HUACARETA,atencion odontologica,otras acciones,2014-01-01,9.0,14.0,9.0,14.0,23.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2014-01-01,17.0,23.0,17.0,23.0,40.0
HUACHACALLA,atencion odontologica,otras acciones,2014-01-01,20.0,19.0,20.0,19.0,39.0
HUANUNI,atencion odontologica,otras acciones,2014-01-01,122.0,198.0,122.0,198.0,320.0
HUARINA,atencion odontologica,otras acciones,2014-01-01,15.0,38.0,15.0,38.0,53.0
HUATAJATA,atencion odontologica,otras acciones,2014-01-01,6.0,11.0,6.0,11.0,17.0
HUAYLLAMARCA,atencion odontologica,otras acciones,2014-01-01,49.0,56.0,49.0,56.0,105.0
HUMANATA,atencion odontologica,otras acciones,2014-01-01,5.0,4.0,5.0,4.0,9.0
ICHOCA,atencion odontologica,otras acciones,2014-01-01,3.0,10.0,3.0,10.0,13.0
ICLA,atencion odontologica,otras acciones,2014-01-01,18.0,39.0,18.0,39.0,57.0
INGAVI (HUMAITA),atencion odontologica,otras acciones,2014-01-01,15.0,7.0,15.0,7.0,22.0
INQUISIVI,atencion odontologica,otras acciones,2014-01-01,5.0,15.0,5.0,15.0,20.0
JESUS DE MACHACA,atencion odontologica,otras acciones,2014-01-01,15.0,28.0,15.0,28.0,43.0
LA GUARDIA,atencion odontologica,otras acciones,2014-01-01,15.0,29.0,15.0,29.0,44.0
LA PAZ,atencion odontologica,otras acciones,2014-01-01,1374.0,1692.0,1374.0,1692.0,3066.0
LAJA,atencion odontologica,otras acciones,2014-01-01,2.0,4.0,2.0,4.0,6.0
LAS CARRERAS,atencion odontologica,otras acciones,2014-01-01,7.0,8.0,7.0,8.0,15.0
LLALLAGUA,atencion odontologica,otras acciones,2014-01-01,110.0,231.0,110.0,231.0,341.0
LURIBAY,atencion odontologica,otras acciones,2014-01-01,6.0,1.0,6.0,1.0,7.0
MACHACAMARCA,atencion odontologica,otras acciones,2014-01-01,24.0,56.0,24.0,56.0,80.0
MACHARETI,atencion odontologica,otras acciones,2014-01-01,6.0,2.0,6.0,2.0,8.0
MAGDALENA,atencion odontologica,otras acciones,2014-01-01,34.0,32.0,34.0,32.0,66.0
MAPIRI,atencion odontologica,otras acciones,2014-01-01,14.0,60.0,14.0,60.0,74.0
MECAPACA,atencion odontologica,otras acciones,2014-01-01,4.0,8.0,4.0,8.0,12.0
MINEROS,atencion odontologica,otras acciones,2014-01-01,17.0,19.0,17.0,19.0,36.0
MIZQUE,atencion odontologica,otras acciones,2014-01-01,13.0,37.0,13.0,37.0,50.0
MOCOMOCO,atencion odontologica,otras acciones,2014-01-01,5.0,8.0,5.0,8.0,13.0
MOJOCOYA,atencion odontologica,otras acciones,2014-01-01,38.0,58.0,38.0,58.0,96.0
MONTEAGUDO,atencion odontologica,otras acciones,2014-01-01,52.0,58.0,52.0,58.0,110.0
MONTERO,atencion odontologica,otras acciones,2014-01-01,18.0,34.0,18.0,34.0,52.0
MORO MORO,atencion odontologica,otras acciones,2014-01-01,1.0,2.0,1.0,2.0,3.0
MOROCHATA,atencion odontologica,otras acciones,2014-01-01,20.0,40.0,20.0,40.0,60.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,otras acciones,2014-01-01,2.0,6.0,2.0,6.0,8.0
OCURI,atencion odontologica,otras acciones,2014-01-01,1.0,10.0,1.0,10.0,11.0
OMEREQUE,atencion odontologica,otras acciones,2014-01-01,5.0,7.0,5.0,7.0,12.0
ORURO,atencion odontologica,otras acciones,2014-01-01,1080.0,1428.0,1080.0,1428.0,2508.0
PADCAYA,atencion odontologica,otras acciones,2014-01-01,67.0,110.0,67.0,110.0,177.0
PADILLA,atencion odontologica,otras acciones,2014-01-01,9.0,27.0,9.0,27.0,36.0
PAILON,atencion odontologica,otras acciones,2014-01-01,19.0,31.0,19.0,31.0,50.0
PALCA,atencion odontologica,otras acciones,2014-01-01,27.0,27.0,27.0,27.0,54.0
PALOS BLANCOS,atencion odontologica,otras acciones,2014-01-01,18.0,18.0,18.0,18.0,36.0
PAMPA AULLAGAS,atencion odontologica,otras acciones,2014-01-01,21.0,18.0,21.0,18.0,39.0
PAMPA GRANDE,atencion odontologica,otras acciones,2014-01-01,21.0,17.0,21.0,17.0,38.0
PAPEL PAMPA,atencion odontologica,otras acciones,2014-01-01,15.0,24.0,15.0,24.0,39.0
PASORAPA,atencion odontologica,otras acciones,2014-01-01,8.0,7.0,8.0,7.0,15.0
PATACAMAYA,atencion odontologica,otras acciones,2014-01-01,55.0,137.0,55.0,137.0,192.0
PAZÑA,atencion odontologica,otras acciones,2014-01-01,12.0,23.0,12.0,23.0,35.0
PELECHUCO,atencion odontologica,otras acciones,2014-01-01,2.0,1.0,2.0,1.0,3.0
POCOATA,atencion odontologica,otras acciones,2014-01-01,26.0,49.0,26.0,49.0,75.0
POCONA,atencion odontologica,otras acciones,2014-01-01,22.0,21.0,22.0,21.0,43.0
POJO (CBBA),atencion odontologica,otras acciones,2014-01-01,55.0,59.0,55.0,59.0,114.0
POOPO,atencion odontologica,otras acciones,2014-01-01,44.0,43.0,44.0,43.0,87.0
PORCO,atencion odontologica,otras acciones,2014-01-01,18.0,33.0,18.0,33.0,51.0
POROMA,atencion odontologica,otras acciones,2014-01-01,3.0,5.0,3.0,5.0,8.0
PORONGO,atencion odontologica,otras acciones,2014-01-01,4.0,1.0,4.0,1.0,5.0
PORTACHUELO,atencion odontologica,otras acciones,2014-01-01,32.0,57.0,32.0,57.0,89.0
PORVENIR,atencion odontologica,otras acciones,2014-01-01,3.0,8.0,3.0,8.0,11.0
POSTRER VALLE,atencion odontologica,otras acciones,2014-01-01,5.0,4.0,5.0,4.0,9.0
POTOSI,atencion odontologica,otras acciones,2014-01-01,546.0,953.0,546.0,953.0,1499.0
PUCARA,atencion odontologica,otras acciones,2014-01-01,2.0,13.0,2.0,13.0,15.0
PUCARANI,atencion odontologica,otras acciones,2014-01-01,38.0,38.0,38.0,38.0,76.0
PUERTO ACOSTA,atencion odontologica,otras acciones,2014-01-01,7.0,9.0,7.0,9.0,16.0
PUERTO CARABUCO,atencion odontologica,otras acciones,2014-01-01,22.0,18.0,22.0,18.0,40.0
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2014-01-01,1.0,6.0,1.0,6.0,7.0
PUERTO RICO,atencion odontologica,otras acciones,2014-01-01,4.0,28.0,4.0,28.0,32.0
PUERTO VILLARROEL,atencion odontologica,otras acciones,2014-01-01,45.0,69.0,45.0,69.0,114.0
PUNA,atencion odontologica,otras acciones,2014-01-01,12.0,19.0,12.0,19.0,31.0
PUNATA,atencion odontologica,otras acciones,2014-01-01,43.0,104.0,43.0,104.0,147.0
QUIABAYA,atencion odontologica,otras acciones,2014-01-01,1.0,3.0,1.0,3.0,4.0
QUILLACOLLO,atencion odontologica,otras acciones,2014-01-01,230.0,209.0,230.0,209.0,439.0
QUIME,atencion odontologica,otras acciones,2014-01-01,78.0,49.0,78.0,49.0,127.0
RAVELO,atencion odontologica,otras acciones,2014-01-01,2.0,4.0,2.0,4.0,6.0
REYES,atencion odontologica,otras acciones,2014-01-01,6.0,13.0,6.0,13.0,19.0
RIBERALTA,atencion odontologica,otras acciones,2014-01-01,31.0,76.0,31.0,76.0,107.0
RURRENABAQUE,atencion odontologica,otras acciones,2014-01-01,15.0,18.0,15.0,18.0,33.0
SABAYA,atencion odontologica,otras acciones,2014-01-01,10.0,23.0,10.0,23.0,33.0
SACABA,atencion odontologica,otras acciones,2014-01-01,133.0,287.0,133.0,287.0,420.0
SACABAMBA,atencion odontologica,otras acciones,2014-01-01,1.0,0.0,1.0,0.0,1.0
SACACA,atencion odontologica,otras acciones,2014-01-01,11.0,15.0,11.0,15.0,26.0
SAIPINA,atencion odontologica,otras acciones,2014-01-01,23.0,30.0,23.0,30.0,53.0
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2014-01-01,29.0,46.0,29.0,46.0,75.0
SAN AGUSTIN,atencion odontologica,otras acciones,2014-01-01,3.0,6.0,3.0,6.0,9.0
SAN ANDRES,atencion odontologica,otras acciones,2014-01-01,3.0,14.0,3.0,14.0,17.0
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2014-01-01,11.0,18.0,11.0,18.0,29.0
SAN ANTONIO DE ESMORUCO,atencion odontologica,otras acciones,2014-01-01,0.0,6.0,0.0,6.0,6.0
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2014-01-01,5.0,5.0,5.0,5.0,10.0
SAN BENITO,atencion odontologica,otras acciones,2014-01-01,3.0,6.0,3.0,6.0,9.0
SAN BORJA,atencion odontologica,otras acciones,2014-01-01,10.0,21.0,10.0,21.0,31.0
SAN CARLOS,atencion odontologica,otras acciones,2014-01-01,5.0,7.0,5.0,7.0,12.0
SAN IGNACIO,atencion odontologica,otras acciones,2014-01-01,62.0,44.0,62.0,44.0,106.0
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2014-01-01,131.0,154.0,131.0,154.0,285.0
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2014-01-01,6.0,12.0,6.0,12.0,18.0
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2014-01-01,2.0,8.0,2.0,8.0,10.0
SAN LORENZO(PND),atencion odontologica,otras acciones,2014-01-01,1.0,1.0,1.0,1.0,2.0
SAN LORENZO(TJA),atencion odontologica,otras acciones,2014-01-01,210.0,357.0,210.0,357.0,567.0
SAN LUCAS,atencion odontologica,otras acciones,2014-01-01,30.0,66.0,30.0,66.0,96.0
SAN MATIAS,atencion odontologica,otras acciones,2014-01-01,0.0,2.0,0.0,2.0,2.0
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2014-01-01,50.0,97.0,50.0,97.0,147.0
SAN PABLO DE LIPEZ,atencion odontologica,otras acciones,2014-01-01,2.0,5.0,2.0,5.0,7.0
SAN PEDRO,atencion odontologica,otras acciones,2014-01-01,18.0,26.0,18.0,26.0,44.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2014-01-01,8.0,12.0,8.0,12.0,20.0
SAN PEDRO DE QUEMES,atencion odontologica,otras acciones,2014-01-01,2.0,5.0,2.0,5.0,7.0
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2014-01-01,6.0,30.0,6.0,30.0,36.0
SAN RAFAEL,atencion odontologica,otras acciones,2014-01-01,3.0,6.0,3.0,6.0,9.0
SANTA ANA,atencion odontologica,otras acciones,2014-01-01,76.0,129.0,76.0,129.0,205.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2014-01-01,626.0,1141.0,626.0,1141.0,1767.0
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2014-01-01,0.0,8.0,0.0,8.0,8.0
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2014-01-01,64.0,68.0,64.0,68.0,132.0
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2014-01-01,4.0,12.0,4.0,12.0,16.0
SANTIVAÑES,atencion odontologica,otras acciones,2014-01-01,13.0,16.0,13.0,16.0,29.0
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2014-01-01,4.0,8.0,4.0,8.0,12.0
SHINAOTA,atencion odontologica,otras acciones,2014-01-01,0.0,1.0,0.0,1.0,1.0
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2014-01-01,5.0,12.0,5.0,12.0,17.0
SICAYA,atencion odontologica,otras acciones,2014-01-01,7.0,27.0,7.0,27.0,34.0
SIPE SIPE,atencion odontologica,otras acciones,2014-01-01,22.0,57.0,22.0,57.0,79.0
SOPACHUY,atencion odontologica,otras acciones,2014-01-01,21.0,42.0,21.0,42.0,63.0
SORACACHI,atencion odontologica,otras acciones,2014-01-01,24.0,22.0,24.0,22.0,46.0
SORATA,atencion odontologica,otras acciones,2014-01-01,9.0,34.0,9.0,34.0,43.0
SUCRE,atencion odontologica,otras acciones,2014-01-01,660.0,998.0,660.0,998.0,1658.0
TACOBAMBA,atencion odontologica,otras acciones,2014-01-01,0.0,5.0,0.0,5.0,5.0
TAHUA,atencion odontologica,otras acciones,2014-01-01,1.0,1.0,1.0,1.0,2.0
TAPACARI,atencion odontologica,otras acciones,2014-01-01,20.0,20.0,20.0,20.0,40.0
TARABUCO,atencion odontologica,otras acciones,2014-01-01,5.0,16.0,5.0,16.0,21.0
TARACO,atencion odontologica,otras acciones,2014-01-01,19.0,20.0,19.0,20.0,39.0
TARATA,atencion odontologica,otras acciones,2014-01-01,8.0,27.0,8.0,27.0,35.0
TARIJA,atencion odontologica,otras acciones,2014-01-01,1047.0,1671.0,1047.0,1671.0,2718.0
TARVITA,atencion odontologica,otras acciones,2014-01-01,16.0,52.0,16.0,52.0,68.0
TIAWANACU,atencion odontologica,otras acciones,2014-01-01,31.0,73.0,31.0,73.0,104.0
TINGUIPAYA,atencion odontologica,otras acciones,2014-01-01,11.0,23.0,11.0,23.0,34.0
TIPUANI,atencion odontologica,otras acciones,2014-01-01,3.0,19.0,3.0,19.0,22.0
TIQUIPAYA,atencion odontologica,otras acciones,2014-01-01,91.0,177.0,91.0,177.0,268.0
TIRAQUE (CBBA),atencion odontologica,otras acciones,2014-01-01,42.0,146.0,42.0,146.0,188.0
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2014-01-01,1.0,1.0,1.0,1.0,2.0
TOCO,atencion odontologica,otras acciones,2014-01-01,3.0,9.0,3.0,9.0,12.0
TOLATA,atencion odontologica,otras acciones,2014-01-01,24.0,29.0,24.0,29.0,53.0
TOMAVE,atencion odontologica,otras acciones,2014-01-01,35.0,67.0,35.0,67.0,102.0
TOMINA,atencion odontologica,otras acciones,2014-01-01,85.0,135.0,85.0,135.0,220.0
TORO TORO,atencion odontologica,otras acciones,2014-01-01,37.0,72.0,37.0,72.0,109.0
TOTORA(CBBA),atencion odontologica,otras acciones,2014-01-01,2.0,5.0,2.0,5.0,7.0
TOTORA(ORR),atencion odontologica,otras acciones,2014-01-01,4.0,14.0,4.0,14.0,18.0
TRIGAL,atencion odontologica,otras acciones,2014-01-01,0.0,3.0,0.0,3.0,3.0
TRINIDAD,atencion odontologica,otras acciones,2014-01-01,95.0,112.0,95.0,112.0,207.0
TUPIZA,atencion odontologica,otras acciones,2014-01-01,12.0,20.0,12.0,20.0,32.0
TURCO,atencion odontologica,otras acciones,2014-01-01,36.0,56.0,36.0,56.0,92.0
UNCIA,atencion odontologica,otras acciones,2014-01-01,21.0,35.0,21.0,35.0,56.0
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2014-01-01,123.0,240.0,123.0,240.0,363.0
URUBICHA,atencion odontologica,otras acciones,2014-01-01,7.0,9.0,7.0,9.0,16.0
VACAS,atencion odontologica,otras acciones,2014-01-01,16.0,38.0,16.0,38.0,54.0
VALLEGRANDE,atencion odontologica,otras acciones,2014-01-01,20.0,42.0,20.0,42.0,62.0
VIACHA,atencion odontologica,otras acciones,2014-01-01,147.0,203.0,147.0,203.0,350.0
VILA VILA,atencion odontologica,otras acciones,2014-01-01,2.0,8.0,2.0,8.0,10.0
VILLA CHARCAS,atencion odontologica,otras acciones,2014-01-01,1.0,7.0,1.0,7.0,8.0
VILLA MONTES,atencion odontologica,otras acciones,2014-01-01,174.0,390.0,174.0,390.0,564.0
VILLA RIVERO,atencion odontologica,otras acciones,2014-01-01,1.0,3.0,1.0,3.0,4.0
VILLA SERRANO,atencion odontologica,otras acciones,2014-01-01,63.0,92.0,63.0,92.0,155.0
VILLA TUNARI,atencion odontologica,otras acciones,2014-01-01,62.0,113.0,62.0,113.0,175.0
VINTO,atencion odontologica,otras acciones,2014-01-01,34.0,44.0,34.0,44.0,78.0
VITICHI,atencion odontologica,otras acciones,2014-01-01,17.0,47.0,17.0,47.0,64.0
WALDO BALLIVIAN,atencion odontologica,otras acciones,2014-01-01,9.0,4.0,9.0,4.0,13.0
WARNES,atencion odontologica,otras acciones,2014-01-01,29.0,20.0,29.0,20.0,49.0
YACO,atencion odontologica,otras acciones,2014-01-01,6.0,5.0,6.0,5.0,11.0
YACUIBA,atencion odontologica,otras acciones,2014-01-01,35.0,107.0,35.0,107.0,142.0
YAMPARAEZ,atencion odontologica,otras acciones,2014-01-01,41.0,84.0,41.0,84.0,125.0
YAPACANI,atencion odontologica,otras acciones,2014-01-01,34.0,52.0,34.0,52.0,86.0
YOCALLA,atencion odontologica,otras acciones,2014-01-01,25.0,41.0,25.0,41.0,66.0
YOTALA,atencion odontologica,otras acciones,2014-01-01,8.0,75.0,8.0,75.0,83.0
YUNCHARA,atencion odontologica,otras acciones,2014-01-01,10.0,31.0,10.0,31.0,41.0
ZUDAÑEZ,atencion odontologica,otras acciones,2014-01-01,8.0,22.0,8.0,22.0,30.0
ACACIO,atencion odontologica,otras acciones,2014-02-01,8.0,7.0,8.0,7.0,15.0
ACHACACHI,atencion odontologica,otras acciones,2014-02-01,59.0,88.0,59.0,88.0,147.0
ACHOCALLA,atencion odontologica,otras acciones,2014-02-01,56.0,75.0,56.0,75.0,131.0
AIQUILE,atencion odontologica,otras acciones,2014-02-01,0.0,2.0,0.0,2.0,2.0
ALALAY,atencion odontologica,otras acciones,2014-02-01,2.0,1.0,2.0,1.0,3.0
ALCALA,atencion odontologica,otras acciones,2014-02-01,13.0,22.0,13.0,22.0,35.0
ALTO BENI,atencion odontologica,otras acciones,2014-02-01,1.0,0.0,1.0,0.0,1.0
ANCORAIMES,atencion odontologica,otras acciones,2014-02-01,4.0,6.0,4.0,6.0,10.0
ANDAMARCA,atencion odontologica,otras acciones,2014-02-01,18.0,11.0,18.0,11.0,29.0
ANTEQUERA,atencion odontologica,otras acciones,2014-02-01,18.0,32.0,18.0,32.0,50.0
ANZALDO,atencion odontologica,otras acciones,2014-02-01,2.0,5.0,2.0,5.0,7.0
APOLO,atencion odontologica,otras acciones,2014-02-01,7.0,15.0,7.0,15.0,22.0
ARAMPAMPA,atencion odontologica,otras acciones,2014-02-01,1.0,1.0,1.0,1.0,2.0
ARANI,atencion odontologica,otras acciones,2014-02-01,5.0,14.0,5.0,14.0,19.0
ARBIETO,atencion odontologica,otras acciones,2014-02-01,3.0,6.0,3.0,6.0,9.0
ARQUE,atencion odontologica,otras acciones,2014-02-01,9.0,15.0,9.0,15.0,24.0
