,group,variable,month,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
CLIZA,atencion odontologica, endodoncias,2014-01-01,20,27,20,27,47
COBIJA,atencion odontologica, endodoncias,2014-01-01,27,34,27,34,61
COCAPATA,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
COCHABAMBA,atencion odontologica, endodoncias,2014-01-01,946,1071,946,1071,2017
COIPASA,atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
COLCAPIRHUA,atencion odontologica, endodoncias,2014-01-01,20,44,20,44,64
"COLCHA ""K""",atencion odontologica, endodoncias,2014-01-01,0,5,0,5,5
COLLANA,atencion odontologica, endodoncias,2014-01-01,0,5,0,5,5
COLOMI,atencion odontologica, endodoncias,2014-01-01,7,4,7,4,11
COLPA BELGICA,atencion odontologica, endodoncias,2014-01-01,2,4,2,4,6
COLQUECHACA,atencion odontologica, endodoncias,2014-01-01,12,19,12,19,31
COLQUIRI,atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
COMANCHE,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
COMARAPA,atencion odontologica, endodoncias,2014-01-01,10,22,10,22,32
CONCEPCION,atencion odontologica, endodoncias,2014-01-01,0,4,0,4,4
COPACABANA,atencion odontologica, endodoncias,2014-01-01,9,3,9,3,12
CORIPATA,atencion odontologica, endodoncias,2014-01-01,7,3,7,3,10
CORO CORO,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
COROICO,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
CORQUE,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
COTAGAITA,atencion odontologica, endodoncias,2014-01-01,44,64,44,64,108
COTOCA,atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-01-01,6,12,6,12,18
CUEVO,atencion odontologica, endodoncias,2014-01-01,7,2,7,2,9
CULPINA,atencion odontologica, endodoncias,2014-01-01,5,0,5,0,5
CURVA,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
EL ALTO,atencion odontologica, endodoncias,2014-01-01,537,703,537,703,1240
EL PUENTE(STC),atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-01-01,5,21,5,21,26
EL TORNO,atencion odontologica, endodoncias,2014-01-01,23,69,23,69,92
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-01-01,11,27,11,27,38
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-01-01,6,19,6,19,25
EUCALIPTUS,atencion odontologica, endodoncias,2014-01-01,2,5,2,5,7
FERNANDEZ ALONSO,atencion odontologica, endodoncias,2014-01-01,6,4,6,4,10
FILADELFIA,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
GENERAL SAAVEDRA,atencion odontologica, endodoncias,2014-01-01,4,24,4,24,28
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, endodoncias,2014-01-01,1,5,1,5,6
GUANAY,atencion odontologica, endodoncias,2014-01-01,10,3,10,3,13
GUAQUI,atencion odontologica, endodoncias,2014-01-01,7,14,7,14,21
GUAYARAMERIN,atencion odontologica, endodoncias,2014-01-01,6,13,6,13,19
GUTIERREZ,atencion odontologica, endodoncias,2014-01-01,0,6,0,6,6
HUACARETA,atencion odontologica, endodoncias,2014-01-01,2,10,2,10,12
HUACAYA (VILLA DE HUACAYA),atencion odontologica, endodoncias,2014-01-01,2,3,2,3,5
HUACHACALLA,atencion odontologica, endodoncias,2014-01-01,6,4,6,4,10
HUANUNI,atencion odontologica, endodoncias,2014-01-01,12,38,12,38,50
HUARACAJE,atencion odontologica, endodoncias,2014-01-01,4,2,4,2,6
HUARINA,atencion odontologica, endodoncias,2014-01-01,4,3,4,3,7
HUATAJATA,atencion odontologica, endodoncias,2014-01-01,4,4,4,4,8
HUAYLLAMARCA,atencion odontologica, endodoncias,2014-01-01,3,9,3,9,12
HUMANATA,atencion odontologica, endodoncias,2014-01-01,7,1,7,1,8
ICLA,atencion odontologica, endodoncias,2014-01-01,4,2,4,2,6
INCAHUASI,atencion odontologica, endodoncias,2014-01-01,4,10,4,10,14
INGAVI (HUMAITA),atencion odontologica, endodoncias,2014-01-01,1,3,1,3,4
INQUISIVI,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
JESUS DE MACHACA,atencion odontologica, endodoncias,2014-01-01,9,4,9,4,13
LA ASUNTA,atencion odontologica, endodoncias,2014-01-01,0,12,0,12,12
LA GUARDIA,atencion odontologica, endodoncias,2014-01-01,11,13,11,13,24
LA PAZ,atencion odontologica, endodoncias,2014-01-01,784,982,784,982,1766
LAGUNILLAS,atencion odontologica, endodoncias,2014-01-01,1,0,1,0,1
LAJA,atencion odontologica, endodoncias,2014-01-01,1,5,1,5,6
LAS CARRERAS,atencion odontologica, endodoncias,2014-01-01,3,3,3,3,6
LLALLAGUA,atencion odontologica, endodoncias,2014-01-01,26,69,26,69,95
LURIBAY,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
MACHACAMARCA,atencion odontologica, endodoncias,2014-01-01,2,7,2,7,9
MAGDALENA,atencion odontologica, endodoncias,2014-01-01,7,22,7,22,29
MAPIRI,atencion odontologica, endodoncias,2014-01-01,12,26,12,26,38
MECAPACA,atencion odontologica, endodoncias,2014-01-01,2,3,2,3,5
MINEROS,atencion odontologica, endodoncias,2014-01-01,1,4,1,4,5
MIZQUE,atencion odontologica, endodoncias,2014-01-01,2,4,2,4,6
MOCOMOCO,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
MOJOCOYA,atencion odontologica, endodoncias,2014-01-01,3,5,3,5,8
MONTEAGUDO,atencion odontologica, endodoncias,2014-01-01,14,26,14,26,40
MONTERO,atencion odontologica, endodoncias,2014-01-01,9,15,9,15,24
MOROCHATA,atencion odontologica, endodoncias,2014-01-01,2,12,2,12,14
OKINAWA,atencion odontologica, endodoncias,2014-01-01,3,2,3,2,5
OMEREQUE,atencion odontologica, endodoncias,2014-01-01,3,1,3,1,4
ORURO,atencion odontologica, endodoncias,2014-01-01,300,347,300,347,647
PADCAYA,atencion odontologica, endodoncias,2014-01-01,4,14,4,14,18
PADILLA,atencion odontologica, endodoncias,2014-01-01,2,6,2,6,8
PAILON,atencion odontologica, endodoncias,2014-01-01,2,3,2,3,5
PALCA,atencion odontologica, endodoncias,2014-01-01,11,14,11,14,25
PALOS BLANCOS,atencion odontologica, endodoncias,2014-01-01,2,5,2,5,7
PAMPA AULLAGAS,atencion odontologica, endodoncias,2014-01-01,4,4,4,4,8
PAMPA GRANDE,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
PAPEL PAMPA,atencion odontologica, endodoncias,2014-01-01,10,16,10,16,26
PASORAPA,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
PATACAMAYA,atencion odontologica, endodoncias,2014-01-01,1,18,1,18,19
PAZÑA,atencion odontologica, endodoncias,2014-01-01,4,8,4,8,12
PELECHUCO,atencion odontologica, endodoncias,2014-01-01,2,0,2,0,2
POCONA,atencion odontologica, endodoncias,2014-01-01,4,3,4,3,7
POJO (CBBA),atencion odontologica, endodoncias,2014-01-01,4,19,4,19,23
POOPO,atencion odontologica, endodoncias,2014-01-01,9,3,9,3,12
PORCO,atencion odontologica, endodoncias,2014-01-01,5,4,5,4,9
POROMA,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
PORONGO,atencion odontologica, endodoncias,2014-01-01,2,0,2,0,2
PORTACHUELO,atencion odontologica, endodoncias,2014-01-01,2,3,2,3,5
PORVENIR,atencion odontologica, endodoncias,2014-01-01,1,7,1,7,8
POTOSI,atencion odontologica, endodoncias,2014-01-01,309,457,309,457,766
PRESTO,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
PUERTO ACOSTA,atencion odontologica, endodoncias,2014-01-01,7,3,7,3,10
PUERTO CARABUCO,atencion odontologica, endodoncias,2014-01-01,12,14,12,14,26
PUERTO GONZALO MORENO,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
PUERTO RICO,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
PUERTO SUAREZ,atencion odontologica, endodoncias,2014-01-01,1,0,1,0,1
PUERTO VILLARROEL,atencion odontologica, endodoncias,2014-01-01,35,28,35,28,63
PUNA,atencion odontologica, endodoncias,2014-01-01,2,0,2,0,2
PUNATA,atencion odontologica, endodoncias,2014-01-01,16,30,16,30,46
QUILLACOLLO,atencion odontologica, endodoncias,2014-01-01,110,132,110,132,242
QUIME,atencion odontologica, endodoncias,2014-01-01,12,11,12,11,23
QUIRUSILLAS,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
RAVELO,atencion odontologica, endodoncias,2014-01-01,1,14,1,14,15
RIBERALTA,atencion odontologica, endodoncias,2014-01-01,3,8,3,8,11
RURRENABAQUE,atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
SABAYA,atencion odontologica, endodoncias,2014-01-01,8,5,8,5,13
SACABA,atencion odontologica, endodoncias,2014-01-01,61,103,61,103,164
SACABAMBA,atencion odontologica, endodoncias,2014-01-01,1,0,1,0,1
SACACA,atencion odontologica, endodoncias,2014-01-01,1,7,1,7,8
SAIPINA,atencion odontologica, endodoncias,2014-01-01,15,13,15,13,28
SALINAS DE GARCI MENDOZA,atencion odontologica, endodoncias,2014-01-01,8,4,8,4,12
SAMAIPATA,atencion odontologica, endodoncias,2014-01-01,1,3,1,3,4
SAN AGUSTIN,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
SAN ANDRES,atencion odontologica, endodoncias,2014-01-01,1,0,1,0,1
SAN ANDRES DE MACHACA,atencion odontologica, endodoncias,2014-01-01,2,3,2,3,5
SAN BORJA,atencion odontologica, endodoncias,2014-01-01,13,10,13,10,23
SAN BUENA VENTURA,atencion odontologica, endodoncias,2014-01-01,3,8,3,8,11
SAN CARLOS,atencion odontologica, endodoncias,2014-01-01,6,5,6,5,11
SAN IGNACIO,atencion odontologica, endodoncias,2014-01-01,8,18,8,18,26
SAN IGNACIO DE VELASCO,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
SAN JAVIER(STC),atencion odontologica, endodoncias,2014-01-01,3,7,3,7,10
SAN JOAQUIN,atencion odontologica, endodoncias,2014-01-01,0,6,0,6,6
SAN JOSE DE CHIQUITOS,atencion odontologica, endodoncias,2014-01-01,3,0,3,0,3
SAN JULIAN,atencion odontologica, endodoncias,2014-01-01,11,62,11,62,73
SAN LORENZO(PND),atencion odontologica, endodoncias,2014-01-01,2,0,2,0,2
SAN LORENZO(TJA),atencion odontologica, endodoncias,2014-01-01,33,47,33,47,80
SAN LUCAS,atencion odontologica, endodoncias,2014-01-01,18,24,18,24,42
SAN MATIAS,atencion odontologica, endodoncias,2014-01-01,3,1,3,1,4
SAN MIGUEL DE VELASCO,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
SAN PABLO DE LIPEZ,atencion odontologica, endodoncias,2014-01-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, endodoncias,2014-01-01,6,13,6,13,19
SAN PEDRO DE BUENA VISTA,atencion odontologica, endodoncias,2014-01-01,13,4,13,4,17
SAN PEDRO DE QUEMES,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
SAN PEDRO DE TIQUINA,atencion odontologica, endodoncias,2014-01-01,4,2,4,2,6
SAN RAFAEL,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
SAN RAMON BENI,atencion odontologica, endodoncias,2014-01-01,14,7,14,7,21
SAN RAMON SCZ,atencion odontologica, endodoncias,2014-01-01,2,3,2,3,5
SANTA ANA,atencion odontologica, endodoncias,2014-01-01,2,4,2,4,6
SANTA CRUZ DE LA SIERRA,atencion odontologica, endodoncias,2014-01-01,703,1324,703,1324,2027
SANTA ROSA,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica, endodoncias,2014-01-01,5,14,5,14,19
SANTIAGO DE HUARI,atencion odontologica, endodoncias,2014-01-01,7,11,7,11,18
SANTIAGO DE HUATA,atencion odontologica, endodoncias,2014-01-01,7,7,7,7,14
SANTIAGO DE MACHACA,atencion odontologica, endodoncias,2014-01-01,3,6,3,6,9
SANTIVAÑES,atencion odontologica, endodoncias,2014-01-01,2,6,2,6,8
SANTUARIO DE QUILLACAS,atencion odontologica, endodoncias,2014-01-01,4,3,4,3,7
SAPAHAQUI,atencion odontologica, endodoncias,2014-01-01,8,0,8,0,8
SHINAOTA,atencion odontologica, endodoncias,2014-01-01,3,5,3,5,8
SICA SICA (VILLA AROMA),atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
SIPE SIPE,atencion odontologica, endodoncias,2014-01-01,36,65,36,65,101
SOPACHUY,atencion odontologica, endodoncias,2014-01-01,4,8,4,8,12
SORACACHI,atencion odontologica, endodoncias,2014-01-01,7,5,7,5,12
SORATA,atencion odontologica, endodoncias,2014-01-01,1,23,1,23,24
SUCRE,atencion odontologica, endodoncias,2014-01-01,358,554,358,554,912
TACOPAYA,atencion odontologica, endodoncias,2014-01-01,0,10,0,10,10
TAPACARI,atencion odontologica, endodoncias,2014-01-01,26,8,26,8,34
TARABUCO,atencion odontologica, endodoncias,2014-01-01,3,6,3,6,9
TARATA,atencion odontologica, endodoncias,2014-01-01,1,5,1,5,6
TARIJA,atencion odontologica, endodoncias,2014-01-01,535,564,535,564,1099
TARVITA,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
TIAWANACU,atencion odontologica, endodoncias,2014-01-01,5,7,5,7,12
TINGUIPAYA,atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
TIPUANI,atencion odontologica, endodoncias,2014-01-01,5,7,5,7,12
TIQUIPAYA,atencion odontologica, endodoncias,2014-01-01,35,43,35,43,78
TIRAQUE (CBBA),atencion odontologica, endodoncias,2014-01-01,3,8,3,8,11
TOCO,atencion odontologica, endodoncias,2014-01-01,2,5,2,5,7
TOLATA,atencion odontologica, endodoncias,2014-01-01,13,6,13,6,19
TOLEDO,atencion odontologica, endodoncias,2014-01-01,3,3,3,3,6
TOMAVE,atencion odontologica, endodoncias,2014-01-01,0,5,0,5,5
TOMINA,atencion odontologica, endodoncias,2014-01-01,7,20,7,20,27
TORO TORO,atencion odontologica, endodoncias,2014-01-01,4,2,4,2,6
TOTORA(CBBA),atencion odontologica, endodoncias,2014-01-01,1,6,1,6,7
TRINIDAD,atencion odontologica, endodoncias,2014-01-01,48,47,48,47,95
TUPIZA,atencion odontologica, endodoncias,2014-01-01,50,57,50,57,107
TURCO,atencion odontologica, endodoncias,2014-01-01,2,6,2,6,8
UNCIA,atencion odontologica, endodoncias,2014-01-01,14,20,14,20,34
URIONDO (A. CONCEPCION),atencion odontologica, endodoncias,2014-01-01,22,65,22,65,87
URUBICHA,atencion odontologica, endodoncias,2014-01-01,2,2,2,2,4
UYUNI,atencion odontologica, endodoncias,2014-01-01,2,16,2,16,18
VACAS,atencion odontologica, endodoncias,2014-01-01,5,9,5,9,14
VALLEGRANDE,atencion odontologica, endodoncias,2014-01-01,18,27,18,27,45
VIACHA,atencion odontologica, endodoncias,2014-01-01,37,32,37,32,69
VILA VILA,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
VILLA CHARCAS,atencion odontologica, endodoncias,2014-01-01,0,3,0,3,3
VILLA MONTES,atencion odontologica, endodoncias,2014-01-01,26,75,26,75,101
VILLA RIVERO,atencion odontologica, endodoncias,2014-01-01,3,4,3,4,7
VILLA SERRANO,atencion odontologica, endodoncias,2014-01-01,5,3,5,3,8
VILLA TUNARI,atencion odontologica, endodoncias,2014-01-01,29,65,29,65,94
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, endodoncias,2014-01-01,1,3,1,3,4
VILLAZON,atencion odontologica, endodoncias,2014-01-01,70,98,70,98,168
VINTO,atencion odontologica, endodoncias,2014-01-01,12,15,12,15,27
VITICHI,atencion odontologica, endodoncias,2014-01-01,5,14,5,14,19
WALDO BALLIVIAN,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
WARNES,atencion odontologica, endodoncias,2014-01-01,5,0,5,0,5
YACUIBA,atencion odontologica, endodoncias,2014-01-01,40,64,40,64,104
YAMPARAEZ,atencion odontologica, endodoncias,2014-01-01,7,7,7,7,14
YAPACANI,atencion odontologica, endodoncias,2014-01-01,21,50,21,50,71
YOCALLA,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
YOTALA,atencion odontologica, endodoncias,2014-01-01,0,7,0,7,7
YUNCHARA,atencion odontologica, endodoncias,2014-01-01,5,12,5,12,17
ZUDAÑEZ,atencion odontologica, endodoncias,2014-01-01,4,2,4,2,6
ACACIO,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
ACHACACHI,atencion odontologica, endodoncias,2014-02-01,10,17,10,17,27
ACHOCALLA,atencion odontologica, endodoncias,2014-02-01,5,3,5,3,8
AIQUILE,atencion odontologica, endodoncias,2014-02-01,13,34,13,34,47
ALALAY,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
ALCALA,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
ANDAMARCA,atencion odontologica, endodoncias,2014-02-01,3,0,3,0,3
ANTEQUERA,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
ANZALDO,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
APOLO,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
ARAMPAMPA,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
ARANI,atencion odontologica, endodoncias,2014-02-01,5,4,5,4,9
ARBIETO,atencion odontologica, endodoncias,2014-02-01,5,5,5,5,10
ARQUE,atencion odontologica, endodoncias,2014-02-01,0,5,0,5,5
ASCENCION DE GUARAYOS,atencion odontologica, endodoncias,2014-02-01,3,2,3,2,5
ATOCHA,atencion odontologica, endodoncias,2014-02-01,80,115,80,115,195
AUCAPATA,atencion odontologica, endodoncias,2014-02-01,2,7,2,7,9
AYATA,atencion odontologica, endodoncias,2014-02-01,0,2,0,2,2
AYO AYO,atencion odontologica, endodoncias,2014-02-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-02-01,35,25,35,25,60
AZURDUY,atencion odontologica, endodoncias,2014-02-01,4,4,4,4,8
BATALLAS,atencion odontologica, endodoncias,2014-02-01,0,7,0,7,7
BAURES,atencion odontologica, endodoncias,2014-02-01,7,3,7,3,10
BELEN DE ANDAMARCA,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
BELEN DE URMIRI,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
BERMEJO,atencion odontologica, endodoncias,2014-02-01,52,77,52,77,129
BETANZOS,atencion odontologica, endodoncias,2014-02-01,7,15,7,15,22
BUENA VISTA,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
CABEZAS,atencion odontologica, endodoncias,2014-02-01,2,3,2,3,5
CAIROMA,atencion odontologica, endodoncias,2014-02-01,0,6,0,6,6
"CAIZA ""D""",atencion odontologica, endodoncias,2014-02-01,2,3,2,3,5
CALAMARCA,atencion odontologica, endodoncias,2014-02-01,4,9,4,9,13
CAMARGO,atencion odontologica, endodoncias,2014-02-01,4,11,4,11,15
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-02-01,0,6,0,6,6
CAMIRI,atencion odontologica, endodoncias,2014-02-01,31,20,31,20,51
CAPINOTA,atencion odontologica, endodoncias,2014-02-01,36,26,36,26,62
CAQUIAVIRI,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
CARACOLLO,atencion odontologica, endodoncias,2014-02-01,6,10,6,10,16
CARANAVI,atencion odontologica, endodoncias,2014-02-01,29,16,29,16,45
CARAPARI,atencion odontologica, endodoncias,2014-02-01,21,59,21,59,80
CARIPUYO,atencion odontologica, endodoncias,2014-02-01,4,1,4,1,5
CARMEN RIVERO TORREZ,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
CHALLAPATA,atencion odontologica, endodoncias,2014-02-01,16,13,16,13,29
CHAQUI,atencion odontologica, endodoncias,2014-02-01,1,0,1,0,1
CHARAGUA,atencion odontologica, endodoncias,2014-02-01,34,31,34,31,65
CHAYANTA,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
CHIMORE,atencion odontologica, endodoncias,2014-02-01,7,14,7,14,21
CHIPAYA,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
CHOQUE COTA,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
CHUA COCANI,atencion odontologica, endodoncias,2014-02-01,4,7,4,7,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, endodoncias,2014-02-01,12,22,12,22,34
CHUMA,atencion odontologica, endodoncias,2014-02-01,11,12,11,12,23
CKOCHAS,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
CLIZA,atencion odontologica, endodoncias,2014-02-01,5,9,5,9,14
COBIJA,atencion odontologica, endodoncias,2014-02-01,21,50,21,50,71
COCAPATA,atencion odontologica, endodoncias,2014-02-01,5,17,5,17,22
COCHABAMBA,atencion odontologica, endodoncias,2014-02-01,904,1016,904,1016,1920
COIPASA,atencion odontologica, endodoncias,2014-02-01,2,1,2,1,3
COLCAPIRHUA,atencion odontologica, endodoncias,2014-02-01,33,32,33,32,65
"COLCHA ""K""",atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
COLLANA,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
COLOMI,atencion odontologica, endodoncias,2014-02-01,2,10,2,10,12
COLPA BELGICA,atencion odontologica, endodoncias,2014-02-01,2,8,2,8,10
COLQUECHACA,atencion odontologica, endodoncias,2014-02-01,6,8,6,8,14
COLQUIRI,atencion odontologica, endodoncias,2014-02-01,1,6,1,6,7
COMARAPA,atencion odontologica, endodoncias,2014-02-01,12,30,12,30,42
CONCEPCION,atencion odontologica, endodoncias,2014-02-01,1,1,1,1,2
COPACABANA,atencion odontologica, endodoncias,2014-02-01,9,6,9,6,15
CORIPATA,atencion odontologica, endodoncias,2014-02-01,2,1,2,1,3
CORO CORO,atencion odontologica, endodoncias,2014-02-01,2,0,2,0,2
CORQUE,atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
COTAGAITA,atencion odontologica, endodoncias,2014-02-01,41,48,41,48,89
COTOCA,atencion odontologica, endodoncias,2014-02-01,0,6,0,6,6
CUATRO CAÑADAS,atencion odontologica, endodoncias,2014-02-01,7,21,7,21,28
CUEVO,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
CULPINA,atencion odontologica, endodoncias,2014-02-01,6,10,6,10,16
CURAHUARA DE CARANGAS,atencion odontologica, endodoncias,2014-02-01,2,2,2,2,4
DESAGUADERO,atencion odontologica, endodoncias,2014-02-01,1,2,1,2,3
EL ALTO,atencion odontologica, endodoncias,2014-02-01,364,945,364,945,1309
EL PUENTE(STC),atencion odontologica, endodoncias,2014-02-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica, endodoncias,2014-02-01,6,8,6,8,14
EL TORNO,atencion odontologica, endodoncias,2014-02-01,29,46,29,46,75
ENTRE RIOS TRJ,atencion odontologica, endodoncias,2014-02-01,18,21,18,21,39
ENTRE RIOS CBBA,atencion odontologica, endodoncias,2014-02-01,1,24,1,24,25
