,group,variable,month,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,48,44,48,44,92
CARACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,74,76,74,76,150
CARANAVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,154,110,154,110,264
CARAPARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,5,11,5,11,16
CARIPUYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,18,20,18,20,38
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,5,23,5,23,28
CATACORA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,0,2,0,2
CHALLAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,239,192,239,192,431
CHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,3,1,3,4
CHARAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,81,69,81,69,150
CHARAÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,5,7,5,12
CHAYANTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,22,24,22,24,46
CHIMORE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,131,147,131,147,278
CHIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,1,2,1,3
CHOQUE COTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,0,1,0,1
CHUA COCANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,8,13,8,21
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,30,49,30,49,79
CHUMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,36,16,36,16,52
CLIZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,107,95,107,95,202
COBIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,199,174,199,174,373
COCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,11,13,11,24
COCHABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1859,2048,1859,2048,3907
COIPASA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,3,4,3,4,7
COLCAPIRHUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,251,372,251,372,623
"COLCHA ""K""",atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,13,6,13,19
COLLANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,22,15,22,15,37
COLOMI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,56,44,56,44,100
COLPA BELGICA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,24,29,24,29,53
COLQUECHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,68,53,68,53,121
COLQUENCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,0,2,0,2,2
COLQUIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,19,20,19,20,39
COMANCHE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,5,6,5,11
COMARAPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,31,41,31,41,72
CONCEPCION,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,9,7,9,16
COPACABANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,24,14,24,14,38
CORIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,4,1,4,5
CORO CORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,8,8,8,16
COROICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,40,53,40,53,93
CORQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,5,2,5,7
COTAGAITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,45,42,45,42,87
COTOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,51,142,51,142,193
CUATRO CAÑADAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,206,181,206,181,387
CUEVO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,18,18,18,18,36
CULPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,44,53,44,53,97
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,4,1,4,5
CURVA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,19,13,19,32
DESAGUADERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,18,20,18,20,38
EL ALTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2354,2382,2354,2382,4736
EL CHORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,27,18,27,18,45
EL PUENTE(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,12,20,12,20,32
EL PUENTE(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,15,8,15,23
EL TORNO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,91,60,91,60,151
EL VILLAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,7,4,7,11
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,55,53,55,53,108
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,162,200,162,200,362
ESCOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,20,21,20,21,41
EUCALIPTUS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,17,4,17,4,21
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,20,26,20,26,46
FILADELFIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,7,2,7,9
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,69,64,69,64,133
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,127,156,127,156,283
GUANAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,16,30,16,30,46
GUAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,17,7,17,7,24
GUAYARAMERIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,104,112,104,112,216
GUTIERREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,74,94,74,94,168
HUACARETA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,36,45,36,45,81
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,22,18,22,18,40
HUACHACALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,3,10,3,10,13
HUANUNI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,84,96,84,96,180
HUARACAJE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,4,9,4,13
HUARINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,5,6,5,11
HUATAJATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,10,15,10,15,25
HUAYLLAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,16,16,16,16,32
HUMANATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,13,11,13,24
ICHOCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,17,16,17,16,33
ICLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,82,104,82,104,186
INCAHUASI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,26,21,26,21,47
INGAVI (HUMAITA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,3,2,3,5
INQUISIVI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,28,17,28,17,45
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,40,49,40,49,89
JESUS DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,20,11,20,31
LA ASUNTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,61,36,61,36,97
LA GUARDIA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,122,186,122,186,308
LA PAZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2821,2746,2821,2746,5567
LAGUNILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,2,1,2,3
LAJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,32,28,32,28,60
LAS CARRERAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,5,2,5,7
LLALLAGUA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,224,263,224,263,487
LURIBAY,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,14,8,14,22
MACHACAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,15,15,15,15,30
MACHARETI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,2,1,2,3
MAGDALENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,15,8,15,8,23
MAPIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,43,33,43,33,76
MECAPACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,20,27,20,27,47
MINEROS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,33,35,33,35,68
MIZQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,24,9,24,9,33
MOCOMOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,3,9,3,12
MOJOCOYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,11,8,11,19
MONTEAGUDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,168,97,168,97,265
MONTERO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,271,283,271,283,554
MORO MORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,64,54,64,54,118
MOROCHATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,116,110,116,110,226
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,2,2,2,4
OCURI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,20,9,20,29
OKINAWA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,12,15,12,15,27
OMEREQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,0,1,0,1
ORURO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1325,1682,1325,1682,3007
PADCAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,16,4,16,20
PADILLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,4,11,4,15
PAILON,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,71,67,71,67,138
PALCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,101,89,101,89,190
PALOS BLANCOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,63,68,63,68,131
PAMPA AULLAGAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,27,12,27,12,39
PAMPA GRANDE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,79,62,79,62,141
PAPEL PAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,39,34,39,34,73
PATACAMAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,131,196,131,196,327
PAZÑA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,5,16,5,16,21
PELECHUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,47,36,47,36,83
POCOATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,37,35,37,35,72
POCONA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,38,24,38,24,62
POJO (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,30,45,30,45,75
POOPO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,41,27,41,27,68
PORCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,28,24,28,24,52
POROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,5,6,5,11
PORONGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,28,19,28,19,47
PORTACHUELO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,23,30,23,30,53
PORVENIR,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,14,14,14,14,28
POSTRER VALLE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,66,60,66,60,126
POTOSI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,650,640,650,640,1290
PRESTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,33,27,33,27,60
PUCARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,19,9,19,28
PUCARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,26,35,26,35,61
PUERTO ACOSTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,5,8,5,13
PUERTO CARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,21,15,21,15,36
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,37,56,37,56,93
PUERTO PEREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,10,4,10,14
PUERTO QUIJARRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,48,77,48,77,125
PUERTO RICO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,18,17,18,17,35
PUERTO SUAREZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,15,13,15,28
PUERTO VILLARROEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,142,124,142,124,266
PUNA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,3,7,3,10
PUNATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,85,114,85,114,199
QUIABAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,20,16,20,16,36
QUILLACOLLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,621,536,621,536,1157
QUIME,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,88,80,88,80,168
QUIRUSILLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,0,5,0,5,5
RAVELO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,102,90,102,90,192
REYES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,5,3,5,3,8
RIBERALTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,89,109,89,109,198
RURRENABAQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,21,24,21,24,45
SABAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,12,13,12,25
SACABA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,447,514,447,514,961
SACABAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,22,11,22,11,33
SACACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,32,51,32,51,83
SAIPINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,19,9,19,9,28
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,100,113,100,113,213
SAMAIPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,29,32,29,32,61
SAN AGUSTIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,3,1,3,4
SAN ANDRES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,17,13,17,30
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,10,21,10,21,31
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,5,7,5,12
SAN BENITO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,16,9,16,25
SAN BORJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,33,18,33,18,51
SAN BUENA VENTURA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,10,11,10,21
SAN CARLOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,25,25,25,25,50
SAN IGNACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,48,56,48,56,104
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,125,135,125,135,260
SAN JAVIER(BNI),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,4,2,4,6
SAN JAVIER(STC),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,17,13,17,30
SAN JOAQUIN,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,7,8,7,15
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,30,23,30,23,53
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,16,20,16,20,36
SAN JULIAN,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,74,114,74,114,188
SAN LORENZO(PND),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,6,2,6,8
SAN LORENZO(TJA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,36,33,36,33,69
SAN LUCAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,80,74,80,74,154
SAN MATIAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,11,7,11,18
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,21,11,21,11,32
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,3,4,3,7
SAN PEDRO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,40,34,40,34,74
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,23,13,23,13,36
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,20,6,20,26
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,12,12,12,12,24
SAN RAFAEL,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,10,7,10,7,17
SAN RAMON BENI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,1,1,1,2
SAN RAMON SCZ,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,75,93,75,93,168
SANTA ANA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,40,60,40,60,100
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,3093,3044,3093,3044,6137
SANTA ROSA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,14,9,14,23
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,26,28,26,28,54
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,40,37,40,37,77
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,5,7,5,12
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,10,10,10,10,20
SANTIVAÑES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,7,12,7,12,19
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,1,6,1,7
SAPAHAQUI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,0,9,0,9
SENA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,3,1,3,4
SHINAOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,46,80,46,80,126
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,28,33,28,33,61
SICAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,12,13,12,25
SIPE SIPE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,203,284,203,284,487
SOPACHUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,18,23,18,23,41
SORACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,17,18,17,18,35
SORATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,31,62,31,62,93
SUCRE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1715,1726,1715,1726,3441
TACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,0,1,0,1,1
TACACOMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,5,2,5,7
TACOBAMBA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,0,3,0,3,3
TACOPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,5,4,5,4,9
TAPACARI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,24,26,24,26,50
TARABUCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,128,128,128,128,256
TARACO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,60,45,60,45,105
TARATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,34,20,34,20,54
TARIJA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,281,346,281,346,627
TARVITA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,43,38,43,38,81
TEOPONTE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,3,21,3,21,24
TIAWANACU,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,25,11,25,36
TINGUIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,8,4,8,4,12
TIPUANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,12,20,12,20,32
TIQUIPAYA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,756,858,756,858,1614
TIRAQUE (CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,43,32,43,32,75
TOCO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,37,28,37,28,65
TOLATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,34,28,34,28,62
TOLEDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,1,2,1,2,3
TOMAVE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,39,31,39,31,70
TOMINA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,33,71,33,71,104
TORO TORO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,24,17,24,17,41
TOTORA(CBBA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,57,54,57,54,111
TOTORA(ORR),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,21,2,21,23
TRIGAL,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,15,22,15,22,37
TRINIDAD,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,162,147,162,147,309
