,group,variable,month,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAMIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,106,248,106,248,354
CAPINOTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,101,180,101,180,281
CAQUIAVIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,25,65,25,65,90
CARACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,63,90,63,90,153
CARANAVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,52,137,52,137,189
CARAPARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,249,317,249,317,566
CARIPUYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,26,19,26,45
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,14,14,14,14,28
CATACORA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,23,15,23,38
CHALLAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,225,334,225,334,559
CHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,9,19,9,19,28
CHARAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,71,154,71,154,225
CHARAÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,6,21,6,21,27
CHAYANTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,39,60,39,60,99
CHIMORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,68,67,68,67,135
CHIPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,7,15,7,15,22
CHOQUE COTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,11,15,11,26
CHUA COCANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,6,11,6,11,17
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,39,59,39,59,98
CHUMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,92,149,92,149,241
CKOCHAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,6,13,6,13,19
CLIZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,173,293,173,293,466
COBIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,307,439,307,439,746
COCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,24,49,24,49,73
COCHABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,3524,5185,3524,5185,8709
COIPASA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,16,25,16,25,41
COLCAPIRHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,117,153,117,153,270
"COLCHA ""K""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,29,27,29,27,56
COLLANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,24,78,24,78,102
COLOMI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,25,29,25,29,54
COLPA BELGICA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,138,141,138,141,279
COLQUECHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,78,141,78,141,219
COLQUENCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,22,14,22,14,36
COLQUIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,25,49,25,49,74
COMANCHE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,11,31,11,31,42
COMARAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,76,172,76,172,248
CONCEPCION,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,4,3,4,3,7
COPACABANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,60,74,60,74,134
CORIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,1,15,1,15,16
CORO CORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,51,19,51,70
COROICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,7,7,7,7,14
CORQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,14,34,14,34,48
COTAGAITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,217,317,217,317,534
COTOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,60,168,60,168,228
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,77,167,77,167,244
CUEVO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,52,90,52,90,142
CULPINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,33,110,33,110,143
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,12,10,12,10,22
CURVA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,23,10,23,33
DESAGUADERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,48,39,48,39,87
EL ALTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,6062,9218,6062,9218,15280
EL CHORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,6,9,6,9,15
EL PUENTE(STC),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,34,59,34,59,93
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,81,205,81,205,286
EL TORNO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,151,417,151,417,568
EL VILLAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,8,26,8,26,34
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,229,607,229,607,836
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,16,37,16,37,53
ESCOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,21,32,21,32,53
EUCALIPTUS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,24,43,24,43,67
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,40,76,40,76,116
FILADELFIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,33,19,33,52
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,33,84,33,84,117
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,85,132,85,132,217
GUANAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,51,44,51,44,95
GUAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,46,100,46,100,146
GUAYARAMERIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,382,488,382,488,870
GUTIERREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,72,171,72,171,243
HUACARETA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,24,135,24,135,159
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,21,49,21,49,70
HUACHACALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,44,37,44,81
HUANUNI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,140,198,140,198,338
HUARACAJE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,20,10,20,30
HUARINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,14,35,14,35,49
HUATAJATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,11,29,11,29,40
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,51,96,51,96,147
HUMANATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,40,19,40,59
ICHOCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,13,19,13,19,32
ICLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,33,51,33,51,84
INCAHUASI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,29,73,29,73,102
INGAVI (HUMAITA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,28,9,28,9,37
INQUISIVI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,62,85,62,85,147
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,50,91,50,91,141
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,52,146,52,146,198
LA ASUNTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,105,167,105,167,272
LA GUARDIA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,66,180,66,180,246
LA PAZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,4686,9936,4686,9936,14622
LAGUNILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,45,44,45,44,89
LAJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,42,89,42,89,131
LAS CARRERAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,53,19,53,72
LLALLAGUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,88,347,88,347,435
LURIBAY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,22,30,22,30,52
MACHACAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,57,81,57,81,138
MACHARETI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,2,12,2,12,14
MAGDALENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,150,256,150,256,406
MAPIRI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,95,161,95,161,256
MECAPACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,45,80,45,80,125
MINEROS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,46,10,46,56
MIZQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,24,34,24,34,58
MOCOMOCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,53,58,53,58,111
MOJOCOYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,65,88,65,88,153
MONTEAGUDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,152,380,152,380,532
MONTERO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,91,255,91,255,346
MORO MORO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,25,19,25,44
MOROCHATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,26,60,26,60,86
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,8,8,8,8,16
OCURI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,32,86,32,86,118
OKINAWA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,17,39,17,39,56
OMEREQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,14,11,14,11,25
ORURO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,1381,2423,1381,2423,3804
PADCAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,175,237,175,237,412
PADILLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,132,115,132,115,247
PAILON,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,84,49,84,49,133
PALCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,80,170,80,170,250
PALOS BLANCOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,62,129,62,129,191
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,21,17,21,17,38
PAMPA GRANDE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,4,58,4,58,62
PAPEL PAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,36,43,36,43,79
PASORAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,22,34,22,34,56
PATACAMAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,59,178,59,178,237
PAZÑA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,27,31,27,31,58
PELECHUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,48,19,48,67
POCOATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,29,64,29,64,93
POCONA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,44,68,44,68,112
POJO (CBBA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,78,121,78,121,199
POOPO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,54,37,54,37,91
PORCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,25,44,25,44,69
POROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,26,36,26,36,62
PORONGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,30,10,30,40
PORTACHUELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,95,203,95,203,298
PORVENIR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,152,161,152,161,313
POSTRER VALLE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,47,27,47,27,74
POTOSI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,1369,2559,1369,2559,3928
PRESTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,11,58,11,58,69
PUCARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,8,14,8,14,22
PUCARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,87,98,87,98,185
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,45,37,45,82
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,119,158,119,158,277
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,12,27,12,27,39
PUERTO PEREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,8,6,8,6,14
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,60,66,60,66,126
PUERTO RICO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,48,80,48,80,128
PUERTO SUAREZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,17,22,17,22,39
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,72,117,72,117,189
PUNA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,30,19,30,19,49
PUNATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,115,257,115,257,372
QUIABAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,39,23,39,23,62
QUILLACOLLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,444,845,444,845,1289
QUIME,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,89,141,89,141,230
QUIRUSILLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,3,5,3,5,8
RAVELO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,29,69,29,69,98
REYES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,71,81,71,81,152
RIBERALTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,237,755,237,755,992
ROBORE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,99,138,99,138,237
RURRENABAQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,63,92,63,92,155
SABAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,32,33,32,33,65
SACABA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,494,887,494,887,1381
SACABAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,17,24,17,24,41
SACACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,52,93,52,93,145
SAIPINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,31,82,31,82,113
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,73,117,73,117,190
SAMAIPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,53,62,53,62,115
SAN AGUSTIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,22,10,22,32
SAN ANDRES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,44,63,44,63,107
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,35,19,35,19,54
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,0,4,0,4,4
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,19,10,19,29
SAN BENITO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,1,9,1,9,10
SAN BORJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,48,84,48,84,132
SAN BUENA VENTURA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,40,43,40,43,83
SAN CARLOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,46,76,46,76,122
SAN IGNACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,203,430,203,430,633
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,99,173,99,173,272
SAN JAVIER(BNI),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,9,15,9,15,24
SAN JAVIER(STC),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,49,90,49,90,139
SAN JOAQUIN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,7,1,7,1,8
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,76,115,76,115,191
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,23,112,23,112,135
SAN JULIAN,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,63,310,63,310,373
SAN LORENZO(PND),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,6,16,6,16,22
SAN LORENZO(TJA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,396,843,396,843,1239
SAN LUCAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,73,161,73,161,234
SAN MATIAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,9,21,9,21,30
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,43,118,43,118,161
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,3,7,3,7,10
SAN PEDRO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,68,211,68,211,279
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,42,84,42,84,126
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,4,9,4,9,13
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,23,54,23,54,77
SAN RAFAEL,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,29,15,29,44
SAN RAMON BENI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,32,51,32,51,83
SAN RAMON SCZ,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,41,55,41,55,96
SANTA ANA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,163,312,163,312,475
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,3720,6608,3720,6608,10328
SANTA ROSA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,21,10,21,31
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,76,151,76,151,227
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,1,7,1,7,8
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,201,238,201,238,439
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,18,15,18,33
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,64,175,64,175,239
SANTIVAÑES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,49,87,49,87,136
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,23,12,23,12,35
SAPAHAQUI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,35,37,35,72
SENA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,18,45,18,45,63
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,70,77,70,77,147
SICAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,11,68,11,68,79
SIPE SIPE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,124,492,124,492,616
SOPACHUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,42,79,42,79,121
SORACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,44,53,44,53,97
SORATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,45,72,45,72,117
SUCRE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,1838,3974,1838,3974,5812
TACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,2,0,2,0,2
TACACOMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,41,37,41,37,78
TACOBAMBA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,5,28,5,28,33
TACOPAYA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,9,51,9,51,60
TAHUA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,5,3,5,3,8
TAPACARI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,71,71,71,71,142
TARABUCO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,52,144,52,144,196
TARACO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,19,31,19,31,50
TARATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,34,91,34,91,125
TARIJA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,2997,4360,2997,4360,7357
TARVITA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,75,151,75,151,226
TEOPONTE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,36,51,36,51,87
