,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CHIPAYA,atencion odontologica, restauraciones,2014-01-01,3,10,3,10,13
CHOQUE COTA,atencion odontologica, restauraciones,2014-01-01,9,8,9,8,17
CHUA COCANI,atencion odontologica, restauraciones,2014-01-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-01-01,27,54,27,54,81
CHUMA,atencion odontologica, restauraciones,2014-01-01,38,53,38,53,91
CKOCHAS,atencion odontologica, restauraciones,2014-01-01,0,3,0,3,3
CLIZA,atencion odontologica, restauraciones,2014-01-01,66,127,66,127,193
COBIJA,atencion odontologica, restauraciones,2014-01-01,131,222,131,222,353
COCAPATA,atencion odontologica, restauraciones,2014-01-01,8,16,8,16,24
COCHABAMBA,atencion odontologica, restauraciones,2014-01-01,4128,5949,4128,5949,10077
COIPASA,atencion odontologica, restauraciones,2014-01-01,15,22,15,22,37
COLCAPIRHUA,atencion odontologica, restauraciones,2014-01-01,173,344,173,344,517
"COLCHA ""K""",atencion odontologica, restauraciones,2014-01-01,0,12,0,12,12
COLLANA,atencion odontologica, restauraciones,2014-01-01,6,1,6,1,7
COLOMI,atencion odontologica, restauraciones,2014-01-01,27,54,27,54,81
COLPA BELGICA,atencion odontologica, restauraciones,2014-01-01,11,30,11,30,41
COLQUECHACA,atencion odontologica, restauraciones,2014-01-01,35,60,35,60,95
COLQUENCHA,atencion odontologica, restauraciones,2014-01-01,18,10,18,10,28
COLQUIRI,atencion odontologica, restauraciones,2014-01-01,10,12,10,12,22
COMANCHE,atencion odontologica, restauraciones,2014-01-01,5,4,5,4,9
COMARAPA,atencion odontologica, restauraciones,2014-01-01,60,194,60,194,254
CONCEPCION,atencion odontologica, restauraciones,2014-01-01,12,14,12,14,26
COPACABANA,atencion odontologica, restauraciones,2014-01-01,22,23,22,23,45
CORIPATA,atencion odontologica, restauraciones,2014-01-01,13,8,13,8,21
CORO CORO,atencion odontologica, restauraciones,2014-01-01,11,27,11,27,38
COROICO,atencion odontologica, restauraciones,2014-01-01,34,13,34,13,47
CORQUE,atencion odontologica, restauraciones,2014-01-01,7,11,7,11,18
COTAGAITA,atencion odontologica, restauraciones,2014-01-01,122,170,122,170,292
COTOCA,atencion odontologica, restauraciones,2014-01-01,21,73,21,73,94
CUATRO CAÑADAS,atencion odontologica, restauraciones,2014-01-01,64,112,64,112,176
CUEVO,atencion odontologica, restauraciones,2014-01-01,7,13,7,13,20
CULPINA,atencion odontologica, restauraciones,2014-01-01,7,25,7,25,32
CURAHUARA DE CARANGAS,atencion odontologica, restauraciones,2014-01-01,2,0,2,0,2
CURVA,atencion odontologica, restauraciones,2014-01-01,1,3,1,3,4
DESAGUADERO,atencion odontologica, restauraciones,2014-01-01,18,13,18,13,31
EL ALTO,atencion odontologica, restauraciones,2014-01-01,4611,6834,4611,6834,11445
EL CHORO,atencion odontologica, restauraciones,2014-01-01,7,13,7,13,20
EL PUENTE(STC),atencion odontologica, restauraciones,2014-01-01,9,16,9,16,25
EL PUENTE(TJA),atencion odontologica, restauraciones,2014-01-01,29,88,29,88,117
EL TORNO,atencion odontologica, restauraciones,2014-01-01,112,196,112,196,308
EL VILLAR,atencion odontologica, restauraciones,2014-01-01,4,17,4,17,21
ENTRE RIOS TRJ,atencion odontologica, restauraciones,2014-01-01,87,238,87,238,325
ENTRE RIOS CBBA,atencion odontologica, restauraciones,2014-01-01,65,140,65,140,205
ESCOMA,atencion odontologica, restauraciones,2014-01-01,12,12,12,12,24
EUCALIPTUS,atencion odontologica, restauraciones,2014-01-01,17,17,17,17,34
FERNANDEZ ALONSO,atencion odontologica, restauraciones,2014-01-01,26,45,26,45,71
FILADELFIA,atencion odontologica, restauraciones,2014-01-01,3,7,3,7,10
GENERAL SAAVEDRA,atencion odontologica, restauraciones,2014-01-01,39,90,39,90,129
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, restauraciones,2014-01-01,34,72,34,72,106
GUANAY,atencion odontologica, restauraciones,2014-01-01,38,29,38,29,67
GUAQUI,atencion odontologica, restauraciones,2014-01-01,21,31,21,31,52
GUAYARAMERIN,atencion odontologica, restauraciones,2014-01-01,310,365,310,365,675
GUTIERREZ,atencion odontologica, restauraciones,2014-01-01,9,57,9,57,66
HUACARETA,atencion odontologica, restauraciones,2014-01-01,24,82,24,82,106
HUACAYA (VILLA DE HUACAYA),atencion odontologica, restauraciones,2014-01-01,8,12,8,12,20
HUACHACALLA,atencion odontologica, restauraciones,2014-01-01,15,39,15,39,54
HUANUNI,atencion odontologica, restauraciones,2014-01-01,119,185,119,185,304
HUARACAJE,atencion odontologica, restauraciones,2014-01-01,3,16,3,16,19
HUARINA,atencion odontologica, restauraciones,2014-01-01,5,8,5,8,13
HUATAJATA,atencion odontologica, restauraciones,2014-01-01,5,7,5,7,12
HUAYLLAMARCA,atencion odontologica, restauraciones,2014-01-01,24,54,24,54,78
HUMANATA,atencion odontologica, restauraciones,2014-01-01,7,11,7,11,18
ICHOCA,atencion odontologica, restauraciones,2014-01-01,9,14,9,14,23
ICLA,atencion odontologica, restauraciones,2014-01-01,25,23,25,23,48
INCAHUASI,atencion odontologica, restauraciones,2014-01-01,12,61,12,61,73
INGAVI (HUMAITA),atencion odontologica, restauraciones,2014-01-01,4,12,4,12,16
INQUISIVI,atencion odontologica, restauraciones,2014-01-01,16,24,16,24,40
IRUPANA (VILLA DE LANZA),atencion odontologica, restauraciones,2014-01-01,49,86,49,86,135
JESUS DE MACHACA,atencion odontologica, restauraciones,2014-01-01,15,47,15,47,62
LA ASUNTA,atencion odontologica, restauraciones,2014-01-01,31,65,31,65,96
LA GUARDIA,atencion odontologica, restauraciones,2014-01-01,87,153,87,153,240
LA PAZ,atencion odontologica, restauraciones,2014-01-01,5124,6906,5124,6906,12030
LAGUNILLAS,atencion odontologica, restauraciones,2014-01-01,32,25,32,25,57
LAJA,atencion odontologica, restauraciones,2014-01-01,11,14,11,14,25
LAS CARRERAS,atencion odontologica, restauraciones,2014-01-01,8,35,8,35,43
LLALLAGUA,atencion odontologica, restauraciones,2014-01-01,91,253,91,253,344
LURIBAY,atencion odontologica, restauraciones,2014-01-01,1,14,1,14,15
MACHACAMARCA,atencion odontologica, restauraciones,2014-01-01,26,43,26,43,69
MACHARETI,atencion odontologica, restauraciones,2014-01-01,0,11,0,11,11
MAGDALENA,atencion odontologica, restauraciones,2014-01-01,89,157,89,157,246
MALLA,atencion odontologica, restauraciones,2014-01-01,0,1,0,1,1
MAPIRI,atencion odontologica, restauraciones,2014-01-01,27,62,27,62,89
MECAPACA,atencion odontologica, restauraciones,2014-01-01,24,38,24,38,62
MINEROS,atencion odontologica, restauraciones,2014-01-01,14,43,14,43,57
MIZQUE,atencion odontologica, restauraciones,2014-01-01,7,15,7,15,22
MOCOMOCO,atencion odontologica, restauraciones,2014-01-01,14,13,14,13,27
MOJOCOYA,atencion odontologica, restauraciones,2014-01-01,20,42,20,42,62
MONTEAGUDO,atencion odontologica, restauraciones,2014-01-01,131,220,131,220,351
MONTERO,atencion odontologica, restauraciones,2014-01-01,123,311,123,311,434
MORO MORO,atencion odontologica, restauraciones,2014-01-01,10,20,10,20,30
MOROCHATA,atencion odontologica, restauraciones,2014-01-01,42,91,42,91,133
OCURI,atencion odontologica, restauraciones,2014-01-01,9,40,9,40,49
OKINAWA,atencion odontologica, restauraciones,2014-01-01,5,17,5,17,22
OMEREQUE,atencion odontologica, restauraciones,2014-01-01,4,4,4,4,8
ORURO,atencion odontologica, restauraciones,2014-01-01,1021,1340,1021,1340,2361
PADCAYA,atencion odontologica, restauraciones,2014-01-01,65,99,65,99,164
PADILLA,atencion odontologica, restauraciones,2014-01-01,73,53,73,53,126
PAILON,atencion odontologica, restauraciones,2014-01-01,61,106,61,106,167
PALCA,atencion odontologica, restauraciones,2014-01-01,47,88,47,88,135
PALOS BLANCOS,atencion odontologica, restauraciones,2014-01-01,51,103,51,103,154
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-01-01,24,16,24,16,40
PAMPA GRANDE,atencion odontologica, restauraciones,2014-01-01,23,18,23,18,41
PAPEL PAMPA,atencion odontologica, restauraciones,2014-01-01,26,48,26,48,74
PASORAPA,atencion odontologica, restauraciones,2014-01-01,4,7,4,7,11
PATACAMAYA,atencion odontologica, restauraciones,2014-01-01,39,97,39,97,136
PAZÑA,atencion odontologica, restauraciones,2014-01-01,9,26,9,26,35
PELECHUCO,atencion odontologica, restauraciones,2014-01-01,38,50,38,50,88
POCOATA,atencion odontologica, restauraciones,2014-01-01,16,39,16,39,55
POCONA,atencion odontologica, restauraciones,2014-01-01,16,34,16,34,50
POJO (CBBA),atencion odontologica, restauraciones,2014-01-01,46,83,46,83,129
POOPO,atencion odontologica, restauraciones,2014-01-01,89,86,89,86,175
PORCO,atencion odontologica, restauraciones,2014-01-01,11,21,11,21,32
POROMA,atencion odontologica, restauraciones,2014-01-01,9,10,9,10,19
PORONGO,atencion odontologica, restauraciones,2014-01-01,5,5,5,5,10
PORTACHUELO,atencion odontologica, restauraciones,2014-01-01,49,118,49,118,167
PORVENIR,atencion odontologica, restauraciones,2014-01-01,23,22,23,22,45
POSTRER VALLE,atencion odontologica, restauraciones,2014-01-01,30,35,30,35,65
POTOSI,atencion odontologica, restauraciones,2014-01-01,687,1451,687,1451,2138
PRESTO,atencion odontologica, restauraciones,2014-01-01,3,19,3,19,22
PUCARA,atencion odontologica, restauraciones,2014-01-01,2,4,2,4,6
PUCARANI,atencion odontologica, restauraciones,2014-01-01,39,44,39,44,83
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-01-01,9,14,9,14,23
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-01-01,67,66,67,66,133
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-01-01,25,50,25,50,75
PUERTO PEREZ,atencion odontologica, restauraciones,2014-01-01,1,1,1,1,2
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-01-01,33,96,33,96,129
PUERTO RICO,atencion odontologica, restauraciones,2014-01-01,16,28,16,28,44
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-01-01,7,29,7,29,36
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-01-01,76,130,76,130,206
PUNA,atencion odontologica, restauraciones,2014-01-01,8,11,8,11,19
PUNATA,atencion odontologica, restauraciones,2014-01-01,84,184,84,184,268
QUIABAYA,atencion odontologica, restauraciones,2014-01-01,5,6,5,6,11
QUILLACOLLO,atencion odontologica, restauraciones,2014-01-01,927,1172,927,1172,2099
QUIME,atencion odontologica, restauraciones,2014-01-01,66,110,66,110,176
QUIRUSILLAS,atencion odontologica, restauraciones,2014-01-01,0,4,0,4,4
RAVELO,atencion odontologica, restauraciones,2014-01-01,13,55,13,55,68
REYES,atencion odontologica, restauraciones,2014-01-01,42,40,42,40,82
RIBERALTA,atencion odontologica, restauraciones,2014-01-01,73,267,73,267,340
ROBORE,atencion odontologica, restauraciones,2014-01-01,53,68,53,68,121
RURRENABAQUE,atencion odontologica, restauraciones,2014-01-01,32,51,32,51,83
SABAYA,atencion odontologica, restauraciones,2014-01-01,25,30,25,30,55
SACABA,atencion odontologica, restauraciones,2014-01-01,386,716,386,716,1102
SACABAMBA,atencion odontologica, restauraciones,2014-01-01,16,18,16,18,34
SACACA,atencion odontologica, restauraciones,2014-01-01,26,27,26,27,53
SAIPINA,atencion odontologica, restauraciones,2014-01-01,15,66,15,66,81
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-01-01,68,149,68,149,217
SAMAIPATA,atencion odontologica, restauraciones,2014-01-01,16,47,16,47,63
SAN AGUSTIN,atencion odontologica, restauraciones,2014-01-01,2,9,2,9,11
SAN ANDRES,atencion odontologica, restauraciones,2014-01-01,7,20,7,20,27
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-01-01,9,14,9,14,23
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-01-01,15,32,15,32,47
SAN BENITO,atencion odontologica, restauraciones,2014-01-01,3,4,3,4,7
SAN BORJA,atencion odontologica, restauraciones,2014-01-01,33,60,33,60,93
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-01-01,14,29,14,29,43
SAN CARLOS,atencion odontologica, restauraciones,2014-01-01,29,333,29,333,362
SAN IGNACIO,atencion odontologica, restauraciones,2014-01-01,188,382,188,382,570
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-01-01,52,83,52,83,135
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-01-01,10,9,10,9,19
SAN JAVIER(STC),atencion odontologica, restauraciones,2014-01-01,26,58,26,58,84
SAN JOAQUIN,atencion odontologica, restauraciones,2014-01-01,24,21,24,21,45
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-01-01,88,117,88,117,205
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-01-01,5,35,5,35,40
SAN JULIAN,atencion odontologica, restauraciones,2014-01-01,67,176,67,176,243
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-01-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-01-01,136,294,136,294,430
SAN LUCAS,atencion odontologica, restauraciones,2014-01-01,53,116,53,116,169
SAN MATIAS,atencion odontologica, restauraciones,2014-01-01,3,9,3,9,12
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-01-01,23,46,23,46,69
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-01-01,1,0,1,0,1
SAN PEDRO,atencion odontologica, restauraciones,2014-01-01,81,155,81,155,236
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-01-01,21,63,21,63,84
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-01-01,0,3,0,3,3
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-01-01,13,23,13,23,36
SAN RAFAEL,atencion odontologica, restauraciones,2014-01-01,10,15,10,15,25
SAN RAMON BENI,atencion odontologica, restauraciones,2014-01-01,8,36,8,36,44
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-01-01,11,18,11,18,29
SANTA ANA,atencion odontologica, restauraciones,2014-01-01,31,86,31,86,117
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-01-01,3211,6309,3211,6309,9520
SANTA ROSA,atencion odontologica, restauraciones,2014-01-01,2,8,2,8,10
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-01-01,26,55,26,55,81
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-01-01,183,214,183,214,397
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-01-01,13,14,13,14,27
SANTIAGO DE MACHACA,atencion odontologica, restauraciones,2014-01-01,48,123,48,123,171
SANTIVAÑES,atencion odontologica, restauraciones,2014-01-01,26,35,26,35,61
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-01-01,18,10,18,10,28
SAPAHAQUI,atencion odontologica, restauraciones,2014-01-01,19,3,19,3,22
SENA,atencion odontologica, restauraciones,2014-01-01,1,8,1,8,9
SHINAOTA,atencion odontologica, restauraciones,2014-01-01,45,139,45,139,184
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-01-01,13,39,13,39,52
SICAYA,atencion odontologica, restauraciones,2014-01-01,9,21,9,21,30
SIPE SIPE,atencion odontologica, restauraciones,2014-01-01,189,326,189,326,515
SOPACHUY,atencion odontologica, restauraciones,2014-01-01,22,47,22,47,69
SORACACHI,atencion odontologica, restauraciones,2014-01-01,25,38,25,38,63
SORATA,atencion odontologica, restauraciones,2014-01-01,26,90,26,90,116
SUCRE,atencion odontologica, restauraciones,2014-01-01,2024,3260,2024,3260,5284
TACACHI,atencion odontologica, restauraciones,2014-01-01,1,2,1,2,3
TACACOMA,atencion odontologica, restauraciones,2014-01-01,22,34,22,34,56
TACOBAMBA,atencion odontologica, restauraciones,2014-01-01,0,8,0,8,8
TACOPAYA,atencion odontologica, restauraciones,2014-01-01,5,16,5,16,21
TAHUA,atencion odontologica, restauraciones,2014-01-01,2,1,2,1,3
TAPACARI,atencion odontologica, restauraciones,2014-01-01,46,67,46,67,113
TARABUCO,atencion odontologica, restauraciones,2014-01-01,20,20,20,20,40
TARACO,atencion odontologica, restauraciones,2014-01-01,27,35,27,35,62
TARATA,atencion odontologica, restauraciones,2014-01-01,40,70,40,70,110
TARIJA,atencion odontologica, restauraciones,2014-01-01,1737,3143,1737,3143,4880
TARVITA,atencion odontologica, restauraciones,2014-01-01,21,65,21,65,86
TEOPONTE,atencion odontologica, restauraciones,2014-01-01,9,29,9,29,38
TIAWANACU,atencion odontologica, restauraciones,2014-01-01,11,47,11,47,58
TINGUIPAYA,atencion odontologica, restauraciones,2014-01-01,4,6,4,6,10
TIPUANI,atencion odontologica, restauraciones,2014-01-01,9,37,9,37,46
TIQUIPAYA,atencion odontologica, restauraciones,2014-01-01,353,853,353,853,1206
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-01-01,23,37,23,37,60
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-01-01,5,1,5,1,6
TOCO,atencion odontologica, restauraciones,2014-01-01,25,53,25,53,78
TOLATA,atencion odontologica, restauraciones,2014-01-01,21,18,21,18,39
TOLEDO,atencion odontologica, restauraciones,2014-01-01,1,10,1,10,11
TOMAVE,atencion odontologica, restauraciones,2014-01-01,27,58,27,58,85
TOMINA,atencion odontologica, restauraciones,2014-01-01,28,27,28,27,55
TORO TORO,atencion odontologica, restauraciones,2014-01-01,23,35,23,35,58
TOTORA(CBBA),atencion odontologica, restauraciones,2014-01-01,36,77,36,77,113
TOTORA(ORR),atencion odontologica, restauraciones,2014-01-01,0,9,0,9,9
TRIGAL,atencion odontologica, restauraciones,2014-01-01,10,22,10,22,32
TRINIDAD,atencion odontologica, restauraciones,2014-01-01,294,419,294,419,713
TUPIZA,atencion odontologica, restauraciones,2014-01-01,129,126,129,126,255
TURCO,atencion odontologica, restauraciones,2014-01-01,12,70,12,70,82
UMALA,atencion odontologica, restauraciones,2014-01-01,2,2,2,2,4
UNCIA,atencion odontologica, restauraciones,2014-01-01,47,111,47,111,158
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-01-01,221,422,221,422,643
URUBICHA,atencion odontologica, restauraciones,2014-01-01,5,28,5,28,33
UYUNI,atencion odontologica, restauraciones,2014-01-01,37,54,37,54,91
VACAS,atencion odontologica, restauraciones,2014-01-01,31,65,31,65,96
VALLEGRANDE,atencion odontologica, restauraciones,2014-01-01,109,139,109,139,248
VIACHA,atencion odontologica, restauraciones,2014-01-01,107,134,107,134,241
VILA VILA,atencion odontologica, restauraciones,2014-01-01,6,4,6,4,10
VILLA CHARCAS,atencion odontologica, restauraciones,2014-01-01,7,11,7,11,18
VILLA MONTES,atencion odontologica, restauraciones,2014-01-01,303,497,303,497,800
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-01-01,10,3,10,3,13
VILLA RIVERO,atencion odontologica, restauraciones,2014-01-01,20,45,20,45,65
VILLA SERRANO,atencion odontologica, restauraciones,2014-01-01,47,98,47,98,145
VILLA TUNARI,atencion odontologica, restauraciones,2014-01-01,278,628,278,628,906
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-01-01,44,87,44,87,131
VILLAZON,atencion odontologica, restauraciones,2014-01-01,115,166,115,166,281
VINTO,atencion odontologica, restauraciones,2014-01-01,104,246,104,246,350
VITICHI,atencion odontologica, restauraciones,2014-01-01,14,13,14,13,27
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-01-01,8,2,8,2,10
WARNES,atencion odontologica, restauraciones,2014-01-01,56,90,56,90,146
YACO,atencion odontologica, restauraciones,2014-01-01,0,2,0,2,2
YACUIBA,atencion odontologica, restauraciones,2014-01-01,224,606,224,606,830
YAMPARAEZ,atencion odontologica, restauraciones,2014-01-01,17,39,17,39,56
YAPACANI,atencion odontologica, restauraciones,2014-01-01,88,227,88,227,315
YOCALLA,atencion odontologica, restauraciones,2014-01-01,15,46,15,46,61
YOTALA,atencion odontologica, restauraciones,2014-01-01,2,49,2,49,51
YUNCHARA,atencion odontologica, restauraciones,2014-01-01,43,83,43,83,126
ZUDAÑEZ,atencion odontologica, restauraciones,2014-01-01,3,27,3,27,30
ACACIO,atencion odontologica, restauraciones,2014-02-01,5,9,5,9,14
ACHACACHI,atencion odontologica, restauraciones,2014-02-01,53,105,53,105,158
ACHOCALLA,atencion odontologica, restauraciones,2014-02-01,20,19,20,19,39
AIQUILE,atencion odontologica, restauraciones,2014-02-01,62,71,62,71,133
ALALAY,atencion odontologica, restauraciones,2014-02-01,0,5,0,5,5
ALCALA,atencion odontologica, restauraciones,2014-02-01,12,45,12,45,57
ALTO BENI,atencion odontologica, restauraciones,2014-02-01,9,17,9,17,26
ANCORAIMES,atencion odontologica, restauraciones,2014-02-01,2,11,2,11,13
ANDAMARCA,atencion odontologica, restauraciones,2014-02-01,11,32,11,32,43
ANTEQUERA,atencion odontologica, restauraciones,2014-02-01,10,2,10,2,12
ANZALDO,atencion odontologica, restauraciones,2014-02-01,17,13,17,13,30
APOLO,atencion odontologica, restauraciones,2014-02-01,8,31,8,31,39
ARAMPAMPA,atencion odontologica, restauraciones,2014-02-01,17,17,17,17,34
ARANI,atencion odontologica, restauraciones,2014-02-01,10,48,10,48,58
ARBIETO,atencion odontologica, restauraciones,2014-02-01,18,43,18,43,61
ARQUE,atencion odontologica, restauraciones,2014-02-01,29,67,29,67,96
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-02-01,12,27,12,27,39
ATOCHA,atencion odontologica, restauraciones,2014-02-01,228,402,228,402,630
AUCAPATA,atencion odontologica, restauraciones,2014-02-01,6,7,6,7,13
AYATA,atencion odontologica, restauraciones,2014-02-01,18,30,18,30,48
AYO AYO,atencion odontologica, restauraciones,2014-02-01,7,21,7,21,28
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-02-01,119,125,119,125,244
AZURDUY,atencion odontologica, restauraciones,2014-02-01,5,36,5,36,41
BATALLAS,atencion odontologica, restauraciones,2014-02-01,12,52,12,52,64
BAURES,atencion odontologica, restauraciones,2014-02-01,16,34,16,34,50
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-02-01,9,9,9,9,18
BELEN DE URMIRI,atencion odontologica, restauraciones,2014-02-01,5,8,5,8,13
BERMEJO,atencion odontologica, restauraciones,2014-02-01,254,455,254,455,709
BETANZOS,atencion odontologica, restauraciones,2014-02-01,93,116,93,116,209
BOLIVAR,atencion odontologica, restauraciones,2014-02-01,2,13,2,13,15
BUENA VISTA,atencion odontologica, restauraciones,2014-02-01,1,26,1,26,27
CABEZAS,atencion odontologica, restauraciones,2014-02-01,21,51,21,51,72
CAIROMA,atencion odontologica, restauraciones,2014-02-01,33,43,33,43,76
"CAIZA ""D""",atencion odontologica, restauraciones,2014-02-01,9,21,9,21,30
CAJUATA,atencion odontologica, restauraciones,2014-02-01,14,30,14,30,44
CALACOTO,atencion odontologica, restauraciones,2014-02-01,12,14,12,14,26
CALAMARCA,atencion odontologica, restauraciones,2014-02-01,49,93,49,93,142
CAMARGO,atencion odontologica, restauraciones,2014-02-01,11,65,11,65,76
