,group,variable,month,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,40.0,99.0,40.0,99.0,139.0
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,2.0,2.0,2.0,4.0
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,62.0,79.0,62.0,79.0,141.0
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,5.0,4.0,5.0,9.0
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,8.0,15.0,8.0,15.0,23.0
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,17.0,25.0,17.0,25.0,42.0
ESCOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,14.0,0.0,14.0,14.0
EUCALIPTUS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,16.0,26.0,16.0,26.0,42.0
GUAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,9.0,4.0,9.0,13.0
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,7.0,11.0,7.0,11.0,18.0
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,46.0,49.0,46.0,49.0,95.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,1.0,2.0,1.0,3.0
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,2.0,2.0,2.0,4.0
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,7.0,5.0,7.0,5.0,12.0
INGAVI (HUMAITA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,3.0,4.0,3.0,7.0
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,6.0,0.0,6.0,0.0,6.0
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,758.0,703.0,758.0,703.0,1461.0
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,3.0,1.0,3.0,1.0,4.0
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,23.0,33.0,23.0,33.0,56.0
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,6.0,2.0,6.0,2.0,8.0
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,15.0,16.0,15.0,16.0,31.0
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,24.0,17.0,24.0,17.0,41.0
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,10.0,0.0,10.0,10.0
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,25.0,48.0,25.0,48.0,73.0
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,39.0,58.0,39.0,58.0,97.0
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,4.0,0.0,4.0,4.0
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,15.0,19.0,15.0,19.0,34.0
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,1.0,2.0,1.0,2.0,3.0
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,12.0,4.0,12.0,16.0
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,17.0,10.0,17.0,10.0,27.0
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,87.0,86.0,87.0,86.0,173.0
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,6.0,2.0,6.0,8.0
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,3.0,0.0,3.0,3.0
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,10.0,9.0,10.0,9.0,19.0
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,6.0,3.0,6.0,3.0,9.0
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,5.0,2.0,5.0,7.0
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,15.0,16.0,15.0,16.0,31.0
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,9.0,9.0,9.0,9.0,18.0
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,17.0,26.0,17.0,26.0,43.0
RAVELO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,2.0,4.0,2.0,6.0
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,42.0,87.0,42.0,87.0,129.0
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,39.0,34.0,39.0,34.0,73.0
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,1.0,1.0,1.0,1.0,2.0
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,1.0,10.0,1.0,10.0,11.0
SAIPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,3.0,2.0,3.0,5.0
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,3.0,4.0,3.0,4.0,7.0
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,19.0,13.0,19.0,13.0,32.0
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,1.0,1.0,1.0,1.0,2.0
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,33.0,68.0,33.0,68.0,101.0
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,88.0,85.0,88.0,85.0,173.0
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,8.0,16.0,8.0,16.0,24.0
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,8.0,17.0,8.0,17.0,25.0
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,36.0,30.0,36.0,30.0,66.0
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,6.0,4.0,6.0,10.0
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,27.0,47.0,27.0,47.0,74.0
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,5.0,7.0,5.0,7.0,12.0
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,26.0,20.0,26.0,20.0,46.0
SAN RAMON SCZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,12.0,19.0,12.0,19.0,31.0
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,269.0,297.0,269.0,297.0,566.0
SENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,6.0,36.0,6.0,36.0,42.0
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,22.0,20.0,22.0,20.0,42.0
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,13.0,4.0,13.0,17.0
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,117.0,170.0,117.0,170.0,287.0
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,2.0,0.0,2.0,2.0
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,93.0,52.0,93.0,52.0,145.0
TEOPONTE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,1.0,2.0,1.0,3.0
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,43.0,59.0,43.0,59.0,102.0
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,13.0,13.0,13.0,13.0,26.0
TOMAVE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,6.0,26.0,6.0,26.0,32.0
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,33.0,41.0,33.0,41.0,74.0
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,44.0,47.0,44.0,47.0,91.0
TURCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,10.0,0.0,10.0,10.0
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,27.0,25.0,27.0,25.0,52.0
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,7.0,2.0,7.0,9.0
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,12.0,8.0,12.0,8.0,20.0
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,7.0,9.0,7.0,9.0,16.0
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,1.0,0.0,1.0,0.0,1.0
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,12.0,25.0,12.0,25.0,37.0
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,1.0,0.0,1.0,1.0
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,36.0,45.0,36.0,45.0,81.0
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,7.0,4.0,7.0,4.0,11.0
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,0.0,5.0,0.0,5.0
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,140.0,148.0,140.0,148.0,288.0
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,10.0,4.0,10.0,14.0
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,10.0,7.0,10.0,7.0,17.0
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,16.0,4.0,16.0,20.0
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,16.0,17.0,16.0,17.0,33.0
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,173.0,469.0,173.0,469.0,642.0
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,14.0,5.0,14.0,5.0,19.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,210.0,175.0,210.0,175.0,385.0
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,4.0,4.0,4.0,8.0
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,36.0,38.0,36.0,38.0,74.0
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,3.0,4.0,3.0,7.0
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,29.0,26.0,29.0,26.0,55.0
CAMARGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,2.0,0.0,2.0,2.0
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,18.0,14.0,18.0,14.0,32.0
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,23.0,27.0,23.0,27.0,50.0
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,0.0,2.0,0.0,2.0
CARACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,35.0,40.0,35.0,40.0,75.0
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,7.0,5.0,7.0,5.0,12.0
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,1.0,0.0,1.0,1.0
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,6.0,0.0,6.0,6.0
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,62.0,61.0,62.0,61.0,123.0
CHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,3.0,3.0,3.0,3.0,6.0
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,65.0,79.0,65.0,79.0,144.0
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,1.0,0.0,1.0,1.0
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,83.0,93.0,83.0,93.0,176.0
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,4.0,4.0,4.0,8.0
CHUA COCANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,2.0,4.0,2.0,6.0
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,26.0,27.0,26.0,27.0,53.0
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,139.0,146.0,139.0,146.0,285.0
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,6.0,1.0,6.0,1.0,7.0
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,179.0,223.0,179.0,223.0,402.0
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,3.0,0.0,3.0,0.0,3.0
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,16.0,12.0,16.0,12.0,28.0
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,25.0,27.0,25.0,27.0,52.0
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,9.0,8.0,9.0,8.0,17.0
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,3.0,2.0,3.0,5.0
CONCEPCION,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,79.0,80.0,79.0,80.0,159.0
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,6.0,4.0,6.0,10.0
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,1.0,5.0,1.0,5.0,6.0
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,35.0,49.0,35.0,49.0,84.0
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,6.0,13.0,6.0,13.0,19.0
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,8.0,2.0,8.0,2.0,10.0
CURVA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,1.0,2.0,1.0,3.0
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,248.0,196.0,248.0,196.0,444.0
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,31.0,38.0,31.0,38.0,69.0
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,2.0,0.0,2.0,2.0
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,203.0,145.0,203.0,145.0,348.0
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,3.0,5.0,3.0,8.0
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,14.0,24.0,14.0,24.0,38.0
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,406.0,345.0,406.0,345.0,751.0
ESCOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,1.0,2.0,1.0,3.0
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,2.0,2.0,2.0,4.0
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,3.0,0.0,3.0,3.0
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,19.0,30.0,19.0,30.0,49.0
GUAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,19.0,17.0,19.0,17.0,36.0
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,2.0,2.0,2.0,4.0
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,8.0,7.0,8.0,7.0,15.0
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,1.0,5.0,1.0,5.0,6.0
HUATAJATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,16.0,22.0,16.0,22.0,38.0
HUAYLLAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,3.0,0.0,3.0,3.0
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,7.0,7.0,7.0,7.0,14.0
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,4.0,4.0,4.0,8.0
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,8.0,4.0,8.0,4.0,12.0
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,29.0,26.0,29.0,26.0,55.0
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,258.0,279.0,258.0,279.0,537.0
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,437.0,75.0,437.0,75.0,512.0
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,8.0,14.0,8.0,14.0,22.0
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,18.0,23.0,18.0,23.0,41.0
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,16.0,6.0,16.0,6.0,22.0
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,1.0,3.0,1.0,3.0,4.0
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,8.0,0.0,8.0,8.0
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,6.0,2.0,6.0,8.0
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,7.0,2.0,7.0,9.0
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,60.0,63.0,60.0,63.0,123.0
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,12.0,13.0,12.0,13.0,25.0
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,7.0,4.0,7.0,11.0
OMEREQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,250.0,335.0,250.0,335.0,585.0
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,79.0,104.0,79.0,104.0,183.0
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,10.0,18.0,10.0,18.0,28.0
PADILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,6.0,3.0,6.0,3.0,9.0
PAILON,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,91.0,71.0,91.0,71.0,162.0
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,83.0,53.0,83.0,53.0,136.0
PASORAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,97.0,134.0,97.0,134.0,231.0
PAZÑA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,3.0,2.0,3.0,2.0,5.0
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,2.0,1.0,2.0,1.0,3.0
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,4.0,13.0,4.0,13.0,17.0
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,28.0,47.0,28.0,47.0,75.0
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,209.0,204.0,209.0,204.0,413.0
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,138.0,158.0,138.0,158.0,296.0
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,15.0,12.0,15.0,12.0,27.0
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,47.0,89.0,47.0,89.0,136.0
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,15.0,9.0,15.0,9.0,24.0
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,29.0,54.0,29.0,54.0,83.0
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,0.0,5.0,0.0,5.0
PUERTO CARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,19.0,26.0,19.0,26.0,45.0
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,7.0,6.0,7.0,6.0,13.0
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,76.0,111.0,76.0,111.0,187.0
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,52.0,55.0,52.0,55.0,107.0
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,2.0,0.0,2.0,2.0
QUIABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,20.0,21.0,20.0,21.0,41.0
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,248.0,0.0,248.0,0.0,248.0
REYES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,9.0,11.0,9.0,11.0,20.0
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,202.0,328.0,202.0,328.0,530.0
ROBORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,25.0,25.0,25.0,25.0,50.0
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,42.0,66.0,42.0,66.0,108.0
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,5.0,6.0,5.0,6.0,11.0
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,9.0,28.0,9.0,28.0,37.0
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,32.0,11.0,32.0,11.0,43.0
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,0.0,1.0,0.0,1.0,1.0
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,65.0,73.0,65.0,73.0,138.0
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-02-01,23.0,11.0,23.0,11.0,34.0
