,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,0,31,21,3,55
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,0,10,2,2,14
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,0,0,0,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,2,2,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,11,24,2,37
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,12,0,0,12
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,6,2,1,9
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,0,1,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-05-01,0,0,0,0,1,1
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,7,2,0,9
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,4,14,2,20
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,2,1,0,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,0,8,0,8
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,1,3,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,8,36,9,0,53
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,5,1,0,6
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-06-01,0,0,35,23,1,59
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,5,10,0,15
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,0,2,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,5,17,0,22
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,2,0,0,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,0,6,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,1,0,17,21,2,41
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-07-01,0,0,4,3,0,7
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,0,8,6,1,15
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,0,1,6,0,7
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,0,6,7,1,14
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,0,1,1,1,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,0,7,3,1,11
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,2,4,38,6,50
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-08-01,0,1,2,0,1,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,14,6,2,22
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,1,1,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,7,9,1,17
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,11,30,2,43
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,0,7,0,7
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,3,3,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,8,8,1,17
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-09-01,0,0,4,3,0,7
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,1,21,24,2,48
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,1,15,20,1,37
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,116,2,0,118
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,5,0,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,2,1,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,6,4,1,11
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,2,0,0,2
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-10-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,13,140,105,1,259
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,0,5,2,1,8
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,0,46,178,3,227
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,0,2,4,0,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,0,3,3,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,0,11,6,0,17
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-11-01,0,0,15,9,0,24
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,5,5,0,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,1,9,6,0,16
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,0,10,3,13
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,3,5,0,8
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,19,11,0,30
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,10,53,63,1,127
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,1,29,6,0,36
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,4,10,2,16
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-12-01,0,0,0,1,0,1
