,group,variable,month,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO < 15,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 15 - 19,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 20 - 34,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 35 - 49,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,TOTALES
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,1,2,1,0,4
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,4,0,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,4,16,5,0,25
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,3,1,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,2,1,0,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,2,35,7,7,51
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,1,0,1,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,3,8,1,0,12
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,1,4,2,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,1,1,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,4,13,24,0,0,41
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,4,2,0,6
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,4,4,0,8
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,5,3,0,8
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,1,1,0,0,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,2,28,8,0,38
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,6,1,0,7
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,6,0,0,6
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,10,15,1,0,26
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,3,0,0,3
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,5,1,0,6
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,1,0,0,0,0,1
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,4,0,0,4
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,4,0,0,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,1,6,5,0,12
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,0,0,1,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-03-01,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,5,6,0,11
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,4,4,0,8
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,0,1,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,12,4,0,16
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,1,5,0,0,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,10,19,6,0,35
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,6,0,0,6
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,1,2,0,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,3,14,29,1,0,47
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,8,8,0,0,0,16
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,11,4,0,15
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,3,0,0,3
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-04-01,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,2,10,0,0,12
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,9,7,0,16
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,1,9,0,0,10
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,2,3,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,2,1,0,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,1,6,9,5,0,21
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,5,3,0,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,0,2,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,1,17,21,2,0,41
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-05-01,0,0,10,6,0,16
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,7,5,0,12
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,1,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,0,1,0,1
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,1,0,2,0,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,2,9,0,0,11
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,0,4,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,0,1,0,1
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,1,0,0,1
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,2,0,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,9,3,0,12
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,2,0,8,1,0,11
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,3,1,0,4
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,1,1,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,5,22,26,1,0,54
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,11,2,0,13
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,1,1,0,2
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,0,2,0,0,2
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,5,13,1,0,19
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-06-01,0,2,27,5,0,34
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,0,2,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,2,5,2,0,9
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,3,1,0,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,0,3,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,2,6,3,0,11
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,0,2,0,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,29,15,0,44
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,5,0,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,3,8,0,0,11
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,2,1,1,0,4
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,2,20,25,3,1,51
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,10,2,0,12
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-07-01,0,1,7,1,0,9
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,3,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,9,4,0,13
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,1,3,0,0,4
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,1,4,0,0,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,1,15,3,0,19
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,3,3,0,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,1,1,0,2
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,2,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,5,12,5,0,22
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,1,0,8,0,0,9
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,2,0,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,3,15,24,0,0,42
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,7,2,0,9
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,2,23,3,0,28
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,19,2,0,21
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-08-01,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,1,4,1,0,6
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,3,1,0,4
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,5,0,0,0,5
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,4,1,0,5
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,4,17,5,0,26
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,1,0,2
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,8,12,0,0,20
SENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,3,5,0,8
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,2,27,39,1,0,69
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,1,7,1,0,9
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,0,2,0,0,2
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-09-01,0,2,11,1,0,14
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-10-01,0,0,2,1,0,3
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-10-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-10-01,0,0,10,5,0,15
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-10-01,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-10-01,0,0,1,3,0,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-10-01,0,0,1,0,0,1
