,group,variable,month,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN < 15,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 15 - 19,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 20 - 34,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 35 - 49,NÚMERO DE MUJERES QUE RECIBIERON ORIENTACIÓN EN ANTICONCEPCIÓN 50 Y +,TOTALES
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,35,19,0,56
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,46,117,53,3,220
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,4,21,9,0,35
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,13,1,0,18
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,4,2,1,7
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,8,0,1,10
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,8,50,32,2,92
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,55,82,56,40,16,249
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,13,3,1,18
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,7,0,0,7
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,4,4,1,9
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,2,5,6,1,0,14
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,2,8,28,24,4,66
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,11,15,3,0,29
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,2,3,0,7
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,1,0,0,2
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,9,1,0,11
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,10,0,0,14
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,6,11,1,0,18
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,10,7,1,20
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,18,12,0,33
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,12,3,0,19
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,16,6,1,25
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,61,72,45,14,0,192
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,15,16,3,4,0,38
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,4,3,0,10
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,15,4,1,21
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,8,5,1,17
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,9,19,2,0,30
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,28,12,3,48
CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,6,3,2,12
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,28,12,0,42
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,16,9,0,30
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,8,1,0,11
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,14,47,14,0,75
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,8,0,1,10
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,17,5,0,25
CHARAÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,1,0,0,2
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,21,7,0,33
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,33,25,0,65
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,1,0,0,1
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,1,0,1,2
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,4,0,0,4
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,18,5,0,24
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,34,6,1,45
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,12,5,0,21
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,7,2,0,14
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,6,37,13,0,56
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,2,15,53,16,2,88
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,16,9,0,27
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,2,220,829,310,18,1379
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,1,0,0,1
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,10,109,50,2,171
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,14,3,1,21
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,4,2,1,8
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,43,9,0,59
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,4,1,0,10
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,24,9,2,38
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,36,4,1,44
COMANCHE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,0,1,0,1
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,5,39,15,4,64
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,1,0,0,1
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,7,3,0,10
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,17,1,0,21
CORO CORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,2,2,0,4
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,31,12,0,50
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,5,0,0,7
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,17,92,27,5,141
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,22,3,0,32
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,15,2,0,21
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,7,0,0,10
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,8,5,0,15
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,42,63,41,16,0,162
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,7,0,0,8
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,3,0,0,3
DESAGUADERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,7,1,0,8
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,68,487,262,33,850
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,19,3,1,26
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,6,19,29,2,56
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,2,13,50,16,0,81
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,55,60,8,4,0,127
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,10,13,8,0,31
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,19,111,21,0,151
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,8,3,0,15
ESMERALDA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,4,4,0,8
EUCALIPTUS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,7,0,0,7
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,2,1,0,1,0,4
EXALTACION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,4,2,0,9
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,6,27,15,1,49
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,4,1,0,10
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,9,3,2,16
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,53,20,3,83
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,10,42,37,4,93
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,0,12,4,6,23
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,6,5,0,13
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,53,128,351,114,26,672
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,13,5,0,23
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,30,38,22,15,0,105
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,13,13,12,7,0,45
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,4,0,0,4
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,5,12,1,0,18
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,9,5,0,17
HUARINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,4,2,0,6
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,0,1,0,1
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,9,2,0,12
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,4,0,0,5
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,7,0,0,8
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,49,50,10,5,0,114
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,91,93,11,4,0,199
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,13,19,2,0,34
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,32,12,1,52
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,7,0,0,10
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,5,3,0,10
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,17,74,17,0,108
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,9,145,87,2,243
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,16,64,825,256,32,1193
LA RIVERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,2,0,0,2
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,8,4,0,13
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,9,31,19,0,60
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,18,39,8,12,2,79
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,6,1,0,7
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,55,328,85,1,470
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,2,6,6,0,15
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,12,3,1,17
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,8,7,0,18
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,1,2,1,0,4
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,30,38,24,14,0,106
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,6,4,0,13
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,1,0,0,1
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,2,3,0,8
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,8,1,0,12
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,11,2,0,16
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,39,9,3,54
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,14,64,23,0,101
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,11,6,1,22
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,36,41,16,7,1,101
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,45,55,59,39,6,204
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,45,193,81,16,335
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,1,0,0,3
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,10,7,1,21
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,1,1,0,0,3
NAZACARA DE PACAJES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,0,1,0,0,1
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,2,11,3,0,16
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,7,12,4,1,24
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,4,7,7,1,19
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,42,30,366,139,6,583
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,1,4,64,34,2,105
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,18,48,31,11,1,109
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,11,6,1,21
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres que recibieron orientacion en anticoncepcion,2022-01-01,0,3,23,6,0,32
