,group,variable,month,DIU: USUARIAS CONTINUAS < 15,DIU: USUARIAS CONTINUAS 15 - 19,DIU: USUARIAS CONTINUAS 20 - 34,DIU: USUARIAS CONTINUAS 35 - 49,DIU: USUARIAS CONTINUAS 50 Y +,TOTALES
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,1,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,3,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,2,1,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,1,9,99,39,2,150
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,2,23,12,0,37
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,5,4,0,9
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,3,1,0,4
UNCIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,0,1,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,9,4,0,13
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-01-01,0,0,1,0,0,1
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,3,1,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,14,46,36,2,98
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,2,0,3
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,8,3,0,11
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,1,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,126,12,1,139
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,3,15,1,1,20
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,3,5,0,8
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,0,1,0,1
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,2,2,0,4
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,3,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,4,1,0,5
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,0,1,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,1,20,76,45,0,142
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,8,41,16,0,65
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,2,45,14,0,61
TIPUANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-02-01,0,0,1,0,0,1
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,1,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,27,67,21,0,115
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,0,2,0,2
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,26,4,0,30
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,1,0,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,2,0,3
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,1,3,121,16,1,142
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,1,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,3,0,0,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,4,47,17,0,68
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,1,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,7,8,0,15
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,1,0,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,2,0,0,2
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,3,1,0,4
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,2,28,65,36,2,133
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,8,55,8,0,71
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,22,5,0,27
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,2,0,0,2
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,1,0,2
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,6,3,0,9
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,9,10,1,20
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-03-01,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,2,1,0,0,3
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,2,1,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,15,110,106,18,249
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,3,0,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,6,4,0,10
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,0,2,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,3,108,14,0,125
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,4,20,9,2,35
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,3,0,0,3
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,1,1,0,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,7,12,0,19
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,9,1,0,0,10
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,1,1,0,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,4,2,0,6
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,0,2,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,2,1,0,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,2,19,68,49,3,141
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,6,26,13,0,45
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,22,6,1,29
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,2,5,0,0,7
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,2,0,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,9,16,2,27
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-04-01,0,0,3,1,0,4
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,0,1,0,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,3,0,0,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,2,0,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,2,1,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,16,42,41,2,101
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,3,0,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,17,7,0,24
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,4,0,5
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,2,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,2,108,17,0,127
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,1,0,1,0,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,2,0,0,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,7,25,12,1,45
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,5,6,0,11
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,0,1,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,3,1,5
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,0,1,0,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,0,1,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,3,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,1,0,1,0,2
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,1,3,1,0,5
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,2,0,0,2
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,1,22,108,34,2,167
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,1,27,10,0,38
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,19,6,0,25
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,2,2,0,0,4
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-05-01,0,0,19,14,1,34
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,1,3,1,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,12,38,9,0,59
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,12,7,0,19
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,2,0,3
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,1,2,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,3,0,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,1,89,15,0,105
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,2,0,0,2
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,3,15,5,0,23
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,1,0,2
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,2,1,0,0,3
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,8,11,0,19
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,0,1,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,2,1,0,3
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,2,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,1,0,1,2,0,4
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,24,69,44,1,138
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,14,22,22,0,58
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,23,5,0,28
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,2,2,1,1,6
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,1,16,10,0,27
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-06-01,0,0,2,0,0,2
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,1,0,0,1
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,1,0,0,1
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,3,1,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,12,44,27,1,84
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,7,9,0,16
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2022-07-01,0,0,1,1,0,2
