municipality,group,variable,month,Total 26.1 Número de viviendas evaluadas entomológicamente,TOTAL
MONTERO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,440.0,440.0
OMEREQUE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,15.0,15.0
PAILON,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,168.0,168.0
PALOS BLANCOS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,33.0,33.0
PORONGO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,20.0,20.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,28.0,28.0
SAIPINA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,1240.0,1240.0
SAN BUENA VENTURA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,235.0,235.0
SAN IGNACIO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,60.0,60.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,30.0,30.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,181.0,181.0
SUCRE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,975.0,975.0
TEOPONTE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,194.0,194.0
TIPUANI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,23.0,23.0
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,707.0,707.0
BERMEJO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,11.0,11.0
BUENA VISTA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,84.0,84.0
CARANAVI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,350.0,350.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,366.0,366.0
EL PUENTE(STC),control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,60.0,60.0
FERNANDEZ ALONSO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,186.0,186.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,71.0,71.0
GUTIERREZ,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,40.0,40.0
HUACARETA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,277.0,277.0
IXIAMAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,295.0,295.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,97.0,97.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,230.0,230.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,2862.0,2862.0
MONTERO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,913.0,913.0
PALOS BLANCOS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,900.0,900.0
SAN BUENA VENTURA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,314.0,314.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,75.0,75.0
SAN PEDRO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,112.0,112.0
SANTA ROSA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,645.0,645.0
SANTA ROSA DEL SARA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,158.0,158.0
SUCRE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,491.0,491.0
TEOPONTE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,103.0,103.0
TIPUANI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,25.0,25.0
WARNES,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-03-01,18.0,18.0
BERMEJO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,2.0,2.0
BOYUIBE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,250.0,250.0
CABEZAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,4.0,4.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,103.0,103.0
ENTRE RIOS TRJ,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,71.0,71.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,303.0,303.0
GUTIERREZ,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,54.0,54.0
HUACARETA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,88.0,88.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,12.0,12.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,224.0,224.0
MINEROS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,4.0,4.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,2214.0,2214.0
PRESTO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,247.0,247.0
SAN IGNACIO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,120.0,120.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,120.0,120.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,10.0,10.0
SUCRE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,147.0,147.0
TEOPONTE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,46.0,46.0
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,380.0,380.0
YACUIBA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-04-01,224.0,224.0
BOYUIBE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,100.0,100.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,90.0,90.0
GUAYARAMERIN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,65.0,65.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,15.0,15.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,249.0,249.0
MAPIRI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,448.0,448.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,2056.0,2056.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,90.0,90.0
SAN LUCAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,578.0,578.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,37.0,37.0
TEOPONTE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,48.0,48.0
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-05-01,83.0,83.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,340.0,340.0
HUACARETA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,52.0,52.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,113.0,113.0
MAPIRI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,142.0,142.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,1609.0,1609.0
MORO MORO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,158.0,158.0
PRESTO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,116.0,116.0
TEOPONTE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-06-01,52.0,52.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,76.0,76.0
EL TORNO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,215.0,215.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,136.0,136.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,13.0,13.0
MONTERO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,1126.0,1126.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,164.0,164.0
SAN IGNACIO DE VELASCO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,2.0,2.0
SAN LUCAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,229.0,229.0
YACUIBA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-07-01,33.0,33.0
CARANAVI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,576.0,576.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,240.0,240.0
EL TORNO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,15.0,15.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,100.0,100.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,10.0,10.0
MAPIRI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,481.0,481.0
MONTERO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,26.0,26.0
POSTRER VALLE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,17.0,17.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,313.0,313.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,10.0,10.0
SAN LUCAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-08-01,119.0,119.0
CABEZAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,444.0,444.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,71.0,71.0
CUATRO CAÑADAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,326.0,326.0
EL TORNO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,137.0,137.0
HUACARETA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,64.0,64.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,197.0,197.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,651.0,651.0
MONTERO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,326.0,326.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,340.0,340.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,10.0,10.0
SAN PEDRO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,16.0,16.0
SUCRE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-09-01,132.0,132.0
