,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,8,0,8
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,5,5
CATACORA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,4,0,4
CHARAÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,9,0,9
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,16,0,16
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,5,5
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,68,37,105
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,8,6,14
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,1,1
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,12,3,15
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,0,1
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,1,2
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,1,2
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,4,0,4
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,1,1
PORTACHUELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,5,0,5
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,4,0,4
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,3,1,4
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,10,10
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,3,5
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,4,3,7
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
SAMAIPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,10,10
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,26,13,39
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,28,0,28
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,7,8
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,4,4
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,2,3
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,2,3
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,12,16,28
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,3,0,3
SANTA ANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,114,11,125
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,10,7,17
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,2,0,2
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,2,2
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,6,3,9
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,8,0,8
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,7,37,44
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,1,1
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,2,2
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,4,9,13
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,2,2
ARAMPAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,3,3
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,16,3,19
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,5,5
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,13,7,20
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,3,0,3
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,4,4
CALACOTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,9,6,15
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,6,15,21
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,39,40
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,12,13
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,14,14
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,22,22
CKOCHAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,25,0,25
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,9,20,29
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,8,7,15
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,3,3
CORO CORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,10,10
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,26,28
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,8,75,83
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,19,19
CULPINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,3,3
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,102,131,233
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,13,20,33
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,23,6,29
FILADELFIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,5,1,6
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,5,6
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,5,5
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,37,39
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,25,33,58
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,53,54
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,8,11,19
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,9,10
LAJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,12,12
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,10,73,83
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,2,2
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,17,2,19
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,4,0,4
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,4,4
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,10,11
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,11,12
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,3,4,7
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,7,7
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,65,0,65
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,4,13,17
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,5,7
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,2,4
RAVELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,5,6
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,9,9
SACACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,7,0,7
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,9,9
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,2,3
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,6,6
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,2,2
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,10,10
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,4,3,7
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,17,8,25
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,5,12,17
SAN PEDRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,4,4
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,2,3
SANTA ANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,56,190,246
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,4,4
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,3,0,3
SANTIVAÑES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,3,3
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,22,23
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,33,57,90
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,9,35,44
TARATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,2,4
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,12,45,57
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
TOMAVE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,2,2
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,35,25,60
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,2,0,2
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,1,1
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,12,12
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,6,3,9
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,0,16,16
VILLA TUNARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,4,5
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,17,7,24
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,7,58,65
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,7,13,20
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,19,29,48
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,3,8,11
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,0,1
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-04-01,1,4,5
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,4,4
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,7,19,26
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,4,8,12
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,2,2,4
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,10,10
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,2,2
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,5,5
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,1,13,14
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,4,9,13
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,1,1
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,16,16
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,2,2
CALACOTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,7,7
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-05-01,1,4,5
