municipality,group,variable,month,Pentavalentes 2da dosis -DENTRO,TOTAL DENTRO,Pentavalentes 2da dosis -FUERA,TOTAL FUERA
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,40,40,3,3
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,12,12,43,43
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,6,6
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,5,5
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,13,13,15,15
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,18,18,32,32
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,14,14
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,11,11
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,5,5
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,5,5
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,13,13
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,28,28,8,8
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,3,3
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,52,52,13,13
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,15,15,17,17
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,9,9
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,21,21,14,14
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,64,64,27,27
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,9,9
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,10,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,3,3
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,2,2
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,20,20,30,30
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,5,5
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,17,17,10,10
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,9,9
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,3,3
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,30,30,2,2
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,9,9
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,14,14
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,21,21,3,3
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,71,71,14,14
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1268,1268,29,29
COIPASA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,93,93,10,10
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,2,2
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,39,39,16,16
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,12,12,2,2
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,53,53
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,8,8
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,28,28,21,21
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,4,4
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,16,16
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,27,27,0,0
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,19,19
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,15,15,15,15
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,3,3
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,8,8,11,11
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,2,2
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,16,16,21,21
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,103,103,14,14
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,18,18,9,9
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,6,6
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,1,1
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,25,25,26,26
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,2,2
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,9,9
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1412,1412,94,94
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,0,0
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,0,0
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,3,3
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,75,75,3,3
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,4,4
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,46,46,3,3
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,19,19,4,4
ESCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,1,1
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,0,0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,37,37,1,1
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,0,0
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,24,24,5,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,5,5
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,18,18,15,15
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,11,11
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,33,33,16,16
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,16,16
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,12,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,4,4
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,74,74,8,8
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,0,0
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,2,2
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,4,4
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,15,15
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,24,24,38,38
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,24,24
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,12,12
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,8,8,4,4
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,5,5
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,41,41,27,27
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,110,110,0,0
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1458,1458,96,96
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,7,7
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,22,22
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,1,1
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,2,2
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,27,27,36,36
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,0,0
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,2,2
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,14,14
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,0,0
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,8,8
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,25,25,8,8
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,1,1
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,4,4
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,21,21,8,8
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,13,13,10,10
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,50,50,3,3
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,22,22,22,22
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,14,14
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,10,10
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,27,27,11,11
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,205,205,19,19
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,0,0
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,18,18,26,26
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,1,1
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,25,25
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,4,4
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,6,6,7,7
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,507,507,34,34
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,2,2
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,16,16
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,37,37,0,0
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,8,8
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,28,28,21,21
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,3,3
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,12,12,5,5
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,3,3
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,0,0
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,25,25,6,6
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,8,8,6,6
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,6,6
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,20,20
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,11,11,7,7
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,11,11,10,10
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,9,9,2,2
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,4,4
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,11,11
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,10,10,4,4
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,36,36,2,2
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,16,16
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,353,353,31,31
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,12,12
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,2,2
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,13,13,29,29
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,9,9,21,21
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,20,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,3,3
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,0,0,7,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,13,13,7,7
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,1,1
PUERTO SILES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,3,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,22,22,5,5
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,65,65,4,4
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,23,23,23,23
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,56,56,3,3
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,3,3,0,0
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,194,194,9,9
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,20,20
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,7,7,12,12
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,14,14,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,115,115,29,29
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,18,18,8,8
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,26,26,5,5
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,2,2,2,2
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,148,148,64,64
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,4,4,2,2
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,11,11
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,5,5,6,6
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,1,1,6,6
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,9,9,3,3
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 2da dosis,2007-01-01,15,15,11,11
