municipality,group,variable,month,BCG -DENTRO,TOTAL DENTRO,BCG -FUERA,TOTAL FUERA
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,32,32,19,19
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,16,16,9,9
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,22,22,13,13
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,8,8,0,0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,2,2
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,39,39,0,0
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,17,17,16,16
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,13,13
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,5,5
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,15,15,4,4
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,17,17,32,32
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,16,16
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,10,10
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,11,11,2,2
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,9,9,24,24
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,34,34,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,2,2
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,84,84,1,1
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,36,36,5,5
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,15,15
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,30,30,17,17
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,135,135,41,41
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,9,9
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,14,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,2,2
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,9,9
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,30,30,30,30
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,3,3
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,28,28,17,17
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,3,3
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,10,10,8,8
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,8,8,7,7
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,0,0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,18,18,5,5
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,7,7,16,16
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,34,34,3,3
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,88,88,0,0
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1613,1613,7,7
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,54,54,0,0
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,4,4
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,2,2
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,6,6
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,5,5
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,11,11,69,69
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,9,9
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,38,38,23,23
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,3,3
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,28,28,4,4
COMBAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,43,43,0,0
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,7,7,6,6
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,11,11,15,15
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,2,2
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,16,16,8,8
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,3,3
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,14,14,20,20
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,95,95,8,8
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,15,15,3,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,2,2
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,6,6
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,26,26,21,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,3,3
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,17,17
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1700,1700,31,31
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,5,5
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,0,0
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,1,1
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,90,90,4,4
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,0,0
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,17,17,8,8
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,51,51,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,10,10,3,3
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,0,0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,19,19,5,5
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,0,0
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,33,33,10,10
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,10,10
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,15,15,2,2
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,13,13
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,95,95,4,4
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,20,20,14,14
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,10,10,12,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,2,2
HUACHACALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,0,0
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,39,39,5,5
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,2,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,8,8
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,4,4
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,10,10,8,8
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,26,26,33,33
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,17,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,21,21
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,9,9
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,11,11
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,77,77,18,18
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,64,64,4,4
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1801,1801,17,17
LA RIVERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,0,0
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,11,11,7,7
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,28,28
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,2,2
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,2,2
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,83,83,19,19
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,0,0
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,1,1
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,7,7
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,0,0
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,7,7,5,5
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,19,19,17,17
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,16,16,0,0
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,4,4
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,17,17,6,6
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,9,9,4,4
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,39,39,0,0
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,46,46,6,6
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,30,30
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,1,1
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,7,7
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,42,42,4,4
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,255,255,1,1
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,0,0
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,20,20,32,32
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,3,3
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,9,9,28,28
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,18,18,3,3
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,12,12
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,430,430,16,16
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,13,13,6,6
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,19,19,3,3
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,37,37,4,4
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,7,7,9,9
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,15,15,24,24
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,1,1
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,3,3
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,13,13
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,14,14,7,7
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,3,3
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,8,8
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,9,9,28,28
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,10,10,9,9
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,13,13,2,2
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,12,12,0,0
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,18,18,3,3
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,9,9,7,7
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,7,7,6,6
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,72,72,0,0
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,0,0
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,0,0
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,477,477,2,2
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,22,22
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,1,1
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,37,37,33,33
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,30,30
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,26,26
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,2,2
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,6,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,15,15,15,15
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,4,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,30,30,0,0
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,111,111,2,2
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,14,14,24,24
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,61,61,6,6
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,0,0
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,227,227,0,0
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,21,21
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,14,14
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,29,29,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,224,224,4,4
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,19,19
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,29,29,7,7
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,1,1
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,172,172,12,12
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,3,3
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,21,21
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,8,8
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,2,2
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,6,6,5,5
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,7,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,6,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,8,8,0,0
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,6,6
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,68,68,11,11
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,7,7,10,10
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,52,52,2,2
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,22,22,15,15
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,124,124,14,14
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,46,46,1,1
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,8,8,4,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,33,33,2,2
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,12,12,5,5
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,51,51,18,18
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,3,3
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,12,12,3,3
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,38,38,26,26
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,34,34,0,0
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,27,27,1,1
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,0,0
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,30,30,0,0
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,17,17,33,33
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,7,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,2,2
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,3,3
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,3,3,4,4
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,22,22,0,0
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,4,4,9,9
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,62,62,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2039,2039,112,112
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,14,14,6,6
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,16,16,9,9
