,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
URUBICHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
VALLEGRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,2,0,2,0,2
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,1,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,2,5,2,5,7
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,6,1,6,1,7
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,5,2,5,2,7
ANZALDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,1,0,1,1
CLIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,6,7,6,7,13
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,5,2,5,2,7
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,3,0,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,1,0,1,1
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,2,2,2,4
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,7,1,7,1,8
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,3,0,3,3
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,3,2,3,5
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,2,0,2,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,4,0,4,0,4
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,3,0,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,3,3,3,3,6
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,0,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,6,4,6,4,10
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,1,0,1,1
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
SORATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,1,0,1,0,1
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,0,2,0,2
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,2,2,2,4
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,2,1,2,1,3
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,4,4,4,4,8
YOTALA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,4,0,4,0,4
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,4,1,4,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,1,0,1,1
CLIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,2,0,2,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,7,10,7,10,17
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,2,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,2,1,2,3
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,2,0,2,0,2
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,3,1,3,1,4
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,3,2,3,2,5
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,4,1,4,5
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,7,8,7,8,15
SANTIVAÑES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,1,0,1,1
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,2,1,2,1,3
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,3,1,3,1,4
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,2,1,2,3
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,2,0,2,2
TUPIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,0,1,0,1
UMALA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,1,1,1,1,2
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,2,0,2,2
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,2,0,2,0,2
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,3,1,3,1,4
YANACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-03-01,2,3,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,2,0,2,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,6,5,6,5,11
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,2,1,2,3
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
CHUMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,1,0,1,1
CKOCHAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,2,1,2,3
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,3,2,3,2,5
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,2,0,2,2
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,6,9,6,9,15
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,3,1,3,4
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,2,0,2,2
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,17,4,17,4,21
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,1,0,1,1
LURIBAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,2,0,2,2
MACHARETI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,0,2,0,2
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,1,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,3,6,3,6,9
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,1,2,1,3
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,3,0,3,0,3
REYES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,2,1,2,3
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,3,1,3,1,4
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,3,1,3,1,4
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,0,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,9,8,9,8,17
SANTA ROSA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,1,2,1,3
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
TARATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,0,1,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,2,1,2,3
UYUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,1,2,1,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-04-01,2,3,2,3,5
AIQUILE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,2,0,2,0,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
COCAPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,7,2,7,2,9
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,4,1,4,5
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,3,5,3,5,8
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,2,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,2,0,2,2
GUTIERREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
INCAHUASI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,3,5,3,5,8
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
PADILLA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,3,2,3,2,5
POCOATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,5,2,5,2,7
PUERTO CARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,2,3,2,3,5
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,2,1,2,3
SAN LORENZO(TJA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,9,8,9,8,17
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,1,0,1,1
TOCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,0,5,0,5,5
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,2,2,2,2,4
UYUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,1,0,1,0,1
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,2,0,2,0,2
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,3,4,3,4,7
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-05-01,2,2,2,2,4
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,5,1,5,6
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,1,2,1,3
CKOCHAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,3,0,3,0,3
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,8,2,8,2,10
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,12,3,12,3,15
EL PUENTE(STC),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,0,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,1,1,1,2
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,2,0,2,0,2
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,2,1,2,3
HUMANATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,4,1,4,1,5
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,3,3,3,3,6
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,3,0,3,0,3
POCONA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,3,2,3,2,5
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-06-01,1,0,1,0,1
