,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES,TOTALES,TOTALES
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,4,1,4,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,3,1,3,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,49,48,49,48,97
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,3,0,3,0,3
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,6,3,6,3,9
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,6,5,6,5,11
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,0,2,0,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,1,1,1,2
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,10,2,10,2,12
PUERTO PEREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,9,1,9,1,10
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,3,4,3,4,7
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,4,4,4,4,8
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,3,4,3,4,7
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,3,0,3,3
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
SAN LORENZO(PND),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,0,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,65,27,65,27,92
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,2,0,2,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,10,8,10,8,18
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,0,2,0,2
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,0,2,0,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,6,5,6,5,11
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,4,2,4,2,6
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,8,2,8,2,10
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,5,0,5,0,5
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,3,3,3,3,6
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,1,2,1,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,5,4,5,4,9
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,3,2,3,5
WALDO BALLIVIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,4,1,4,1,5
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,4,2,4,2,6
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,2,1,2,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,8,1,8,1,9
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,2,0,2,2
ANZALDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,0,3,0,3
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,1,2,1,3
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,0,3,0,3
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,6,2,6,2,8
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,21,7,21,7,28
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,2,0,2,2
CORO CORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,4,1,4,1,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,50,16,50,16,66
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,0,3,0,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,1,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,3,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,5,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,0,3,0,3
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
INGAVI (HUMAITA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,4,3,4,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,4,1,4,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,34,21,34,21,55
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,0,3,0,3
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,2,1,2,3
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,2,1,2,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,4,2,4,2,6
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,6,3,6,3,9
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,0,3,0,3
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,1,2,1,3
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,6,1,6,1,7
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,5,2,5,2,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,3,2,3,5
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,7,2,7,2,9
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,4,3,4,3,7
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,1,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,1,1,1,2
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,61,33,61,33,94
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,2,3,2,5
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,5,3,5,3,8
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,2,3,2,5
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,1,2,1,3
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,2,0,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,5,3,5,3,8
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,2,0,2,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,1,3,1,4
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,0,1,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,1,3,1,4
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,5,4,5,4,9
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-02-01,3,1,3,1,4
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
ANTEQUERA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,1,2,1,3
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,10,0,10,0,10
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,7,6,7,6,13
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,2,1,2,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,12,7,12,7,19
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,1,1,1,2
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,3,2,3,5
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,2,1,2,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,29,7,29,7,36
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,3,0,3,0,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,5,1,5,6
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,46,23,46,23,69
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,7,2,7,2,9
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,6,4,6,4,10
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,1,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,5,0,5,0,5
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,2,1,2,3
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,4,0,4,0,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,1,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,76,46,76,46,122
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,8,2,8,2,10
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,8,6,8,6,14
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,2,2,2,4
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
POSTRER VALLE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,7,1,7,1,8
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,3,7,3,7,10
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,5,0,5,0,5
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-03-01,1,1,1,1,2
