,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
HUACHACALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,2,1,2,3
ICHOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,3,4,3,4,7
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,3,1,3,4
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,34,20,34,20,54
LAJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,6,4,6,4,10
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
POROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,10,1,10,1,11
PUERTO ACOSTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
PUERTO PEREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,9,1,9,1,10
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,2,0,2,2
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,2,1,2,3
QUIME,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,4,4,4,4,8
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,3,0,3,0,3
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,4,2,4,6
SACACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,3,0,3,3
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
SAN LORENZO(PND),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,60,26,60,26,86
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,3,1,3,1,4
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,8,5,8,5,13
TAPACARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
TARACO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,4,2,4,2,6
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,4,1,4,1,5
TOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
TOTORA(CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,7,1,7,1,8
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
VALLEGRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,2,0,2,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,3,2,3,5
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,2,2,2,4
WALDO BALLIVIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,4,1,4,1,5
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,3,2,3,2,5
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,4,1,4,1,5
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
ANZALDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,0,3,0,3
BAURES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,1,3,1,4
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,0,3,0,3
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,6,0,6,0,6
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,16,5,16,5,21
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,2,0,2,2
CORO CORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,27,11,27,11,38
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,4,1,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,3,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,10,1,10,11
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
ICHOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
INGAVI (HUMAITA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,4,4,4,4,8
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,3,1,3,4
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,12,10,12,10,22
LURIBAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,2,1,2,3
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,4,2,4,2,6
OCURI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
OMEREQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,4,3,4,3,7
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,0,3,0,3
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,8,3,8,3,11
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,5,2,5,2,7
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,1,2,1,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,3,2,3,5
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,1,3,1,4
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,3,3,3,3,6
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,2,0,2,2
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
SAN JOAQUIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,1,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,40,23,40,23,63
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,2,1,2,3
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,5,2,5,2,7
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,1,2,1,3
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,4,33,4,33,37
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,0,1,0,1
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,2,0,2,2
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,2,2,2,4
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,4,4,4,4,8
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-02-01,2,0,2,0,2
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
ANTEQUERA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
ARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
ARQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
ATOCHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,5,0,5,0,5
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
CALAMARCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,5,6,5,6,11
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,2,1,2,3
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,11,6,11,6,17
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,1,1,1,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,2,1,2,3
CHAYANTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,2,2,2,4
CHUMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,1,1,1,2
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,2,2,2,4
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,17,2,17,2,19
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
COLQUECHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,3,2,3,5
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,4,0,4,4
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,27,17,27,17,44
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,7,3,7,3,10
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,6,2,6,2,8
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,1,1,1,2
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,0,3,0,3
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,0,3,0,3
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,0,3,0,3
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,24,13,24,13,37
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,0,2,0,2
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,9,2,9,2,11
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,7,3,7,3,10
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,2,1,2,1,3
PAMPA GRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
POSTRER VALLE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,12,1,12,1,13
PRESTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
PUERTO RICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,7,3,7,10
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-03-01,3,0,3,0,3
