,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,0,3,0,3,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,0,1,0,1,1
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,3,3,3,3,6
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,3,2,3,2,5
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-04-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-05-01,0,1,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-05-01,0,1,0,1,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-05-01,1,1,1,1,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-05-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-05-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-05-01,2,3,2,3,5
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,2,1,2,1,3
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,2,0,2,0,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,0,0,0,0,0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,1,0,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,0,1,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,0,1,0,1,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-06-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,0,1,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,1,1,1,1,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,0,2,0,2,2
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,0,1,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-07-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,0,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,0,2,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,3,1,3,1,4
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,1,1,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,2,1,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,3,1,3,1,4
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-09-01,0,1,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,1,0,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,1,0,1,0,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,4,0,4,0,4
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,2,1,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-10-01,0,1,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,0,2,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,2,1,2,1,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,0,1,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,2,1,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,2,1,2,1,3
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-11-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,0,1,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,0,1,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,3,2,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2010-12-01,1,0,1,0,1
