,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-08-01,2.0,0.0,2.0,0.0,2.0
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-08-01,9.0,0.0,9.0,0.0,9.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-09-01,5.0,1.0,5.0,1.0,6.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-09-01,0.0,0.0,0.0,0.0,0.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-10-01,1.0,1.0,1.0,1.0,2.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-10-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-10-01,0.0,0.0,0.0,0.0,0.0
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-10-01,1.0,0.0,1.0,0.0,1.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-11-01,1.0,0.0,1.0,0.0,1.0
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-11-01,2.0,1.0,2.0,1.0,3.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-12-01,1.0,0.0,1.0,0.0,1.0
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-12-01,1.0,0.0,1.0,0.0,1.0
