,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,2,0,2,0,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,2,1,2,1,3
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,20,14,20,14,34
SANTIAGO DE CALLAPA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,2,0,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,2,1,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,0,1,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,1,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,3,2,3,2,5
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,0,1,0,1,1
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,0,1,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,9,2,9,2,11
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,3,1,3,1,4
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,2,0,2,0,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,2,1,2,1,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-03-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
BOLPEBRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,1,1,1,2
CUEVO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,3,2,3,2,5
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,4,0,4,0,4
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,2,1,2,3
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,13,5,13,5,18
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,1,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-04-01,1,0,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,2,1,2,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,0,1,0,1,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,2,2,2,2,4
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,1,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,2,0,2,0,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,1,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,3,2,3,2,5
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,0,2,0,2,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,2,1,2,1,3
POSTRER VALLE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,3,0,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,2,1,2,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,0,1,0,1,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,7,4,7,4,11
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,0,1,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-05-01,1,1,1,1,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,9,2,9,2,11
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,2,1,2,1,3
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,2,0,2,0,2
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,7,2,7,2,9
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,2,2,2,2,4
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,3,2,3,2,5
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,1,1,1,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,0,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,1,1,1,1,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,2,1,2,1,3
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,1,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,2,0,2,0,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,0,1,0,1,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,2,3,2,3,5
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,6,1,6,1,7
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,1,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,6,8,6,8,14
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,3,0,3,0,3
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,2,0,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-07-01,0,3,0,3,3
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,2,1,2,1,3
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,3,3,3,3,6
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,5,3,5,3,8
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,2,0,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,13,7,13,7,20
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,4,1,4,1,5
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,2,0,2,0,2
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,2,0,2,0,2
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-08-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,2,2,2,2,4
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,2,0,2,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,4,3,4,3,7
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,1,1,1,2
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,2,0,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-09-01,1,0,1,0,1
