,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,5,0,5,0,5
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,3,0,3,0,3
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
CAJUATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,0,1,0,1,1
CAPINOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,0,2,0,2,2
CLIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,8,4,8,4,12
CONCEPCION,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,17,6,17,6,23
ESCOMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,0,2,0,2,2
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,25,6,25,6,31
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,1,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,1,1,1,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,6,2,6,2,8
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,3,1,3,1,4
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,3,2,3,2,5
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,15,8,15,8,23
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,2,0,2,0,2
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,0,1,0,1,1
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,0,2,0,2,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-02-01,1,1,1,1,2
ATOCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,3,0,3,0,3
BATALLAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
CALAMARCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,11,5,11,5,16
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,14,9,14,9,23
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,1,1,1,2
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,35,30,35,30,65
LAJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
MINEROS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,2,2,2,2,4
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
PORTACHUELO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,11,1,11,1,12
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,21,22,21,22,43
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,4,3,4,3,7
TARATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,2,0,2,2
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
TIAWANACU,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,0,1,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,4,2,4,2,6
UNCIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,2,0,2,0,2
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-03-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
ANCORAIMES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,1,1,1,2
ATOCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
CAJUATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,3,1,3,1,4
CKOCHAS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,7,4,7,4,11
COLOMI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,0,1,0,1,1
CORO CORO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,7,9,7,9,16
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,27,13,27,13,40
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,2,1,2,1,3
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,3,4,3,4,7
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,4,0,4,0,4
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,2,1,2,1,3
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,0,1,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,17,10,17,10,27
SAPAHAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,0,1,0,1,1
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,1,1,1,2
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,2,2,2,2,4
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,2,0,2,0,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,0,4,0,4,4
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,1,0,1,0,1
YUNCHARA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-04-01,0,1,0,1,1
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
ALCALA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,6,7,6,7,13
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,13,9,13,9,22
ENTRE RIOS TRJ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
INQUISIVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,23,14,23,14,37
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
MOCOMOCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,2,3,2,3,5
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,3,0,3,0,3
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,4,1,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,2,1,2,3
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,9,4,9,4,13
SAPAHAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,2,0,2,0,2
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,2,0,2,2
TEOPONTE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,2,0,2,0,2
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,2,0,2,0,2
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-05-01,0,3,0,3,3
ATOCHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,2,0,2,0,2
CALAMARCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
CAPINOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,2,2,2,2,4
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,6,2,6,2,8
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,2,0,2,0,2
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,8,3,8,3,11
EL PUENTE(TJA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,23,20,23,20,43
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
MINEROS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
MOJOCOYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,8,3,8,3,11
PORCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,6,2,6,2,8
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,1,1,1,2
RURRENABAQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,3,0,3,0,3
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,7,5,7,5,12
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,4,2,4,2,6
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,2,0,2,2
TIAWANACU,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,2,1,2,3
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,2,1,2,1,3
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-06-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
CALAMARCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
CARIPUYO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
CHAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,7,4,7,4,11
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,2,1,2,3
COPACABANA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
CULPINA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,15,11,15,11,26
EL CHORO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
GUAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,29,13,29,13,42
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,1,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,6,3,6,3,9
PADCAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
PADILLA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,6,0,6,0,6
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
QUIABAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,2,2,2,2,4
RAVELO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,10,10,10,10,20
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,1,1,1,2
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,3,0,3,0,3
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,4,1,4,5
TACACOMA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
TACOBAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-07-01,1,0,1,0,1
