,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,16,18,16,18,34
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,3,1,3,1,4
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,4,0,4,0,4
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,3,1,3,1,4
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,4,1,4,1,5
TAPACARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,1,1,1,2
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
TOTORA(CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,0,2,0,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,4,2,4,2,6
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,2,0,2,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,0,2,0,2
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,8,4,8,4,12
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,3,2,3,5
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,1,2,1,3
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,2,1,2,3
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,5,4,5,4,9
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,7,4,7,4,11
EL CHORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,1,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,1,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,5,0,5,0,5
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,1,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,2,0,2,2
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,1,1,1,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,3,2,3,5
LAGUNILLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,5,1,5,1,6
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
PATACAMAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
POCONA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,1,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,3,2,3,5
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,19,11,19,11,30
SANTIAGO DE CALLAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,5,4,5,4,9
TACOBAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,5,2,5,2,7
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,1,0,1,1
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,2,0,2,0,2
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,4,1,4,1,5
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,1,1,1,2
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,3,3,3,3,6
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-02-01,3,2,3,2,5
ANCORAIMES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,5,2,5,2,7
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,1,2,1,3
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,1,1,1,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,5,4,5,4,9
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,11,5,11,5,16
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,1,3,1,4
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,20,6,20,6,26
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,5,0,5,5
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,2,2,2,4
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,2,1,2,3
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,4,0,4,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,7,3,7,3,10
LAGUNILLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,0,2,0,2
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,3,1,3,4
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,1,3,1,4
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,1,3,1,4
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
POJO (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,1,1,1,2
POROMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,0,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,4,2,4,2,6
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,2,1,2,3
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,2,0,2,2
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,29,25,29,25,54
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,3,1,3,4
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,8,4,8,4,12
TACOBAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,1,1,1,2
TAPACARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,0,2,0,2
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,2,2,2,4
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,3,3,3,6
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,0,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,0,2,0,2
TOMAVE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
TOTORA(CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,1,1,1,2
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
UNCIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,0,2,0,2
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,1,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,0,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,2,0,2,0,2
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,1,3,1,4
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,6,6,6,6,12
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,3,2,3,2,5
YOCALLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,0,2,0,2,2
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-03-01,1,1,1,1,2
ANCORAIMES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,3,1,3,1,4
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,2,1,2,3
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
CHOQUE COTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,10,4,10,4,14
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
COLPA BELGICA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,2,0,2,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,14,9,14,9,23
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,1,2,1,3
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,3,2,3,2,5
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,2,1,2,3
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
HUACARETA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,0,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,7,2,7,2,9
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,0,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,1,2,1,3
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,5,4,5,4,9
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,6,1,6,1,7
PAILON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
PORTACHUELO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,0,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,3,0,3,0,3
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,3,2,3,2,5
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,2,1,2,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
SAN ANDRES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,26,16,26,16,42
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,8,2,8,2,10
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,1,2,1,3
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,2,2,2,4
TARVITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,2,1,2,3
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,0,2,0,2
TIAWANACU,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,2,0,2,2
TOMAVE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
TOTORA(CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,3,0,3,0,3
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,2,1,2,3
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,2,6,2,6,8
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,8,3,8,3,11
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,1,1,1,2
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-04-01,1,0,1,0,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,2,1,2,1,3
CALACOTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,1,1,1,2
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-05-01,3,3,3,3,6
