,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES,TOTALES,TOTALES
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,2,5,2,7
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,8,4,8,4,12
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,8,3,8,3,11
CHARAÑA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,1,3,1,4
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,6,6,6,12
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,23,14,23,14,37
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,4,3,4,7
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,11,5,11,16
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,17,18,17,18,35
COCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,3,3,3,6
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,130,85,130,85,215
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,11,17,11,17,28
"COLCHA ""K""",tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,4,1,4,5
COLPA BELGICA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
COLQUECHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,10,2,10,2,12
COLQUENCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
COLQUIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,4,3,4,7
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,8,6,8,14
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
COPACABANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,7,5,7,5,12
CORO CORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,10,12,10,12,22
COTAGAITA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,6,2,6,8
COTOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,12,12,12,12,24
CUATRO CAÑADAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,13,1,13,1,14
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
CUEVO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
CULPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,7,7,7,7,14
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
EL ALTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,276,214,276,214,490
EL CHORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,1,3,1,4
EL PUENTE(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,3,2,3,5
EL PUENTE(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,3,1,3,4
EL TORNO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,24,35,24,35,59
EL VILLAR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,3,4,3,7
ENTRE RIOS CBBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,16,5,16,5,21
ESCOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,2,5,2,7
EUCALIPTUS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,8,5,8,13
FILADELFIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,0,5,0,5
GENERAL SAAVEDRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
GUANAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,5,5,5,10
GUAYARAMERIN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,12,9,12,9,21
GUTIERREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,2,3,2,5
HUACARETA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
HUACHACALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
HUANUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,3,5,3,8
HUARINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,2,3,2,5
HUAYLLAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
ICLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,4,3,4,7
INCAHUASI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
INGAVI (HUMAITA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
INQUISIVI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,3,6,3,9
IXIAMAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
LA ASUNTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,14,13,14,13,27
LA GUARDIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,23,26,23,26,49
LA PAZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,318,270,318,270,588
LAGUNILLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
LAJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,4,2,4,6
LAS CARRERAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
LICOMA PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
LLALLAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,11,4,11,4,15
MACHACAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
MACHARETI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,1,3,1,4
MAGDALENA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
MAIRANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,4,1,4,5
MAPIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,8,1,8,1,9
MECAPACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
MINEROS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
MIZQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,5,5,5,10
MOJOCOYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
MONTEAGUDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,28,14,28,14,42
MONTERO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,61,32,61,32,93
MORO MORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
MOROCHATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
OCURI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,4,4,4,8
OMEREQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,4,4,4,8
ORURO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,83,80,83,80,163
PADCAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
PADILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,1,6,1,7
PAILON,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,8,8,8,8,16
PALCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
PALOS BLANCOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,11,8,11,8,19
PAMPA AULLAGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
PAMPA GRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,6,0,6,6
PAPEL PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
PASORAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
PATACAMAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
PELECHUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
POCOATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
POCONA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,0,5,0,5
POJO (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,0,4,0,4
PORCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
POROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,3,0,3,3
PORONGO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
PORTACHUELO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,5,6,5,11
PORVENIR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
POTOSI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,74,15,74,15,89
PRESTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
PUCARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
PUERTO ACOSTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
PUERTO CARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
PUERTO GONZALO MORENO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,4,4,4,8
PUERTO PEREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,4,5,4,9
PUERTO VILLARROEL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,39,24,39,24,63
PUNA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,7,1,7,8
PUNATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,12,13,12,13,25
QUIABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
QUILLACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,15,13,15,13,28
QUIME,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,1,4,1,5
RAVELO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,3,1,3,4
REYES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,3,1,3,4
RIBERALTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,35,22,35,22,57
ROBORE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,7,0,7,0,7
RURRENABAQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,7,3,7,10
SABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,31,31,31,31,62
SACABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,3,0,3,3
SACACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
SAIPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,6,2,6,8
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
SAMAIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,8,0,8,0,8
SAN BENITO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
SAN BORJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,7,5,7,12
SAN BUENA VENTURA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,1,3,1,4
SAN CARLOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,9,4,9,13
SAN IGNACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,4,5,4,9
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,14,3,14,17
SAN JAVIER(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,7,1,7,1,8
SAN JOAQUIN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,0,6,0,6
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
SAN JULIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,13,0,13,0,13
SAN LORENZO(PND),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,6,1,6,7
SAN LUCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,9,6,9,15
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,4,0,4,4
SAN PEDRO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
SAN RAFAEL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
SAN RAMON BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
SANTA ANA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,656,379,656,379,1035
SANTA ROSA DEL SARA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,9,7,9,7,16
SANTIAGO DE CALLAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
SANTIAGO DE HUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
SANTIAGO DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
SANTIVAÑES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,3,1,3,4
SANTUARIO DE QUILLACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
SAPAHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
SHINAOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,10,5,10,5,15
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,3,1,3,4
SIPE SIPE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,9,2,9,11
SOPACHUY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,7,1,7,1,8
SORATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,11,6,11,17
SUCRE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,79,103,79,103,182
TACACOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,3,3,3,6
TACOBAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
TACOPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
TAPACARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,4,5,4,9
TARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,15,18,15,18,33
TARACO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
TARIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,46,46,46,46,92
TARVITA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
TEOPONTE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,6,6,6,12
TIAWANACU,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
TIPUANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,22,4,22,4,26
TIQUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,7,14,7,14,21
TIRAQUE (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
TOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
TOLATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
TOLEDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,4,0,4,4
TOMAVE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
TOMINA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
TORO TORO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
TOTORA(CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
TRIGAL,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
TRINIDAD,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,24,10,24,10,34
TUPIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,8,2,8,2,10
UNCIA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,4,1,4,5
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
URUBICHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,2,4,2,6
UYUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,4,6,4,10
VACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,3,3,3,6
VALLEGRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,0,4,0,4
VIACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,11,28,11,28,39
VILLA CHARCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,4,5,4,9
VILLA MONTES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,9,8,9,8,17
VILLA SERRANO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,38,26,38,26,64
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,1,3,1,4
VILLAZON,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,9,4,9,4,13
VINTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,9,7,9,7,16
VITICHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
WARNES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,33,18,33,18,51
YACUIBA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,43,44,43,44,87
YAMPARAEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,3,2,3,5
YANACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,54,28,54,28,82
YOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
YUNCHARA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
ZUDAÑEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,1,0,1,0,1
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,4,4,4,4,8
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,1,5,1,5,6
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,2,2,2,2,4
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,3,4,3,4,7
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,1,1,1,1,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,5,3,5,3,8
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,2,0,2,0,2
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,2,0,2,0,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,1,0,1,0,1
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,2,1,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,20,3,20,3,23
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,0,1,0,1,1
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,1,1,1,1,2
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-02-01,2,0,2,0,2
