,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
"COLCHA ""K""",tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,0,1,0,1,1
CUEVO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,6,1,6,1,7
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,3,2,3,2,5
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
MECAPACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,6,7,6,7,13
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,0,12,0,12,12
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,2,1,2,3
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
SAN BENITO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,7,2,7,2,9
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,2,1,2,3
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,3,3,3,3,6
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,0,1,0,1
YUNCHARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,2,1,2,3
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,2,0,2,0,2
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
BOYUIBE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,8,2,8,2,10
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,1,0,1,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,4,1,4,1,5
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,6,2,6,2,8
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,21,0,21,0,21
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,5,2,5,2,7
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,11,6,11,6,17
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,6,3,6,3,9
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,5,1,5,1,6
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,4,0,4,4
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,2,0,2,0,2
QUIME,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,1,0,1,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,18,9,18,9,27
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,26,9,26,9,35
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,2,0,2,0,2
TARATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,3,0,3,3
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,1,1,1,2
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,1,1,1,2
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,2,1,2,1,3
YUNCHARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-03-01,0,1,0,1,1
AIQUILE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,3,0,3,3
ANZALDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,2,0,2,0,2
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,3,5,3,5,8
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,11,9,11,9,20
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,1,1,1,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,5,5,5,5,10
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,2,1,2,3
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,6,6,6,6,12
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,1,1,1,2
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,6,10,6,10,16
LAJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,7,7,7,7,14
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,2,1,2,3
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,3,0,3,3
PRESTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,3,0,3,0,3
SAN AGUSTIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,12,0,12,0,12
SAN LUCAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,14,15,14,15,29
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,4,3,4,3,7
TACACOMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
TOMAVE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,1,1,1,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,3,1,3,1,4
VACAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,3,1,3,1,4
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
VILLAZON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-04-01,2,1,2,1,3
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,1,0,1,1
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,5,3,5,3,8
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,1,0,1,1
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,6,1,6,7
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,7,4,7,4,11
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,8,1,8,1,9
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,7,2,7,2,9
MINEROS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,4,0,4,4
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,2,0,2,2
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,1,0,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,2,1,2,1,3
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,3,12,3,12,15
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,5,1,5,1,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,10,1,10,1,11
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,2,1,2,1,3
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,2,0,2,0,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-05-01,0,2,0,2,2
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
BELLA FLOR,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,1,1,1,2
CAIROMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,6,7,6,7,13
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,2,1,2,3
CARAPARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,1,0,1,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,9,6,9,6,15
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,2,0,2,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,1,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,6,2,6,2,8
EL VILLAR,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,1,0,1,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,14,3,14,3,17
MOJOCOYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,1,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,13,5,13,5,18
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,2,0,2,0,2
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,6,0,6,0,6
PRESTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,3,0,3,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,2,3,2,3,5
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,8,4,8,4,12
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,1,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,3,1,3,1,4
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,1,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,3,3,3,3,6
VINTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-06-01,1,1,1,1,2
ACHOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,7,3,7,3,10
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,10,1,10,11
CLIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,2,3,2,3,5
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,3,8,3,8,11
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,8,1,8,1,9
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
EL VILLAR,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,2,1,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,11,5,11,5,16
LORETO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
MOJOCOYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,1,1,1,2
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,3,6,3,6,9
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,2,0,2,0,2
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,1,1,1,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,14,10,14,10,24
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,1,1,1,2
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,0,1,0,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,3,0,3,3
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,1,1,1,1,2
VINTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,0,1,0,1,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-07-01,3,0,3,0,3
ATOCHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,2,0,2,0,2
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,7,8,7,8,15
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,4,2,4,2,6
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,4,2,4,2,6
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,0,3,0,3,3
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,2,1,2,3
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,2,2,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,5,1,5,1,6
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,8,3,8,3,11
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,4,3,4,3,7
LURIBAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,0,1,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,2,0,2,0,2
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,6,0,6,0,6
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,6,0,6,0,6
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
PUNATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
SAN JOAQUIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,1,1,1,2
SAN PEDRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,4,10,4,10,14
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,18,9,18,9,27
SHINAOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,6,0,6,0,6
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,0,9,0,9,9
UNCIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,2,0,2,0,2
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,2,0,2,0,2
VILLAZON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,0,1,0,1
YUNCHARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-08-01,1,3,1,3,4
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,17,13,17,13,30
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,13,0,13,0,13
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,6,6,6,6,12
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-09-01,7,6,7,6,13
