municipality,group,variable,month,Pentavalentes 1ra dosis -DENTRO,TOTAL DENTRO,Pentavalentes 1ra dosis -FUERA,TOTAL FUERA
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,21,21,29,29
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,10,10,19,19
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,5,5
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,3,3
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,29,29,2,2
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,17,17
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,22,22
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,19,19
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,17,17,6,6
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,4,4
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,9,9
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,20,20,17,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,7,7,6,6
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,42,42,18,18
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,26,26,14,14
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,15,15
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,30,30,19,19
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,51,51,24,24
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,14,14,14,14
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,25,25
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,4,4
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,8,8
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,19,19,49,49
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,0,0
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,16,16,12,12
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,5,5
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,13,13,35,35
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,28,28,15,15
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,14,14,14,14
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,16,16
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,34,34,3,3
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,54,54,6,6
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1203,1203,58,58
COIPASA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,79,79,30,30
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,3,3
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,3,3
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,38,38,4,4
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,6,6
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,7,7,89,89
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,13,13
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,14,14,19,19
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,6,6,0,0
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,29,29,10,10
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,26,26,2,2
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,11,11
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,14,14,11,11
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,15,15,9,9
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,13,13,5,5
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,0,0
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,10,10,34,34
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,73,73,19,19
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,20,20,2,2
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,3,3
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,7,7,3,3
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,16,16,21,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,0,0
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,6,6
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,2,2
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1449,1449,30,30
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,3,3
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,11,11,6,6
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,6,6,13,13
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,61,61,2,2
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,7,7
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,25,25,12,12
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,44,44,11,11
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,2,2
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,2,2
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,0,0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,20,20,1,1
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,13,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,28,28,17,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,6,6
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,17,17,4,4
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,5,5
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,48,48,10,10
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,6,6,20,20
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,21,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,58,58,4,4
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,0,0
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,7,7
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,15,15
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,36,36,29,29
INGAVI (HUMAITA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,1,1
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,21,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,19,19,18,18
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,8,8
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,10,10,5,5
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,37,37,20,20
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,84,84,2,2
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1323,1323,31,31
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,2,2
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,11,11,20,20
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,1,1
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,4,4
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,18,18,68,68
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,6,6,3,3
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,8,8,3,3
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,8,8
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,2,2
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,5,5
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,6,6,0,0
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,19,19,1,1
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,0,0
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,6,6
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,6,6,15,15
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,25,25,1,1
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,19,19,20,20
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,15,15
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,3,3
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,4,4,5,5
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,25,25,24,24
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,155,155,30,30
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,37,37,58,58
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,4,4
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,3,3
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,12,12,48,48
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,18,18,7,7
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,2,2
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,512,512,37,37
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,15,15,6,6
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,10,10,15,15
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,29,29,4,4
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,14,14,13,13
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,40,40,9,9
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,1,1
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,7,7,8,8
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,4,4
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,1,1
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,36,36,13,13
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,5,5,2,2
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,9,9
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,21,21,37,37
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,16,16,6,6
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,7,7,12,12
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,7,7,5,5
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,8,8,2,2
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,13,13,29,29
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,8,8,4,4
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,24,24,11,11
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,371,371,15,15
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,3,3,16,16
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,2,2
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,31,31,19,19
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,13,13,31,31
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,26,26
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,5,5
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,0,0,17,17
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,15,15,14,14
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,3,3
PUERTO SILES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,0,0
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,23,23,11,11
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,94,94,8,8
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,21,21,30,30
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,56,56,3,3
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,1,1,2,2
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,177,177,17,17
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,9,9,11,11
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,2,2,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,12,12,33,33
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,17,17,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,158,158,17,17
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,23,23,1,1
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalentes 1ra dosis,2005-01-01,21,21,4,4
