municipality,group,variable,month,BCG -DENTRO,TOTAL DENTRO,BCG -FUERA,TOTAL FUERA
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,0,0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,5,5
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,3,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,24,24,14,14
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,6,6
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,22,22,0,0
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,6,6
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,84,84,3,3
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,24,24
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,5,5
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,0,0
HUACHACALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,0,0
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,50,50,4,4
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,0,0
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,9,9,2,2
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,7,7
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,5,5
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,45,45,15,15
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,20,20
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,12,12,19,19
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,11,11
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,5,5
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,17,17
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,75,75,0,0
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1676,1676,14,14
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,16,16
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,1,1
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,59,59,10,10
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,1,1
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,0,0
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,8,8
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,1,1
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,5,5
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,15,15,2,2
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,18,18,0,0
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,6,6
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,10,10,11,11
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,27,27
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,24,24,2,2
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,35,35,12,12
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,14,14
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,2,2
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,5,5
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,37,37,4,4
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,229,229,39,39
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,21,21,54,54
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,1,1
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,55,55
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,10,10,3,3
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,406,406,15,15
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,2,2
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,16,16,6,6
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,27,27,2,2
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,9,9
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,33,33,15,15
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,5,5
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,13,13,8,8
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,4,4
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,1,1
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,31,31,11,11
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,0,0
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,7,7
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,12,12
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,11,11
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,19,19,14,14
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,0,0
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,7,7
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,19,19,20,20
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,4,4
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,19,19,1,1
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,1,1
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,337,337,5,5
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,18,18
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,1,1
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,25,25,19,19
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,26,26
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,27,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,3,3
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,8,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,19,19,17,17
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,4,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,38,38,18,18
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,97,97,5,5
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,8,8
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,59,59,2,2
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,192,192,12,12
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,9,9,26,26
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,11,11,25,25
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,22,22,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,163,163,8,8
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,10,10,4,4
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,49,49,4,4
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,0,0
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,202,202,21,21
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,10,10
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,14,14
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,6,6
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,1,1
SAN AGUSTIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,0,0
SAN ANDRES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,4,4
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,3,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,5,5
SAN BENITO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,7,7
SAN BORJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,62,62,0,0
SAN BUENA VENTURA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,7,7
SAN CARLOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,24,24,8,8
SAN IGNACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,24,24,8,8
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,65,65,3,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,0,0
SAN JOAQUIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,0,0
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,25,25,1,1
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,10,10,1,1
SAN JULIAN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,70,70,34,34
SAN LORENZO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,9,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,12,12
SAN LUCAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,28,28,40,40
SAN MATIAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,15,15,6,6
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,18,18,1,1
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,0,0
SAN PEDRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,34,34,0,0
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,22,22
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,8,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,4,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,4,4
SAN RAFAEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,0,0
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,9,9,0,0
SAN RAMON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,3,3
SANTA ANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,26,26,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2425,2425,71,71
SANTA ROSA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,14,14,6,6
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,6,6
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,5,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,13,13
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,5,5
