municipality,group,variable,month,Pentavalente 3ra dosis -DENTRO,TOTAL DENTRO,Pentavalente 3ra dosis -FUERA,TOTAL FUERA
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,12,12,17,17
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,17,17
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,14,14
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,21,21,5,5
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,15,15,14,14
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,13,13,14,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,2,2
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,27,27,16,16
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,21,21,20,20
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,3,3
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,15,15,17,17
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,37,37,20,20
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,8,8,8,8
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,8,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,4,4
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,16,16,44,44
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,1,1
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,18,18,10,10
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,3,3
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,9,9,18,18
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,17,17,9,9
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,9,9,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,11,11
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,4,4
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,35,35,10,10
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,59,59,14,14
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1076,1076,54,54
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,59,59,19,19
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,1,1
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,28,28,6,6
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,5,5
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,30,30
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,14,14
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,20,20,16,16
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,0,0
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,19,19,13,13
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,24,24,1,1
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,13,13
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,11,11
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,6,6,4,4
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,8,8,46,46
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,1,1
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,6,6,16,16
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,83,83,20,20
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,16,16,3,3
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,1,1
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,4,4
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,14,14,29,29
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,0,0
CURVA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,8,8
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,4,4
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1078,1078,41,41
EL CHORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,4,4
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,8,8,10,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,10,10
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,59,59,1,1
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,0,0
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,22,22,14,14
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,43,43,22,22
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,1,1
EXALTACION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,0,0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,22,22,2,2
FILADELFIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,13,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,29,29,11,11
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,1,1
GUANAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,15,15,5,5
GUAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,6,6
GUAYARAMERIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,75,75,26,26
GUTIERREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,19,19
HUACARETA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,7,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,0,0
HUACHACALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,0,0
HUANUNI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,37,37,8,8
HUARACAJE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,6,6,0,0
HUAYLLAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,1,1
ICHOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,7,7
ICLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,8,8
INCAHUASI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,26,26,25,25
INQUISIVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,18,18
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,12,12,8,8
IXIAMAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,13,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,10,10
LA ASUNTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,28,28,29,29
LA GUARDIA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,82,82,3,3
LA PAZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1173,1173,36,36
LAGUNILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,7,7
LAJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,13,13
LAS CARRERAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,1,1
LICOMA PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,0,0
LLALLAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,38,38
LLICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,1,1
LORETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,0,0
LURIBAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,6,6
MACHACAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,1,1
MACHARETI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,12,12,8,8
MAGDALENA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,11,11,0,0
MAIRANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,1,1
MALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,1,1
MAPIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,5,5
MECAPACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,10,10
MINEROS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,40,40,6,6
MIZQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,23,23,24,24
MOCOMOCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,11,11
MOJINETE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,2,2
MOJOCOYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,6,6
MONTEAGUDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,23,23,10,10
MONTERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,157,157,32,32
MORO MORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,1,1
MOROCHATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,16,16,53,53
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,3,3
OCURI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,6,6,20,20
OKINAWA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,18,18,4,4
OMEREQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,1,1
ORURO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,420,420,32,32
PADCAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,14,14,8,8
PADILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,8,8
PAILON,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,29,29,6,6
PALCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,10,10,9,9
PALOS BLANCOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,25,25,13,13
PAMPA AULLAGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,2,2
PAMPA GRANDE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,8,8,10,10
PAPEL PAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,10,10
PASORAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,2,2
PATACAMAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,23,23,14,14
PAZÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,3,3
PELECHUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,7,7
POCOATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,17,17
POCONA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,10,10
POJO (CBBA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,13,13
POOPO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,4,4
PORCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,3,3,0,0
POROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,17,17
PORONGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,11,11,7,7
PORTACHUELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,22,22,10,10
PORVENIR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,2,2
POSTRER VALLE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,1,1
POTOSI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,227,227,16,16
PRESTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,9,9
PUCARA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,1,1,1,1
PUCARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,12,12,26,26
PUERTO ACOSTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,12,12,18,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,21,21
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,1,1
PUERTO PEREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,0,0,17,17
PUERTO QUIJARRO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,17,17,10,10
PUERTO RICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,6,6,9,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,19,19,12,12
PUERTO VILLARROEL,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,93,93,8,8
PUNA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,14,14,19,19
PUNATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,37,37,9,9
QUIABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,2,2
QUILLACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,193,193,27,27
QUIME,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,11,11,17,17
QUIRUSILLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,0,0
RAVELO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,7,7,19,19
REYES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,19,19,0,0
RIBERALTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,127,127,18,18
ROBORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,13,13,4,4
RURRENABAQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,26,26,0,0
SABAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,4,4,0,0
SACABA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,145,145,34,34
SACABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,6,6,6,6
SACACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,7,7
SAIPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,9,9,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,4,4
SAMAIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,5,5,2,2
SAN AGUSTIN,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,pentavalente 3ra dosis,2005-01-01,2,2,0,0
