municipality,group,variable,month,Tratamientos iniciados en el mes por agente comun,TOTAL
SAN BORJA,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,1,1
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,2,2
VILLAZON,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,1,1
COTAGAITA,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,1,1
GENERAL SAAVEDRA,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,5,5
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,5,5
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,20,20
HUACARETA,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,1,1
PORVENIR,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,10,10
RIBERALTA,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,2,2
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,18,18
SIPE SIPE,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,5,5
TIQUIPAYA,malaria,tratamientos iniciados en el mes por agente comun,2006-07-01,17,17
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,20,20
ENTRE RIOS,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,21,21
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,2,2
OMEREQUE,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,6,6
POROMA,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,7,7
RIBERALTA,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,7,7
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,2,2
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,5,5
TOTORA(CBBA),malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-08-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,23,23
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,4,4
ENTRE RIOS,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,2,2
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,52,52
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,5,5
PADILLA,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,3,3
POROMA,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,4,4
RIBERALTA,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,2,2
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,11,11
VALLEGRANDE,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,2,2
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-09-01,2,2
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,19,19
BELLA FLOR,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,1,1
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,1,1
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,23,23
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,5,5
MONTEAGUDO,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,3,3
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,4,4
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-10-01,2,2
APOLO,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,12,12
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,5,5
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,22,22
HUACARETA,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
MIZQUE,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
PUERTO RICO,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,2,2
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,70,70
TOMINA,malaria,tratamientos iniciados en el mes por agente comun,2006-11-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,2,2
ENTRE RIOS,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,8,8
PADILLA,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,5,5
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,3,3
URIONDO (A. CONCEPCION),malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,3,3
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,3,3
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2006-12-01,3,3
