municipality,group,variable,month,Muestras tomadas por agente comunario,TOTAL
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-03-01,138,138
MAPIRI,malaria,muestras tomadas por agente comunario,2006-03-01,11,11
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-03-01,9,9
PADILLA,malaria,muestras tomadas por agente comunario,2006-03-01,1,1
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2006-03-01,4,4
POROMA,malaria,muestras tomadas por agente comunario,2006-03-01,9,9
PORVENIR,malaria,muestras tomadas por agente comunario,2006-03-01,5,5
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-03-01,18,18
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-03-01,4,4
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-03-01,17,17
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-03-01,30,30
AZURDUY,malaria,muestras tomadas por agente comunario,2006-04-01,3,3
BAURES,malaria,muestras tomadas por agente comunario,2006-04-01,63,63
BERMEJO,malaria,muestras tomadas por agente comunario,2006-04-01,14,14
CARAPARI,malaria,muestras tomadas por agente comunario,2006-04-01,11,11
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-04-01,30,30
GUANAY,malaria,muestras tomadas por agente comunario,2006-04-01,6,6
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-04-01,73,73
HUARACAJE,malaria,muestras tomadas por agente comunario,2006-04-01,8,8
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-04-01,265,265
MAPIRI,malaria,muestras tomadas por agente comunario,2006-04-01,3,3
MOJOCOYA,malaria,muestras tomadas por agente comunario,2006-04-01,6,6
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-04-01,3,3
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2006-04-01,7,7
POROMA,malaria,muestras tomadas por agente comunario,2006-04-01,15,15
PORVENIR,malaria,muestras tomadas por agente comunario,2006-04-01,1,1
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-04-01,21,21
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-04-01,6,6
TORO TORO,malaria,muestras tomadas por agente comunario,2006-04-01,2,2
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-04-01,14,14
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-04-01,6,6
AZURDUY,malaria,muestras tomadas por agente comunario,2006-05-01,2,2
BAURES,malaria,muestras tomadas por agente comunario,2006-05-01,37,37
CARAPARI,malaria,muestras tomadas por agente comunario,2006-05-01,26,26
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-05-01,9,9
GUANAY,malaria,muestras tomadas por agente comunario,2006-05-01,13,13
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-05-01,52,52
HUARACAJE,malaria,muestras tomadas por agente comunario,2006-05-01,10,10
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-05-01,96,96
MAPIRI,malaria,muestras tomadas por agente comunario,2006-05-01,3,3
MIZQUE,malaria,muestras tomadas por agente comunario,2006-05-01,4,4
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-05-01,11,11
PADCAYA,malaria,muestras tomadas por agente comunario,2006-05-01,7,7
PORVENIR,malaria,muestras tomadas por agente comunario,2006-05-01,1,1
REYES,malaria,muestras tomadas por agente comunario,2006-05-01,35,35
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-05-01,72,72
SENA,malaria,muestras tomadas por agente comunario,2006-05-01,31,31
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-05-01,6,6
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-05-01,11,11
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-05-01,12,12
BAURES,malaria,muestras tomadas por agente comunario,2006-06-01,5,5
BERMEJO,malaria,muestras tomadas por agente comunario,2006-06-01,15,15
CARAPARI,malaria,muestras tomadas por agente comunario,2006-06-01,13,13
CUEVO,malaria,muestras tomadas por agente comunario,2006-06-01,58,58
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-06-01,14,14
GUANAY,malaria,muestras tomadas por agente comunario,2006-06-01,2,2
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-06-01,55,55
HUARACAJE,malaria,muestras tomadas por agente comunario,2006-06-01,11,11
INGAVI (HUMAITA),malaria,muestras tomadas por agente comunario,2006-06-01,2,2
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-06-01,41,41
MAPIRI,malaria,muestras tomadas por agente comunario,2006-06-01,13,13
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-06-01,14,14
PADCAYA,malaria,muestras tomadas por agente comunario,2006-06-01,4,4
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2006-06-01,2,2
PORVENIR,malaria,muestras tomadas por agente comunario,2006-06-01,3,3
PUERTO RICO,malaria,muestras tomadas por agente comunario,2006-06-01,17,17
SAN BORJA,malaria,muestras tomadas por agente comunario,2006-06-01,1,1
SENA,malaria,muestras tomadas por agente comunario,2006-06-01,26,26
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-06-01,14,14
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-06-01,3,3
BERMEJO,malaria,muestras tomadas por agente comunario,2006-07-01,3,3
CARAPARI,malaria,muestras tomadas por agente comunario,2006-07-01,31,31
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-07-01,7,7
GENERAL SAAVEDRA,malaria,muestras tomadas por agente comunario,2006-07-01,74,74
GUANAY,malaria,muestras tomadas por agente comunario,2006-07-01,8,8
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-07-01,51,51
HUACARETA,malaria,muestras tomadas por agente comunario,2006-07-01,1,1
INGAVI (HUMAITA),malaria,muestras tomadas por agente comunario,2006-07-01,5,5
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-07-01,123,123
MAPIRI,malaria,muestras tomadas por agente comunario,2006-07-01,7,7
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-07-01,9,9
OMEREQUE,malaria,muestras tomadas por agente comunario,2006-07-01,1,1
PORVENIR,malaria,muestras tomadas por agente comunario,2006-07-01,10,10
RIBERALTA,malaria,muestras tomadas por agente comunario,2006-07-01,29,29
SENA,malaria,muestras tomadas por agente comunario,2006-07-01,27,27
SIPE SIPE,malaria,muestras tomadas por agente comunario,2006-07-01,18,18
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-07-01,2,2
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-07-01,8,8
YACUIBA,malaria,muestras tomadas por agente comunario,2006-07-01,12,12
ZUDAÑEZ,malaria,muestras tomadas por agente comunario,2006-07-01,1,1
BAURES,malaria,muestras tomadas por agente comunario,2006-08-01,52,52
BERMEJO,malaria,muestras tomadas por agente comunario,2006-08-01,14,14
CARAPARI,malaria,muestras tomadas por agente comunario,2006-08-01,8,8
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-08-01,11,11
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por agente comunario,2006-08-01,30,30
GUANAY,malaria,muestras tomadas por agente comunario,2006-08-01,18,18
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-08-01,93,93
HUARACAJE,malaria,muestras tomadas por agente comunario,2006-08-01,6,6
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-08-01,118,118
MAPIRI,malaria,muestras tomadas por agente comunario,2006-08-01,18,18
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-08-01,39,39
PADCAYA,malaria,muestras tomadas por agente comunario,2006-08-01,1,1
POROMA,malaria,muestras tomadas por agente comunario,2006-08-01,7,7
PORVENIR,malaria,muestras tomadas por agente comunario,2006-08-01,1,1
RIBERALTA,malaria,muestras tomadas por agente comunario,2006-08-01,60,60
SAIPINA,malaria,muestras tomadas por agente comunario,2006-08-01,1,1
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-08-01,4,4
SENA,malaria,muestras tomadas por agente comunario,2006-08-01,17,17
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-08-01,1,1
TOTORA(CBBA),malaria,muestras tomadas por agente comunario,2006-08-01,1,1
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-08-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-08-01,3,3
YACUIBA,malaria,muestras tomadas por agente comunario,2006-08-01,3,3
BAURES,malaria,muestras tomadas por agente comunario,2006-09-01,83,83
BERMEJO,malaria,muestras tomadas por agente comunario,2006-09-01,9,9
CARAPARI,malaria,muestras tomadas por agente comunario,2006-09-01,1,1
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-09-01,4,4
GUANAY,malaria,muestras tomadas por agente comunario,2006-09-01,1,1
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-09-01,122,122
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-09-01,172,172
MAPIRI,malaria,muestras tomadas por agente comunario,2006-09-01,29,29
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-09-01,4,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por agente comunario,2006-09-01,19,19
PASORAPA,malaria,muestras tomadas por agente comunario,2006-09-01,1,1
RIBERALTA,malaria,muestras tomadas por agente comunario,2006-09-01,100,100
SAN PEDRO(PND),malaria,muestras tomadas por agente comunario,2006-09-01,4,4
SENA,malaria,muestras tomadas por agente comunario,2006-09-01,48,48
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-09-01,6,6
VALLEGRANDE,malaria,muestras tomadas por agente comunario,2006-09-01,2,2
VILA VILA,malaria,muestras tomadas por agente comunario,2006-09-01,1,1
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-09-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-09-01,2,2
YACUIBA,malaria,muestras tomadas por agente comunario,2006-09-01,8,8
ARANI,malaria,muestras tomadas por agente comunario,2006-10-01,18,18
BAURES,malaria,muestras tomadas por agente comunario,2006-10-01,50,50
BELLA FLOR,malaria,muestras tomadas por agente comunario,2006-10-01,1,1
BERMEJO,malaria,muestras tomadas por agente comunario,2006-10-01,1,1
CARAPARI,malaria,muestras tomadas por agente comunario,2006-10-01,4,4
GUANAY,malaria,muestras tomadas por agente comunario,2006-10-01,5,5
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-10-01,66,66
HUACARETA,malaria,muestras tomadas por agente comunario,2006-10-01,2,2
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-10-01,56,56
MAPIRI,malaria,muestras tomadas por agente comunario,2006-10-01,16,16
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-10-01,5,5
PADCAYA,malaria,muestras tomadas por agente comunario,2006-10-01,3,3
POCONA,malaria,muestras tomadas por agente comunario,2006-10-01,1,1
POROMA,malaria,muestras tomadas por agente comunario,2006-10-01,9,9
PORVENIR,malaria,muestras tomadas por agente comunario,2006-10-01,1,1
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-10-01,16,16
SENA,malaria,muestras tomadas por agente comunario,2006-10-01,18,18
SUCRE,malaria,muestras tomadas por agente comunario,2006-10-01,645,645
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-10-01,7,7
URIONDO (A. CONCEPCION),malaria,muestras tomadas por agente comunario,2006-10-01,4,4
VILA VILA,malaria,muestras tomadas por agente comunario,2006-10-01,2,2
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-10-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-10-01,5,5
YACUIBA,malaria,muestras tomadas por agente comunario,2006-10-01,2,2
APOLO,malaria,muestras tomadas por agente comunario,2006-11-01,9,9
AZURDUY,malaria,muestras tomadas por agente comunario,2006-11-01,2,2
BAURES,malaria,muestras tomadas por agente comunario,2006-11-01,36,36
BERMEJO,malaria,muestras tomadas por agente comunario,2006-11-01,22,22
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-11-01,19,19
GUANAY,malaria,muestras tomadas por agente comunario,2006-11-01,5,5
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-11-01,89,89
HUACARETA,malaria,muestras tomadas por agente comunario,2006-11-01,1,1
LA ASUNTA,malaria,muestras tomadas por agente comunario,2006-11-01,1,1
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-11-01,94,94
MAPIRI,malaria,muestras tomadas por agente comunario,2006-11-01,13,13
MIZQUE,malaria,muestras tomadas por agente comunario,2006-11-01,1,1
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-11-01,84,84
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por agente comunario,2006-11-01,3,3
PADCAYA,malaria,muestras tomadas por agente comunario,2006-11-01,4,4
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2006-11-01,2,2
PUERTO RICO,malaria,muestras tomadas por agente comunario,2006-11-01,3,3
PUNATA,malaria,muestras tomadas por agente comunario,2006-11-01,5,5
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-11-01,30,30
SENA,malaria,muestras tomadas por agente comunario,2006-11-01,25,25
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-11-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-11-01,20,20
AZURDUY,malaria,muestras tomadas por agente comunario,2006-12-01,6,6
BAURES,malaria,muestras tomadas por agente comunario,2006-12-01,3,3
BERMEJO,malaria,muestras tomadas por agente comunario,2006-12-01,17,17
CARAPARI,malaria,muestras tomadas por agente comunario,2006-12-01,1,1
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-12-01,14,14
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-12-01,49,49
LA ASUNTA,malaria,muestras tomadas por agente comunario,2006-12-01,1,1
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-12-01,78,78
MAPIRI,malaria,muestras tomadas por agente comunario,2006-12-01,11,11
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-12-01,14,14
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por agente comunario,2006-12-01,7,7
PADCAYA,malaria,muestras tomadas por agente comunario,2006-12-01,3,3
PADILLA,malaria,muestras tomadas por agente comunario,2006-12-01,5,5
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2006-12-01,2,2
RIBERALTA,malaria,muestras tomadas por agente comunario,2006-12-01,22,22
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2006-12-01,34,34
SENA,malaria,muestras tomadas por agente comunario,2006-12-01,3,3
TEOPONTE,malaria,muestras tomadas por agente comunario,2006-12-01,17,17
VILA VILA,malaria,muestras tomadas por agente comunario,2006-12-01,3,3
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-12-01,18,18
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-12-01,83,83
