municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,13,13
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
VILLA SERRANO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,16,16
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,102,102
YAPACANI,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
APOLO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,3,3
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,8,8
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,30,30
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,10,10
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,3,3
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,30,30
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
CONCEPCION,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,12,12
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,6,6
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,10,10
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,288,288
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,3,3
ICLA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
INCAHUASI,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,4,4
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,5,5
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,4,4
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,5,5
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,6,6
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,4,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,12,12
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,11,11
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,5,5
PAMPA GRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
PASORAPA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,21,21
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,11,11
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,12,12
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,6,6
RAVELO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,7,7
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,646,646
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,23,23
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,25,25
SAN LUCAS,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,16,16
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
SAN RAMON,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,3,3
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,19,19
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,13,13
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,4,4
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,15,15
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,5,5
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-03-01,23,23
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,68,68
ZUDAÑEZ,malaria,tratamientos iniciados en el mes por personal de,2006-03-01,1,1
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,21,21
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,25,25
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,6,6
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,16,16
COCHABAMBA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
COTOCA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,5,5
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,3,3
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,5,5
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,431,431
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,5,5
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,9,9
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,8,8
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,4,4
MOROCHATA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,18,18
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,5,5
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,7,7
PAMPA GRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,5,5
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,27,27
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,3,3
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,13,13
PUERTO VILLARROEL,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
RAVELO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,8,8
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,774,774
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
SAIPINA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,16,16
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,15,15
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,8,8
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,4,4
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,23,23
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,4,4
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,4,4
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,7,7
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,5,5
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-04-01,22,22
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,80,80
ZUDAÑEZ,malaria,tratamientos iniciados en el mes por personal de,2006-04-01,2,2
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,26,26
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,5,5
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,16,16
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,10,10
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,521,521
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
ICLA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,20,20
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,5,5
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,5,5
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,11,11
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,5,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,18,18
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,14,14
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,3,3
PASORAPA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,19,19
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,8,8
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,16,16
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,54,54
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,770,770
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,5,5
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,26,26
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,36,36
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,10,10
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,6,6
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,23,23
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,8,8
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,8,8
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-05-01,17,17
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-05-01,43,43
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,8,8
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,5,5
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,25,25
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,4,4
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,8,8
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,11,11
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-06-01,5,5
EXALTACION,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,2,2
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,5,5
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,363,363
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,3,3
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,4,4
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-06-01,4,4
