municipality,group,variable,month,Viviendas rociadas por personal de salud,TOTAL
PAMPA GRANDE,malaria,viviendas rociadas por personal de salud,2006-09-01,2,2
PORVENIR,malaria,viviendas rociadas por personal de salud,2006-09-01,23,23
RIBERALTA,malaria,viviendas rociadas por personal de salud,2006-09-01,40,40
SAN IGNACIO DE VELASCO,malaria,viviendas rociadas por personal de salud,2006-09-01,1,1
TARIJA,malaria,viviendas rociadas por personal de salud,2006-09-01,16,16
VILLA NUEVA (LOMA ALTA),malaria,viviendas rociadas por personal de salud,2006-09-01,47,47
BAURES,malaria,viviendas rociadas por personal de salud,2006-10-01,89,89
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2006-10-01,5,5
BERMEJO,malaria,viviendas rociadas por personal de salud,2006-10-01,425,425
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-10-01,28,28
IXIAMAS,malaria,viviendas rociadas por personal de salud,2006-10-01,199,199
MONTEAGUDO,malaria,viviendas rociadas por personal de salud,2006-10-01,743,743
PUCARA,malaria,viviendas rociadas por personal de salud,2006-10-01,5,5
SAN JOAQUIN,malaria,viviendas rociadas por personal de salud,2006-10-01,100,100
SAN PEDRO DE BUENA VISTA,malaria,viviendas rociadas por personal de salud,2006-10-01,24,24
SUCRE,malaria,viviendas rociadas por personal de salud,2006-10-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),malaria,viviendas rociadas por personal de salud,2006-10-01,107,107
YANACACHI,malaria,viviendas rociadas por personal de salud,2006-10-01,4,4
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2006-11-01,19,19
CONCEPCION,malaria,viviendas rociadas por personal de salud,2006-11-01,67,67
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-11-01,52,52
HUACARETA,malaria,viviendas rociadas por personal de salud,2006-11-01,239,239
HUACAYA (VILLA DE HUACAYA),malaria,viviendas rociadas por personal de salud,2006-11-01,146,146
LA GUARDIA,malaria,viviendas rociadas por personal de salud,2006-11-01,7,7
MAPIRI,malaria,viviendas rociadas por personal de salud,2006-11-01,26,26
PADCAYA,malaria,viviendas rociadas por personal de salud,2006-11-01,2,2
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2006-11-01,17,17
SUCRE,malaria,viviendas rociadas por personal de salud,2006-11-01,70,70
TARIJA,malaria,viviendas rociadas por personal de salud,2006-11-01,12,12
TEOPONTE,malaria,viviendas rociadas por personal de salud,2006-11-01,246,246
VILLA VACA GUZMAN (MUYUPAMPA),malaria,viviendas rociadas por personal de salud,2006-11-01,19,19
COBIJA,malaria,viviendas rociadas por personal de salud,2006-12-01,13,13
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-12-01,14,14
HUACARETA,malaria,viviendas rociadas por personal de salud,2006-12-01,40,40
PALOS BLANCOS,malaria,viviendas rociadas por personal de salud,2006-12-01,1052,1052
PUERTO GONZALO MORENO,malaria,viviendas rociadas por personal de salud,2006-12-01,48,48
PUERTO QUIJARRO,malaria,viviendas rociadas por personal de salud,2006-12-01,1,1
SAN PEDRO(PND),malaria,viviendas rociadas por personal de salud,2006-12-01,40,40
