municipality,group,variable,month,Total Días camas disponibles maternidad,TOTAL
REYES,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
RIBERALTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1488,1488
ROBORE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,67,67
RURRENABAQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,248,248
SACABA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1426,1426
SACABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
SACACA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
SAIPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,80,80
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,215,215
SAMAIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,92,92
SAN BENITO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
SAN BORJA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,527,527
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
SAN CARLOS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,373,373
SAN IGNACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,465,465
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1395,1395
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
SAN JOAQUIN,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1023,1023
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,168,168
SAN JULIAN,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,887,887
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,87,87
SAN LUCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,623,623
SAN MATIAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,217,217
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1,1
SAN RAFAEL,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
SANTA ANA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,217,217
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,11970,11970
SANTA ROSA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,403,403
SANTIAGO DE CALLAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,30,30
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,92,92
SAPAHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
SENA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,79,79
SHINAOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,434,434
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,145,145
SICAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
SIPE SIPE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,957,957
SOPACHUY,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,359,359
SORACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
SORATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
SUCRE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,4123,4123
TACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
TACACOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
TACOPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
TAPACARI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,464,464
TARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,520,520
TARACO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
TARATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,116,116
TARIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1773,1773
TARVITA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,649,649
TEOPONTE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
TIAWANACU,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
TIPUANI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
TIQUIPAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,680,680
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,496,496
TOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
TOLATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,651,651
TORO TORO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,341,341
TRIGAL,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
TRINIDAD,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1467,1467
TUPIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,558,558
UMALA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
UNCIA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
URUBICHA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
UYUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,527,527
VACAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
VALLEGRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
VIACHA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
VILA VILA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,402,402
VILLA MONTES,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
VILLA RIVERO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
VILLA SERRANO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,341,341
VILLA TUNARI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1298,1298
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,248,248
VILLAZON,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,434,434
VINTO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,341,341
WARNES,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,310,310
YACO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
YACUIBA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,591,591
YAMPARAEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,364,364
YANACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
YAPACANI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,371,371
YOTALA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
ACACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
ACHACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,308,308
ACHOCALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
AIQUILE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,504,504
ALALAY,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
ALCALA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
ALTO BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
ANDAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,25,25
ANTEQUERA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
ANZALDO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
APOLO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,84,84
ARAMPAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
ARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,196,196
ARBIETO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,258,258
ARQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,195,195
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
ATOCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
AYATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
AYO AYO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,924,924
AZURDUY,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,358,358
BAURES,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
BELLA FLOR,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,27,27
BERMEJO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,828,828
BETANZOS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
BOLIVAR,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,82,82
BOYUIBE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,188,188
CABEZAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
CAIROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,224,224
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
CAJUATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,140,140
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,196,196
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,644,644
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,196,196
CAQUIAVIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
CARACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
CARANAVI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,364,364
CARIPUYO,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,188,188
CHALLAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,224,224
CHARAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
CHAYANTA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
CHIMORE,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,286,286
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,252,252
CHUMA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,52,52
CKOCHAS,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
CLIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,308,308
COBIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,1232,1232
COCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,242,242
COCHABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,7518,7518
COIPASA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,387,387
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
COLLANA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,28,28
COLOMI,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,336,336
COLPA BELGICA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,56,56
COLQUECHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-02-01,112,112
