municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
PUCARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
PUCARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
PUERTO ACOSTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
PUERTO CARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
PUERTO PEREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
PUERTO RICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,250,250
PUNA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
PUNATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,194,194
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,614,614
QUIME,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,40,40
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
REYES,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,34,34
RIBERALTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,922,922
ROBORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,46,46
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,165,165
SABAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
SACABA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,400,400
SACABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,60,60
SACACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,35,35
SAIPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,12,12
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,20,20
SAMAIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,54,54
SAN BENITO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
SAN BORJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,266,266
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,26,26
SAN CARLOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,201,201
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,117,117
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,348,348
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,58,58
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,216,216
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,24,24
SAN JULIAN,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,123,123
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
SAN LUCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,70,70
SAN MATIAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,49,49
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
SAN PEDRO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
SAN PEDRO DE TIQUINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,31,31
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,17,17
SANTA ANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,103,103
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8411,8411
SANTA ROSA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,23,23
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
SANTIAGO DE CALLAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
SANTIVAÑES,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
SAPAHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
SENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
SHINAOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,100,100
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
SICAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
SIPE SIPE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,46,46
SOPACHUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,38,38
SORACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
SORATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
SUCRE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1950,1950
TACACOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
TACOPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,24,24
TAPACARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,9,9
TARABUCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,45,45
TARACO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
TARATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
TARIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1657,1657
TARVITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,40,40
TEOPONTE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
TIAWANACU,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,9,9
TIPUANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,20,20
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,362,362
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,25,25
TOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
TOLATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
TOMINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,30,30
TORO TORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,76,76
TRIGAL,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
TRINIDAD,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,915,915
TUPIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,257,257
UMALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
UNCIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,44,44
URUBICHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,9,9
UYUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,147,147
VACAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,5,5
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,177,177
VIACHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,138,138
VILA VILA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,32,32
VILLA MONTES,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,276,276
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,44,44
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,445,445
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,11,11
VILLAZON,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,181,181
VINTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,107,107
WARNES,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,220,220
YACUIBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,495,495
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,15,15
YANACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
YAPACANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,125,125
YOTALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,25,25
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,27,27
ACACIO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,79,79
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,46,46
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
ANDAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
ANZALDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,11,11
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
ARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5,5
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,39,39
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,153,153
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
AYATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,27,27
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,60,60
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,29,29
BELLA FLOR,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,282,282
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,47,47
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,8,8
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,8,8
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,16,16
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,15,15
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,108,108
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,305,305
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,19,19
CAQUIAVIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,37,37
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,168,168
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,9,9
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,187,187
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,28,28
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,20,20
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,11,11
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,114,114
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,8,8
CKOCHAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,10,10
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,107,107
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,560,560
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,13,13
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,5818,5818
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,54,54
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,1,1
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,23,23
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,68,68
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
COLQUENCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,4,4
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,71,71
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,115,115
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
CORO CORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,3,3
COROICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,88,88
COTAGAITA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,56,56
CUEVO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,37,37
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,6,6
DESAGUADERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-02-01,7,7
