,group,variable,month,L 16.9 HABITO DE FUMAR CANTIDAD,L 16.9 HABITO DE FUMAR CANTIDAD,TOTALES
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,10,10,20
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,10,0,10
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,3,0,3
SAN PEDRO(PND),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,23,14,37
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,10,0,10
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,27,9,36
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,3,12,15
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,2,3,5
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,2,0,2
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,14,35,49
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,5,0,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,2,0,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,16,19,35
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,3,0,3
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,0,2,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,4,0,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,7,0,7
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,52,50,102
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,3,0,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,31,10,41
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,2,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,3,0,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-03-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,5,5,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,12,8,20
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,3,0,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,5,1,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,7,1,8
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,2,4
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,0,1,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,1,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,6,0,6
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,5,0,5
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,23,9,32
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,1,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,0,2,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,2,1,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-04-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,3,6,9
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,5,6,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,11,11,22
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,5,4,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,17,14,31
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,8,0,8
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,9,4,13
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,7,0,7
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,4,0,4
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,3,1,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,68,72,140
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,27,23,50
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,5,0,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,3,0,3
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,5,5,10
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,7,8,15
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,5,1,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,5,3,8
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,2,0,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,14,19,33
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,2,0,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,11,4,15
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,6,0,6
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,2,0,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,27,17,44
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,10,5,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,17,0,17
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,2,0,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-06-01,2,2,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,5,5,10
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,3,0,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,12,6,18
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,8,3,11
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,6,3,9
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,3,0,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,8,0,8
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,16,7,23
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,2,0,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,8,0,8
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,2,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,11,4,15
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,0,3,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,15,14,29
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,15,20,35
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,77,11,88
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,3,0,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-07-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,5,0,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,5,5,10
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,6,6,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,5,3,8
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,6,2,8
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,10,0,10
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,2,2,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,4,1,5
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,2,0,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,5,0,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,3,0,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,3,2,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,19,18,37
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,5,5,10
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,5,0,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,50,1,51
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-08-01,4,0,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,5,5,10
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,2,3,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,12,14,26
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,5,13,18
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-09-01,9,3,12
