,group,variable,month,L 16.2 REUMÁTICAS CANTIDAD,L 16.2 REUMÁTICAS CANTIDAD,TOTALES
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,3,4
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,7,14
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,32,25,57
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,8,15
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,15,27,42
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,187,297,484
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,3,3
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,3,5
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,7,8
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,5,8
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,4,5
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,4,6
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,19,23
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,4,6
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,6,11
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,5,11
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,9,16,25
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,29,39,68
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,12,13,25
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,8,8,16
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,2,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,17,21
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,81,234,315
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,5,5
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,4,5
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,2,4
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,3,5
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,8,11
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,8,11,19
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,4,10
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,17,18
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,25,32
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,5,12
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,7,11
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,8,7,15
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,6,9
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,8,14,22
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,15,21,36
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,7,10
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,234,498,732
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,17,30,47
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,8,10,18
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,0,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,9,11
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,7,12
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,11,19,30
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,23,35,58
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,25,39,64
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,2,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,4,6
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,2,8
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,143,286,429
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,6,16
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,23,24,47
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,46,54,100
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
PELECHUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,1,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,6,8
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,4,6
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,34,24,58
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,24,42,66
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,12,18
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,18,28
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,13,20,33
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,8,15
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,22,32
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,10,16
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,17,11,28
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,7,11
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,4,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,11,31,42
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,20,42,62
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,16,0,16
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,13,19,32
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,19,18,37
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,21,31
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,8,11
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,5,8
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
SAN ANTONIO DE ESMORUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,9,11
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,4,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,24,37,61
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,9,14
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,40,40,80
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,21,31,52
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,4,4
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,8,18,26
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,11,16
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,6,11
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,9,1,10
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,6,7
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,6,6
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,230,545,775
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,6,10
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,7,11
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,7,11
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,3,3
SANTIVAÑES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,17,27
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,3,5
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,5,8
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,4,11
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,847,1008,1855
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,5,6
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,5,5
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,90,163,253
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,13,20
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,9,6,15
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,7,28,35
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,14,12,26
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,11,17
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,2,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,9,11
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,2,6
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,6,11
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,7,8
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,8,9
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,6,8
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,12,17
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,11,22,33
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,5,11
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,16,26
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,24,38,62
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,11,34,45
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,12,31,43
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,7,12
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,6,10
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,20,37,57
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,4,8
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,22,20,42
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,26,36
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,21,24
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,14,17
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,7,9
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,42,42,84
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,5,7
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,0,2
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,13,18
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,4,5
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,15,25
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,26,23,49
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,5,18,23
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,8,16,24
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,3,1,4
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,21,24,45
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,0,3,3
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,1,9,10
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,12,15,27
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,26,9,35
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,2,9,11
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,10,13,23
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,48,33,81
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,5,31,36
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,1,5,6
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,12,7,19
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,6,8,14
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,6,22,28
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,26,43,69
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,14,20,34
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,3,2,5
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,2,1,3
CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,1,2,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,0,6,6
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,1,0,1
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,3,3,6
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,2,6,8
CHARAÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,1,1,2
CHIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,0,1,1
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,2,4,6
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,12,10,22
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-02-01,16,33,49
