,group,variable,month,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,6,2,8
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,10,7,17
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,4,9,13
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,7,5,12
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,4,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,2,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,3,2,5
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,3,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,86,85,171
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,68,84,152
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,60,61,121
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,13,10,23
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,4,6
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,2,3
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,4,8,12
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,5,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,20,13,33
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,6,8,14
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,2,3
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,4,6,10
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,3,5,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,38,64,102
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,3,3
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,33,38,71
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,2,0,2
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,2,0,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,3,8,11
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,2,0,2
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,67,86,153
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,2,0,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,2,4,6
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,4,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,8,13,21
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,5,6,11
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,3,4
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,8,2,10
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SAN AGUSTIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,5,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,6,2,8
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,104,103,207
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,127,142,269
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,80,72,152
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,2,0,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,4,1,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,23,2,25
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,3,4,7
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,3,4
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,3,9,12
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,2,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,19,7,26
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-02-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,6,3,9
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,1,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,2,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,8,5,13
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,4,2,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,49,57,106
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,3,4
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,3,1,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,1,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,4,6
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,37,25,62
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,3,7,10
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,2,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,2,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,88,102,190
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,1,3,4
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-03-01,2,0,2
