,group,variable,month,L 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,L 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,7,12,19
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,8,3,11
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,2,1,3
SAN ANTONIO DE ESMORUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,45,0,45
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,2,2,4
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,36,22,58
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,22,16,38
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,2,2,4
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,2,0,2
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,5,3,8
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,0,3,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,10,17,27
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,13,23,36
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,4,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,3,2,5
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,3,5,8
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,55,23,78
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,22,16,38
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,0,1,1
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-03-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,2,5,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,1,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,4,27,31
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,3,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,4,0,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,3,13,16
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,4,2,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-04-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,1,2,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,14,20,34
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,6,32,38
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,2,2,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,3,3,6
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,30,23,53
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,26,6,32
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-05-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,2,5,7
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,6,8,14
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,25,39,64
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,3,10,13
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,6,2,8
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,31,17,48
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-06-01,44,125,169
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,2,1,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,25,28,53
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,14,18,32
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,8,18,26
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,6,0,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,3,2,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,19,26,45
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,96,18,114
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,3,1,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-07-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,133,145,278
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,20,66,86
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,4,24,28
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,5,3,8
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,7,2,9
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,45,11,56
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,57,29,86
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-08-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,3,3,6
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,16,1,17
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,12,16,28
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,12,33,45
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,2,1,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,4,5,9
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,44,15,59
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,22,25,47
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,2,1,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-09-01,2,2,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,3,4,7
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,3,1,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,18,22,40
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,11,42,53
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,3,2,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,5,0,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,5,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,1,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,7,9,16
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-10-01,27,12,39
