,group,variable,month,L 16.4 CÁNCER OTROS CANTIDAD,L 16.4 CÁNCER OTROS CANTIDAD,TOTALES
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,2,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,1,2
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,216,425,641
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,3,3,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,3,4
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,204,78,282
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,11,9,20
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,8,5,13
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,3,3
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,2,1,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,155,218,373
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,70,55,125
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,11,11,22
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,8,16,24
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,2,4,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,3,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-02-01,2,6,8
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,2,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,2,2,4
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,1,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,195,314,509
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,8,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,206,51,257
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,8,4,12
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,4,4
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,4,1,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,2,1,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,141,219,360
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,28,49,77
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,12,20,32
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,2,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,2,2,4
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-03-01,6,3,9
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,87,202,289
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,1,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,89,62,151
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,5,2,7
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,7,0,7
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,0,1
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,38,48,86
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,5,19,24
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,2,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,2,2,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,2,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-04-01,4,4,8
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,5,5,10
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,2,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,161,333,494
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,2,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,12,3,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,60,52,112
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,2,2,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,2,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,2,0,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,7,7
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,2,3,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,162,302,464
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,13,32,45
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,9,19,28
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,1,2,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-05-01,7,6,13
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,4,5
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,14,15
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,3,0,3
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,225,424,649
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,3,3,6
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,9,5,14
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,123,96,219
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,3,2,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,5,14,19
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,7,5,12
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,4,3,7
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,9,10
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,3,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,171,253,424
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,28,56,84
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,14,20,34
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,2,1,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,0,2,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-06-01,1,4,5
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,3,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,4,0,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,171,410,581
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-07-01,1,2,3
