,group,variable,month,L 16.3 CÁNCER CERVICOUTERINO CANTIDAD,L 16.3 CÁNCER CERVICOUTERINO CANTIDAD,TOTALES
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,3,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,69,69
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,6,6
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,7,7
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,4,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,28,28
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,31,31
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,6,6
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-02-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,66,66
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,15,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,61,61
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,3,3
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,8,8
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,3,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,39,39
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,24,24
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,6,6
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,2,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-03-01,0,2,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,94,94
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,5,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,37,37
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,3,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,3,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,5,5
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,18,18
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,10,10
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,3,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,2,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-04-01,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,4,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,39,39
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,13,13
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,32,32
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,3,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,5,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,3,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,19,19
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,8,8
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,3,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,14,14
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-05-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,3,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,4,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,85,85
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,13,13
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,3,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,50,50
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,9,9
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,5,5
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,3,3
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,8,8
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,27,27
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,20,20
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,11,11
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,12,12
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,2,2
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-06-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,35,35
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,6,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,7,7
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,43,43
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,8,8
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,2,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,27,27
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,14,14
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,6,6
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,6,6
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-07-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,57,57
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.3        cancer cervicouterino,2012-08-01,0,2,2
