,group,variable,month,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,L 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,6,3,9
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-01-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,11,9,20
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,2,1,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,102,50,152
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,4,4
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,1,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,3,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,30,36,66
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,3,2,5
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,3,3
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,3,1,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,2,0,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,6,4,10
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,199,177,376
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,17,4,21
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,2,2
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,17,10,27
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,1,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,5,4,9
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,3,1,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
YACO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,2,1,3
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-02-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,2,4
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,3,4,7
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,3,2,5
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,4,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,96,77,173
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,9,9,18
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,3,1,4
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,54,61,115
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,3,1,4
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,1,3
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,1,3
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,4,0,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,6,2,8
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
SAN ANTONIO DE ESMORUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,3,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,6,4,10
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,10,4,14
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,124,155,279
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,43,25,68
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,1,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,18,10,28
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,1,3
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,1,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,4,2,6
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,0,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,0,1,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,1,0,1
YACO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-03-01,4,0,4
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,0,2
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,4,4,8
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,0,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,83,49,132
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,2,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,4,4,8
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,24,20,44
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,4,2,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,3,0,3
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,1,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,1,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,5,6,11
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,3,0,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,4,5,9
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,3,5
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,60,38,98
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,1,2
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,3,2,5
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,1,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,1,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,18,10,28
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,5,1,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,3,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,2,1,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,4,4,8
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-04-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,2,1,3
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,4,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,7,7,14
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,64,53,117
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,2,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,6,7
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,1,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,3,1,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,4,2,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,58,52,110
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,4,5
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,1,1
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,3,2,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,2,0,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,5,5,10
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,3,4,7
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,3,10,13
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,59,76,135
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1613        personas con discapacidad,2012-05-01,1,3,4
