,group,variable,month,L 16.1 CARDIOVASCULARES CANTIDAD,L 16.1 CARDIOVASCULARES CANTIDAD,TOTALES
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,2,3
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,1,2
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,2,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,449,691,1140
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,3,5
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,5,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,20,22,42
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,13,9,22
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,73,120,193
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,5,9
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,2,2
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,5,6,11
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,18,11,29
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,30,37,67
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,4,6
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,7,6,13
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,5,6,11
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,12,1,13
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,8,2,10
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,4,8
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,5,9
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,2,4
SAN ANTONIO DE ESMORUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,3,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,4,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,8,12
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,18,20,38
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,3,4
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,18,38,56
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,2,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,1,3
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,22,27,49
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,229,402,631
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,593,692,1285
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,97,144,241
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,2,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,19,22,41
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,2,6
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,3,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,3,4
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,5,3,8
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,1,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,9,28,37
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,54,59,113
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,6,5,11
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,0,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,4,2,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,16,11,27
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,4,6
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,7,6,13
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,4,6
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,10,2,12
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,5,11,16
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,4,6
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,2,2,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,6,7,13
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,24,13,37
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,3,5,8
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-01-01,7,9,16
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,4,6
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,2,3
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,2,4
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,6,9,15
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,23,19,42
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,9,12,21
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
CAIROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,3,0,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,14,26,40
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,25,19,44
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
CARIPUYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,132,152,284
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,5,10,15
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,15,16,31
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,4,6
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,79,122,201
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,39,42,81
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,5,3,8
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,2,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,8,6,14
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,4,3,7
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,450,591,1041
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,3,4,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,19,13,32
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,14,39,53
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,45,58,103
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,9,12,21
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,10,12,22
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,31,34,65
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,3,0,3
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,12,11,23
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,5,7,12
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,6,8
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,5,1,6
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,4,6,10
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,6,8,14
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,17,5,22
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,15,17,32
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,2,3
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,3,4,7
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,17,1630,1647
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,3,1,4
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,22,34,56
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,388,443,831
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,1,3
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,107,289,396
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,7,13,20
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,44,42,86
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,4,5,9
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,3,5
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,4,1,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,2,5,7
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,19,15,34
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,42,46,88
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,1,1
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,1,1,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,0,3,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.1        cardiovasculares,2012-02-01,19,16,35
