,group,variable,month,L 16.8 ABUSO DE ALCOHOL CANTIDAD,L 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTALES
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,0,3
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,7,1,8
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,9,0,9
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,58,36,94
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,40,2,42
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,4,0,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,63,10,73
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,7,0,7
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,4,4,8
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,2,5
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,4,0,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,4,1,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,1,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,0,4,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,3,0,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,5,2,7
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-01-01,10,8,18
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,12,2,14
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,2,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,3,0,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,5,0,5
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,10,4,14
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,68,20,88
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,7,0,7
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,95,48,143
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,1,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,3,1,4
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,9,1,10
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,11,4,15
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,0,1,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,1,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,2,4
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,1,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,4,0,4
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1091,793,1884
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,5,0,5
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,59,3,62
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,78,16,94
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,5,0,5
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,8,0,8
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,3,4
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,24,36,60
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,4,2,6
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,9,0,9
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-02-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,3,3,6
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,2,1,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,1,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,2,0,2
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,0,1,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,21,30,51
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,2,0,2
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,9,1,10
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,6,8,14
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,3,0,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,76,43,119
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,7,0,7
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,2,0,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,4,0,4
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,3,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,9,0,9
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,5,75,80
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,12,1,13
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,4,1,5
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,3,5,8
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,410,470,880
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,54,9,63
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,70,22,92
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,3,2,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,6,2,8
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,2,0,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,5,2,7
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,5,0,5
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,4,1,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-03-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,2,0,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,3,5,8
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,32,28,60
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,3,2,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,3,2,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,6,1,7
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,1,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,92,45,137
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,0,2,2
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.8        abuso de alcohol,2012-04-01,3,0,3
