,group,variable,month,L 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,L 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,2,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,201,804,1005
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,20,14,34
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,8,8
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,2,3
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,26,211,237
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,2,3
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,2,30,32
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,6,83,89
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,4,1,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,6,42,48
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,68,69
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,3,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,2,1,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,2,2,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,8,9
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,87,217,304
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,6,6
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,3,105,108
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,4,110,114
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,2,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,12,152,164
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,6,16,22
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,7,14,21
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,57,57
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,34,83,117
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,2,9,11
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,50,70,120
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,2,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,3,5,8
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,3,0,3
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,2,16,18
YACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,3,5,8
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-01-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,39,53,92
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,38,22,60
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,10,17,27
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,9,9
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,6,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,1,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,76,53,129
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,12,18,30
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,3,1,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,10,20,30
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,131,471,602
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,56,57
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,6,8,14
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,3,0,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,6,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,79,707,786
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,3,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,9,9
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,218,792,1010
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,2,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,16,9,25
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,3,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,4,10,14
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,7,7
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,26,304,330
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,1,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,26,27
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,10,25,35
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,3,3
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,9,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,5,5
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,45,46
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,7,9,16
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,3,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,5,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,104,422,526
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,4,9,13
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,4,0,4
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,4,341,345
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,66,229,295
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,2,3
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,4,5
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,3,2,5
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,5,8,13
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,70,70
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,28,69,97
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,2,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,23,24
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,35,55,90
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,32,45,77
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,0,1
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,3,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,3,4,7
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,2,1,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,1,4,5
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-02-01,4,5,9
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,38,64,102
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,6,8,14
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,38,25,63
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,13,12,25
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,5,5
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,1,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,91,71,162
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,3,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,9,31,40
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,82,693,775
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,56,56
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,6,10,16
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,3,8,11
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,5,9,14
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,35,815,850
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,2,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,5,5
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.7        sobrepeso en mayores de 5 anos,2012-03-01,1,2,3
