,group,variable,month,L 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,L 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,4,8,12
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,113,250,363
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,3,2,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,68,125,193
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,3,2,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,38,91,129
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,4,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,13,10,23
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,4,3,7
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,2,4,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-01-01,2,4,6
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,3,2,5
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,4,4
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,1,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,5,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,88,182,270
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,3,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,35,103,138
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,6,8
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,2,4
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,72,226,298
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,6,9,15
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,7,21,28
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,4,2,6
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,5,8,13
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,2,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,8,13,21
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,0,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,3,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,127,261,388
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,83,134,217
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,5,6
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,55,73,128
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,14,10,24
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,3,3
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,2,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,3,4,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,3,3
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,0,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,6,8
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-02-01,2,7,9
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,3,8,11
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,2,2,4
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
CHAYANTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,86,187,273
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,4,10,14
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,4,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,8,70,78
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,7,8
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,117,211,328
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,3,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,7,15,22
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,2,3
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,3,3,6
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,2,2
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,3,1,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,5,13,18
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,4,1,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,93,218,311
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,2,0,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,40,68,108
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,43,84,127
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,5,6
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,3,11,14
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,3,7,10
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,2,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,3,4,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,4,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,3,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,4,2,6
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-03-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,1,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,4,10,14
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,53,76,129
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,4,9,13
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,5,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,14,50,64
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,1,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,0,2,2
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1610        episodios depresivos / ansiedad,2012-04-01,1,1,2
