municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,20,20,20,40
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,10,15
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,32,32,29,61
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,6,11
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,7,11
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,0,3
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,11,11,10,21
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,5,8
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,27,27,29,56
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,7,7,7,14
CHOQUE COTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,13,13,16,29
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,3,7
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,2,2
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,31,31,30,61
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,27,27,13,40
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,875,875,863,1738
COIPASA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,117,117,114,231
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,7,7,2,9
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,48,48,46,94
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,40,40,44,84
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,7,7,6,13
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,14,14,20,34
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,127,127,118,245
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,3,4
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,9,13
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,0,3
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,53,53,57,110
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,1,4
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,61,61,45,106
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,113,113,136,249
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,10,14
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,274,274,273,547
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,3,4
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1161,1161,1128,2289
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,0,2
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,4,8
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,5,6
EL VILLAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,130,130,98,228
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,13,13,22,35
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,63,63,46,109
ESCARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
EXALTACION,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,0,2
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,5,7
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,6,6,6,12
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,15,15,2,17
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,14,14,13,27
GUAQUI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,134,134,124,258
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,163,163,186,349
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,215,215,229,444
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,35,35,59,94
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,158,158,152,310
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,15,15,24,39
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,16,16,15,31
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,262,262,236,498
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,200,200,238,438
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,21,21,24,45
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,8,8,7,15
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,23,23,53,76
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,41,41,39,80
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,855,855,761,1616
LA RIVERA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,5,5
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,41,41,51,92
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,36,36,44,80
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,3,5
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,14,14,14,28
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,170,170,186,356
MAGDALENA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,1,3
MALLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,9,9,18,27
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,11,11,16,27
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,2,4
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,142,142,129,271
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,239,239,225,464
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,115,115,96,211
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,53,53,60,113
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,5,9
NAZACARA DE PACAJES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,41,41,38,79
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,205,205,241,446
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,37,37,34,71
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,231,231,237,468
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,13,13,13,26
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,21,21,74,95
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,8,8,8,16
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,8,9
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,3,7
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,13,13,4,17
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,18,18,20,38
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,1,3
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,177,177,185,362
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,96,96,85,181
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,325,325,323,648
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,144,144,144,288
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,7,7,7,14
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,12,17
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,5,7
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,0,3
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,7,9
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,77,77,30,107
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,17,17,12,29
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,29,29,84,113
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,3,3
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,82,82,94,176
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,7,7,8,15
REYES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,8,8,2,10
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,31,31,38,69
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,12,12,4,16
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,6,6,3,9
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,7,12
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,93,93,87,180
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,95,95,90,185
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,2,3
SAMAIPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,0,2
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,31,31,32,63
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,10,10,8,18
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,6,6,4,10
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,3,6
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,67,67,39,106
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,31,31,20,51
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,2,3
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,6,6,7,13
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,32,32,46,78
SAN LORENZO(PND),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,5,10
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,12,12,4,16
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,619,619,631,1250
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,22,22,5,27
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,2,2,1,3
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,2,5
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,31,31,25,56
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,39,39,39,78
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,9,9,6,15
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,2,3
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,35,35,19,54
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,3,7
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1647,1647,1522,3169
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,40,40,60,100
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,3,6
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,11,11,6,17
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,2,3
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,15,15,15,30
SENA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,4,4
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,10,10,17,27
SICAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,1,1
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,79,79,56,135
SOPACHUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,160,160,174,334
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,3,4
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,20,20,23,43
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,726,726,739,1465
TACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,1,5
TACACOMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,0,1
TACOBAMBA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,13,13,17,30
TACOPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,4,4,5,9
TAPACARI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,35,35,36,71
TARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,510,510,564,1074
TARACO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,17,17,27,44
TARATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,3,3,4,7
TARIJA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,378,378,317,695
TARVITA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,374,374,401,775
TIAWANACU,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,3,8
TINGUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,41,41,24,65
TIQUIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,74,74,51,125
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,193,193,176,369
TOCO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,5,5,5,10
TOLATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,1,1,1,2
TOLEDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2005-01-01,0,0,2,2
