,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-02-01,2,3,2,3,5
LA ASUNTA,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2023-02-01,13,16,13,16,29
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2023-02-01,17,11,17,11,28
PALCA,rabia,no de personas que abandonaron esquema,2023-02-01,1,1,1,1,2
POOPO,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2023-02-01,1,1,1,1,2
PUNATA,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
REYES,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-02-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
SANTA ANA,rabia,no de personas que abandonaron esquema,2023-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-02-01,4,2,4,2,6
SUCRE,rabia,no de personas que abandonaron esquema,2023-02-01,3,7,3,7,10
TARATA,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
TARIJA,rabia,no de personas que abandonaron esquema,2023-02-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-02-01,6,4,6,4,10
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
VIACHA,rabia,no de personas que abandonaron esquema,2023-02-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2023-02-01,2,1,2,1,3
YOTALA,rabia,no de personas que abandonaron esquema,2023-02-01,0,1,0,1,1
ARBIETO,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
BERMEJO,rabia,no de personas que abandonaron esquema,2023-03-01,2,0,2,0,2
CAPINOTA,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2023-03-01,2,3,2,3,5
CARAPARI,rabia,no de personas que abandonaron esquema,2023-03-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2023-03-01,1,1,1,1,2
CLIZA,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-03-01,9,13,9,13,22
"COLCHA ""K""",rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
COMARAPA,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
COPACABANA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
CORIPATA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2023-03-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2023-03-01,17,13,17,13,30
ENTRE RIOS CBBA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-03-01,0,2,0,2,2
LA PAZ,rabia,no de personas que abandonaron esquema,2023-03-01,13,14,13,14,27
MOCOMOCO,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
ORURO,rabia,no de personas que abandonaron esquema,2023-03-01,19,16,19,16,35
PALCA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
POTOSI,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2023-03-01,1,2,1,2,3
PUNATA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2023-03-01,2,0,2,0,2
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2023-03-01,1,1,1,1,2
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-03-01,2,2,2,2,4
SAN CARLOS,rabia,no de personas que abandonaron esquema,2023-03-01,0,2,0,2,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-03-01,1,2,1,2,3
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-03-01,5,3,5,3,8
SORATA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2023-03-01,17,16,17,16,33
TARATA,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
TARIJA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
TOLATA,rabia,no de personas que abandonaron esquema,2023-03-01,2,0,2,0,2
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-03-01,5,7,5,7,12
UYUNI,rabia,no de personas que abandonaron esquema,2023-03-01,1,3,1,3,4
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2023-03-01,1,1,1,1,2
VINTO,rabia,no de personas que abandonaron esquema,2023-03-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2023-03-01,2,1,2,1,3
YACUIBA,rabia,no de personas que abandonaron esquema,2023-03-01,0,1,0,1,1
YAPACANI,rabia,no de personas que abandonaron esquema,2023-03-01,1,0,1,0,1
ARBIETO,rabia,no de personas que abandonaron esquema,2023-04-01,2,2,2,2,4
ATOCHA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
CARACOLLO,rabia,no de personas que abandonaron esquema,2023-04-01,1,1,1,1,2
CARANAVI,rabia,no de personas que abandonaron esquema,2023-04-01,2,1,2,1,3
CARAPARI,rabia,no de personas que abandonaron esquema,2023-04-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2023-04-01,3,2,3,2,5
CLIZA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-04-01,10,16,10,16,26
COLQUENCHA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
COMARAPA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
CORIPATA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2023-04-01,11,9,11,9,20
EL TORNO,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-04-01,2,2,2,2,4
LA PAZ,rabia,no de personas que abandonaron esquema,2023-04-01,15,14,15,14,29
MECAPACA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2023-04-01,17,12,17,12,29
PAILON,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
PALCA,rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
REYES,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-04-01,0,2,0,2,2
SAN CARLOS,rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-04-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2023-04-01,22,10,22,10,32
TARATA,rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
TARIJA,rabia,no de personas que abandonaron esquema,2023-04-01,1,1,1,1,2
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
TOTORA(CBBA),rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-04-01,6,7,6,7,13
UYUNI,rabia,no de personas que abandonaron esquema,2023-04-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2023-04-01,1,2,1,2,3
WARNES,rabia,no de personas que abandonaron esquema,2023-04-01,1,1,1,1,2
CABEZAS,rabia,no de personas que abandonaron esquema,2023-05-01,2,1,2,1,3
CARANAVI,rabia,no de personas que abandonaron esquema,2023-05-01,3,3,3,3,6
CARAPARI,rabia,no de personas que abandonaron esquema,2023-05-01,1,1,1,1,2
CHIMORE,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2023-05-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-05-01,10,11,10,11,21
COPACABANA,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2023-05-01,24,17,24,17,41
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-05-01,1,1,1,1,2
LA ASUNTA,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2023-05-01,17,12,17,12,29
ORURO,rabia,no de personas que abandonaron esquema,2023-05-01,16,11,16,11,27
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2023-05-01,2,2,2,2,4
PORCO,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
POTOSI,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2023-05-01,1,1,1,1,2
REYES,rabia,no de personas que abandonaron esquema,2023-05-01,1,1,1,1,2
SACABA,rabia,no de personas que abandonaron esquema,2023-05-01,1,2,1,2,3
SAN ANDRES,rabia,no de personas que abandonaron esquema,2023-05-01,3,2,3,2,5
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-05-01,1,3,1,3,4
SORATA,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2023-05-01,23,20,23,20,43
TARATA,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
TARIJA,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-05-01,5,9,5,9,14
VIACHA,rabia,no de personas que abandonaron esquema,2023-05-01,3,4,3,4,7
VILLAZON,rabia,no de personas que abandonaron esquema,2023-05-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2023-05-01,2,0,2,0,2
YAPACANI,rabia,no de personas que abandonaron esquema,2023-05-01,0,1,0,1,1
ACHACACHI,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
CARAPARI,rabia,no de personas que abandonaron esquema,2023-06-01,1,1,1,1,2
CHIMORE,rabia,no de personas que abandonaron esquema,2023-06-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-06-01,9,17,9,17,26
CORIPATA,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2023-06-01,1,1,1,1,2
EL ALTO,rabia,no de personas que abandonaron esquema,2023-06-01,19,10,19,10,29
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-06-01,1,3,1,3,4
LA ASUNTA,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2023-06-01,16,8,16,8,24
ORURO,rabia,no de personas que abandonaron esquema,2023-06-01,16,10,16,10,26
PORCO,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2023-06-01,0,1,0,1,1
QUIME,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
REYES,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
RIBERALTA,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2023-06-01,1,1,1,1,2
SAN ANDRES,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-06-01,3,0,3,0,3
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2023-06-01,0,2,0,2,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-06-01,4,1,4,1,5
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-06-01,12,5,12,5,17
SUCRE,rabia,no de personas que abandonaron esquema,2023-06-01,25,17,25,17,42
TARATA,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-06-01,2,3,2,3,5
UYUNI,rabia,no de personas que abandonaron esquema,2023-06-01,2,4,2,4,6
VIACHA,rabia,no de personas que abandonaron esquema,2023-06-01,2,0,2,0,2
WARNES,rabia,no de personas que abandonaron esquema,2023-06-01,1,0,1,0,1
YAPACANI,rabia,no de personas que abandonaron esquema,2023-06-01,2,1,2,1,3
BUENA VISTA,rabia,no de personas que abandonaron esquema,2023-07-01,0,1,0,1,1
CHARAGUA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-07-01,10,10,10,10,20
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2023-07-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
COLQUIRI,rabia,no de personas que abandonaron esquema,2023-07-01,0,1,0,1,1
COMARAPA,rabia,no de personas que abandonaron esquema,2023-07-01,0,1,0,1,1
COPACABANA,rabia,no de personas que abandonaron esquema,2023-07-01,1,1,1,1,2
EL ALTO,rabia,no de personas que abandonaron esquema,2023-07-01,13,21,13,21,34
ENTRE RIOS TRJ,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-07-01,1,4,1,4,5
LA PAZ,rabia,no de personas que abandonaron esquema,2023-07-01,14,16,14,16,30
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2023-07-01,2,1,2,1,3
ORURO,rabia,no de personas que abandonaron esquema,2023-07-01,12,8,12,8,20
POOPO,rabia,no de personas que abandonaron esquema,2023-07-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2023-07-01,1,2,1,2,3
REYES,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
SACABA,rabia,no de personas que abandonaron esquema,2023-07-01,1,1,1,1,2
SAIPINA,rabia,no de personas que abandonaron esquema,2023-07-01,2,0,2,0,2
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-07-01,1,1,1,1,2
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-07-01,1,4,1,4,5
SAN JULIAN,rabia,no de personas que abandonaron esquema,2023-07-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-07-01,5,5,5,5,10
SHINAOTA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2023-07-01,19,8,19,8,27
TARIJA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
TOTORA(ORR),rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-07-01,4,9,4,9,13
UNCIA,rabia,no de personas que abandonaron esquema,2023-07-01,1,0,1,0,1
VIACHA,rabia,no de personas que abandonaron esquema,2023-07-01,4,5,4,5,9
YAPACANI,rabia,no de personas que abandonaron esquema,2023-07-01,0,2,0,2,2
ACHACACHI,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
ATOCHA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
CAPINOTA,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
CAQUIAVIRI,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
CARIPUYO,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2023-08-01,1,1,1,1,2
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-08-01,12,7,12,7,19
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
COLQUIRI,rabia,no de personas que abandonaron esquema,2023-08-01,1,1,1,1,2
COMBAYA,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
CORIPATA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
COTAGAITA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2023-08-01,1,1,1,1,2
EL ALTO,rabia,no de personas que abandonaron esquema,2023-08-01,25,8,25,8,33
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-08-01,4,1,4,1,5
LA PAZ,rabia,no de personas que abandonaron esquema,2023-08-01,21,14,21,14,35
MAGDALENA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
MONTERO,rabia,no de personas que abandonaron esquema,2023-08-01,1,1,1,1,2
ORURO,rabia,no de personas que abandonaron esquema,2023-08-01,13,13,13,13,26
QUIME,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
REYES,rabia,no de personas que abandonaron esquema,2023-08-01,1,1,1,1,2
ROBORE,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2023-08-01,0,2,0,2,2
SAN ANDRES,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-08-01,7,7,7,7,14
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2023-08-01,2,2,2,2,4
SAN JULIAN,rabia,no de personas que abandonaron esquema,2023-08-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2023-08-01,4,2,4,2,6
SORATA,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2023-08-01,11,11,11,11,22
TARATA,rabia,no de personas que abandonaron esquema,2023-08-01,2,0,2,0,2
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
TOLATA,rabia,no de personas que abandonaron esquema,2023-08-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2023-08-01,2,0,2,0,2
VIACHA,rabia,no de personas que abandonaron esquema,2023-08-01,3,4,3,4,7
VILLAZON,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
WARNES,rabia,no de personas que abandonaron esquema,2023-08-01,1,2,1,2,3
YAPACANI,rabia,no de personas que abandonaron esquema,2023-08-01,0,1,0,1,1
ATOCHA,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
AYO AYO,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
CARANAVI,rabia,no de personas que abandonaron esquema,2023-09-01,1,1,1,1,2
CARAPARI,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2023-09-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2023-09-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2023-09-01,8,4,8,4,12
COPACABANA,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
DESAGUADERO,rabia,no de personas que abandonaron esquema,2023-09-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2023-09-01,20,20,20,20,40
FERNANDEZ ALONSO,rabia,no de personas que abandonaron esquema,2023-09-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2023-09-01,2,5,2,5,7
LA ASUNTA,rabia,no de personas que abandonaron esquema,2023-09-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2023-09-01,20,26,20,26,46
MOCOMOCO,rabia,no de personas que abandonaron esquema,2023-09-01,1,0,1,0,1
MONTERO,rabia,no de personas que abandonaron esquema,2023-09-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2023-09-01,17,19,17,19,36
POOPO,rabia,no de personas que abandonaron esquema,2023-09-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2023-09-01,0,2,0,2,2
ROBORE,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2023-09-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2023-09-01,3,1,3,1,4
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2023-09-01,0,1,0,1,1
