municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,4,4
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,1,1
MOROCHATA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,5,5
PAILON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,10,10
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,3,3
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,4,4
YUNCHARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-10-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,2,2
LAGUNILLAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,3,3
PAILON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,6,6
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,12,12
VILLAZON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,2,2
VITICHI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,1,1
YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-11-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,6,6
BAURES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,11,11
CHIMORE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,3,3
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
HUACARETA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
ORURO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,3,3
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,3,3
SAN CARLOS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,2,2
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,11,11
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,2,2
TINGUIPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,2,2
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
YUNCHARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2015-12-01,1,1
