,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
BATALLAS,consulta externa,menores de 6 meses,2020-01-01,11,13,7,3,18,16,34
BAURES,consulta externa,menores de 6 meses,2020-01-01,3,7,0,1,3,8,11
BELEN DE ANDAMARCA,consulta externa,menores de 6 meses,2020-01-01,2,0,0,0,2,0,2
BELEN DE URMIRI,consulta externa,menores de 6 meses,2020-01-01,4,1,0,0,4,1,5
BELLA FLOR,consulta externa,menores de 6 meses,2020-01-01,9,6,4,2,13,8,21
BERMEJO,consulta externa,menores de 6 meses,2020-01-01,174,132,14,12,188,144,332
BETANZOS,consulta externa,menores de 6 meses,2020-01-01,53,47,1,2,54,49,103
BOLIVAR,consulta externa,menores de 6 meses,2020-01-01,10,12,0,0,10,12,22
BOLPEBRA,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
BOYUIBE,consulta externa,menores de 6 meses,2020-01-01,9,8,0,0,9,8,17
BUENA VISTA,consulta externa,menores de 6 meses,2020-01-01,43,33,0,0,43,33,76
CABEZAS,consulta externa,menores de 6 meses,2020-01-01,59,53,3,2,62,55,117
CAIROMA,consulta externa,menores de 6 meses,2020-01-01,15,20,4,6,19,26,45
"CAIZA ""D""",consulta externa,menores de 6 meses,2020-01-01,16,13,0,0,16,13,29
CAJUATA,consulta externa,menores de 6 meses,2020-01-01,34,41,1,0,35,41,76
CALACOTO,consulta externa,menores de 6 meses,2020-01-01,4,4,0,0,4,4,8
CALAMARCA,consulta externa,menores de 6 meses,2020-01-01,15,16,2,3,17,19,36
CAMARGO,consulta externa,menores de 6 meses,2020-01-01,48,44,0,0,48,44,92
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2020-01-01,2,1,0,0,2,1,3
CAMIRI,consulta externa,menores de 6 meses,2020-01-01,152,100,14,9,166,109,275
CAPINOTA,consulta externa,menores de 6 meses,2020-01-01,69,67,32,40,101,107,208
CAQUIAVIRI,consulta externa,menores de 6 meses,2020-01-01,16,5,0,0,16,5,21
CARACOLLO,consulta externa,menores de 6 meses,2020-01-01,68,77,3,1,71,78,149
CARANAVI,consulta externa,menores de 6 meses,2020-01-01,131,108,85,89,216,197,413
CARAPARI,consulta externa,menores de 6 meses,2020-01-01,29,23,2,5,31,28,59
CARIPUYO,consulta externa,menores de 6 meses,2020-01-01,2,5,0,0,2,5,7
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2020-01-01,4,8,0,0,4,8,12
CATACORA,consulta externa,menores de 6 meses,2020-01-01,2,11,0,2,2,13,15
CHACARILLA,consulta externa,menores de 6 meses,2020-01-01,2,3,1,0,3,3,6
CHALLAPATA,consulta externa,menores de 6 meses,2020-01-01,44,36,6,10,50,46,96
CHAQUI,consulta externa,menores de 6 meses,2020-01-01,9,5,0,0,9,5,14
CHARAGUA,consulta externa,menores de 6 meses,2020-01-01,111,91,17,11,128,102,230
CHARAÑA,consulta externa,menores de 6 meses,2020-01-01,0,1,0,0,0,1,1
CHAYANTA,consulta externa,menores de 6 meses,2020-01-01,25,18,1,3,26,21,47
CHIMORE,consulta externa,menores de 6 meses,2020-01-01,102,104,1,1,103,105,208
CHIPAYA,consulta externa,menores de 6 meses,2020-01-01,2,3,0,0,2,3,5
CHOQUE COTA,consulta externa,menores de 6 meses,2020-01-01,0,0,0,1,0,1,1
CHUA COCANI,consulta externa,menores de 6 meses,2020-01-01,1,6,6,1,7,7,14
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2020-01-01,54,59,33,19,87,78,165
CHUMA,consulta externa,menores de 6 meses,2020-01-01,11,12,1,0,12,12,24
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2020-01-01,8,11,0,0,8,11,19
CKOCHAS,consulta externa,menores de 6 meses,2020-01-01,14,9,0,0,14,9,23
CLIZA,consulta externa,menores de 6 meses,2020-01-01,59,52,22,17,81,69,150
COBIJA,consulta externa,menores de 6 meses,2020-01-01,169,177,57,31,226,208,434
COCAPATA,consulta externa,menores de 6 meses,2020-01-01,38,29,3,0,41,29,70
COCHABAMBA,consulta externa,menores de 6 meses,2020-01-01,2986,2930,1147,1078,4133,4008,8141
COLCAPIRHUA,consulta externa,menores de 6 meses,2020-01-01,142,124,62,66,204,190,394
"COLCHA ""K""",consulta externa,menores de 6 meses,2020-01-01,26,21,4,1,30,22,52
COLLANA,consulta externa,menores de 6 meses,2020-01-01,2,1,0,0,2,1,3
COLOMI,consulta externa,menores de 6 meses,2020-01-01,36,56,0,6,36,62,98
COLPA BELGICA,consulta externa,menores de 6 meses,2020-01-01,12,8,5,3,17,11,28
COLQUECHACA,consulta externa,menores de 6 meses,2020-01-01,62,52,0,1,62,53,115
COLQUENCHA,consulta externa,menores de 6 meses,2020-01-01,24,22,4,0,28,22,50
COLQUIRI,consulta externa,menores de 6 meses,2020-01-01,23,7,0,0,23,7,30
COMANCHE,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
COMARAPA,consulta externa,menores de 6 meses,2020-01-01,43,52,2,1,45,53,98
COMBAYA,consulta externa,menores de 6 meses,2020-01-01,0,3,1,0,1,3,4
CONCEPCION,consulta externa,menores de 6 meses,2020-01-01,35,36,11,6,46,42,88
COPACABANA,consulta externa,menores de 6 meses,2020-01-01,9,9,2,0,11,9,20
CORIPATA,consulta externa,menores de 6 meses,2020-01-01,57,43,3,2,60,45,105
CORO CORO,consulta externa,menores de 6 meses,2020-01-01,10,8,3,1,13,9,22
COROICO,consulta externa,menores de 6 meses,2020-01-01,33,40,22,33,55,73,128
CORQUE,consulta externa,menores de 6 meses,2020-01-01,4,9,1,1,5,10,15
COTAGAITA,consulta externa,menores de 6 meses,2020-01-01,40,37,2,5,42,42,84
COTOCA,consulta externa,menores de 6 meses,2020-01-01,159,136,24,10,183,146,329
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2020-01-01,71,51,9,11,80,62,142
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2020-01-01,6,8,0,0,6,8,14
CUEVO,consulta externa,menores de 6 meses,2020-01-01,20,15,6,4,26,19,45
CULPINA,consulta externa,menores de 6 meses,2020-01-01,29,23,9,0,38,23,61
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2020-01-01,4,4,0,0,4,4,8
CURVA,consulta externa,menores de 6 meses,2020-01-01,4,8,0,1,4,9,13
DESAGUADERO,consulta externa,menores de 6 meses,2020-01-01,11,6,1,0,12,6,18
EL ALTO,consulta externa,menores de 6 meses,2020-01-01,3546,3635,1123,1290,4669,4925,9594
EL CHORO,consulta externa,menores de 6 meses,2020-01-01,2,1,0,0,2,1,3
EL PUENTE(STC),consulta externa,menores de 6 meses,2020-01-01,26,22,7,0,33,22,55
EL PUENTE(TJA),consulta externa,menores de 6 meses,2020-01-01,22,24,1,1,23,25,48
EL TORNO,consulta externa,menores de 6 meses,2020-01-01,315,265,59,88,374,353,727
EL VILLAR,consulta externa,menores de 6 meses,2020-01-01,9,3,0,0,9,3,12
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2020-01-01,38,31,1,0,39,31,70
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2020-01-01,145,120,11,6,156,126,282
ESCARA,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
ESCOMA,consulta externa,menores de 6 meses,2020-01-01,13,5,3,2,16,7,23
ESMERALDA,consulta externa,menores de 6 meses,2020-01-01,1,0,0,1,1,1,2
EUCALIPTUS,consulta externa,menores de 6 meses,2020-01-01,4,7,0,0,4,7,11
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2020-01-01,5,7,0,0,5,7,12
EXALTACION,consulta externa,menores de 6 meses,2020-01-01,1,4,0,0,1,4,5
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2020-01-01,24,25,3,2,27,27,54
FILADELFIA,consulta externa,menores de 6 meses,2020-01-01,15,17,0,0,15,17,32
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2020-01-01,29,36,1,2,30,38,68
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2020-01-01,18,17,0,4,18,21,39
GUANAY,consulta externa,menores de 6 meses,2020-01-01,55,56,14,19,69,75,144
GUAQUI,consulta externa,menores de 6 meses,2020-01-01,8,2,1,0,9,2,11
GUAYARAMERIN,consulta externa,menores de 6 meses,2020-01-01,126,102,2,6,128,108,236
GUTIERREZ,consulta externa,menores de 6 meses,2020-01-01,60,54,6,8,66,62,128
HUACARETA,consulta externa,menores de 6 meses,2020-01-01,15,14,8,6,23,20,43
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2020-01-01,10,2,1,1,11,3,14
HUACHACALLA,consulta externa,menores de 6 meses,2020-01-01,3,1,0,0,3,1,4
HUANUNI,consulta externa,menores de 6 meses,2020-01-01,78,52,16,8,94,60,154
HUARACAJE,consulta externa,menores de 6 meses,2020-01-01,9,4,0,0,9,4,13
HUARINA,consulta externa,menores de 6 meses,2020-01-01,8,13,3,3,11,16,27
HUATAJATA,consulta externa,menores de 6 meses,2020-01-01,5,7,6,2,11,9,20
HUAYLLAMARCA,consulta externa,menores de 6 meses,2020-01-01,1,4,0,0,1,4,5
HUMANATA,consulta externa,menores de 6 meses,2020-01-01,5,0,0,3,5,3,8
ICHOCA,consulta externa,menores de 6 meses,2020-01-01,18,8,0,0,18,8,26
ICLA,consulta externa,menores de 6 meses,2020-01-01,23,15,2,1,25,16,41
INCAHUASI,consulta externa,menores de 6 meses,2020-01-01,34,21,2,1,36,22,58
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2020-01-01,8,9,0,0,8,9,17
INQUISIVI,consulta externa,menores de 6 meses,2020-01-01,29,30,4,1,33,31,64
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2020-01-01,23,34,18,20,41,54,95
IXIAMAS,consulta externa,menores de 6 meses,2020-01-01,39,27,2,2,41,29,70
JESUS DE MACHACA,consulta externa,menores de 6 meses,2020-01-01,18,10,17,10,35,20,55
LA ASUNTA,consulta externa,menores de 6 meses,2020-01-01,107,99,11,12,118,111,229
LA GUARDIA,consulta externa,menores de 6 meses,2020-01-01,422,409,49,34,471,443,914
LA PAZ,consulta externa,menores de 6 meses,2020-01-01,3017,3180,932,965,3949,4145,8094
LAGUNILLAS,consulta externa,menores de 6 meses,2020-01-01,29,19,0,2,29,21,50
LAJA,consulta externa,menores de 6 meses,2020-01-01,19,20,2,1,21,21,42
LAS CARRERAS,consulta externa,menores de 6 meses,2020-01-01,5,1,0,0,5,1,6
LICOMA PAMPA,consulta externa,menores de 6 meses,2020-01-01,7,5,1,1,8,6,14
LLALLAGUA,consulta externa,menores de 6 meses,2020-01-01,161,108,4,6,165,114,279
LLICA,consulta externa,menores de 6 meses,2020-01-01,6,4,0,0,6,4,10
LORETO,consulta externa,menores de 6 meses,2020-01-01,13,6,3,1,16,7,23
LURIBAY,consulta externa,menores de 6 meses,2020-01-01,10,17,0,0,10,17,27
MACHACAMARCA,consulta externa,menores de 6 meses,2020-01-01,9,9,1,0,10,9,19
MACHARETI,consulta externa,menores de 6 meses,2020-01-01,12,7,0,0,12,7,19
MAGDALENA,consulta externa,menores de 6 meses,2020-01-01,12,6,0,0,12,6,18
MAIRANA,consulta externa,menores de 6 meses,2020-01-01,30,28,1,5,31,33,64
MALLA,consulta externa,menores de 6 meses,2020-01-01,4,3,0,0,4,3,7
MAPIRI,consulta externa,menores de 6 meses,2020-01-01,44,51,12,13,56,64,120
MECAPACA,consulta externa,menores de 6 meses,2020-01-01,20,18,3,0,23,18,41
MINEROS,consulta externa,menores de 6 meses,2020-01-01,41,21,3,8,44,29,73
MIZQUE,consulta externa,menores de 6 meses,2020-01-01,56,66,6,3,62,69,131
MOCOMOCO,consulta externa,menores de 6 meses,2020-01-01,16,13,0,0,16,13,29
MOJINETE,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
MOJOCOYA,consulta externa,menores de 6 meses,2020-01-01,6,12,1,1,7,13,20
MONTEAGUDO,consulta externa,menores de 6 meses,2020-01-01,77,89,14,18,91,107,198
MONTERO,consulta externa,menores de 6 meses,2020-01-01,572,544,69,42,641,586,1227
MORO MORO,consulta externa,menores de 6 meses,2020-01-01,8,4,0,0,8,4,12
MOROCHATA,consulta externa,menores de 6 meses,2020-01-01,17,15,2,0,19,15,34
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2020-01-01,6,6,0,0,6,6,12
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2020-01-01,3,1,0,0,3,1,4
OCURI,consulta externa,menores de 6 meses,2020-01-01,17,19,0,0,17,19,36
OKINAWA,consulta externa,menores de 6 meses,2020-01-01,20,20,2,8,22,28,50
OMEREQUE,consulta externa,menores de 6 meses,2020-01-01,9,12,0,0,9,12,21
ORURO,consulta externa,menores de 6 meses,2020-01-01,1201,1126,629,424,1830,1550,3380
PADCAYA,consulta externa,menores de 6 meses,2020-01-01,53,50,3,3,56,53,109
PADILLA,consulta externa,menores de 6 meses,2020-01-01,26,17,3,0,29,17,46
PAILON,consulta externa,menores de 6 meses,2020-01-01,80,77,15,6,95,83,178
PALCA,consulta externa,menores de 6 meses,2020-01-01,52,23,4,0,56,23,79
PALOS BLANCOS,consulta externa,menores de 6 meses,2020-01-01,80,79,23,27,103,106,209
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2020-01-01,5,6,0,1,5,7,12
PAMPA GRANDE,consulta externa,menores de 6 meses,2020-01-01,23,9,3,3,26,12,38
PAPEL PAMPA,consulta externa,menores de 6 meses,2020-01-01,12,3,0,0,12,3,15
PASORAPA,consulta externa,menores de 6 meses,2020-01-01,6,3,4,2,10,5,15
PATACAMAYA,consulta externa,menores de 6 meses,2020-01-01,51,65,7,2,58,67,125
PAZÑA,consulta externa,menores de 6 meses,2020-01-01,6,8,1,1,7,9,16
PELECHUCO,consulta externa,menores de 6 meses,2020-01-01,13,15,4,3,17,18,35
POCOATA,consulta externa,menores de 6 meses,2020-01-01,17,25,0,0,17,25,42
POCONA,consulta externa,menores de 6 meses,2020-01-01,24,19,0,0,24,19,43
POJO (CBBA),consulta externa,menores de 6 meses,2020-01-01,22,33,2,2,24,35,59
POOPO,consulta externa,menores de 6 meses,2020-01-01,3,2,0,0,3,2,5
PORCO,consulta externa,menores de 6 meses,2020-01-01,21,21,1,0,22,21,43
POROMA,consulta externa,menores de 6 meses,2020-01-01,27,33,0,0,27,33,60
PORONGO,consulta externa,menores de 6 meses,2020-01-01,28,29,2,2,30,31,61
PORTACHUELO,consulta externa,menores de 6 meses,2020-01-01,34,41,0,1,34,42,76
PORVENIR,consulta externa,menores de 6 meses,2020-01-01,6,15,1,2,7,17,24
POSTRER VALLE,consulta externa,menores de 6 meses,2020-01-01,3,3,0,0,3,3,6
POTOSI,consulta externa,menores de 6 meses,2020-01-01,1227,992,113,96,1340,1088,2428
PRESTO,consulta externa,menores de 6 meses,2020-01-01,4,6,1,0,5,6,11
PUCARA,consulta externa,menores de 6 meses,2020-01-01,3,0,1,0,4,0,4
PUCARANI,consulta externa,menores de 6 meses,2020-01-01,33,30,1,2,34,32,66
PUERTO ACOSTA,consulta externa,menores de 6 meses,2020-01-01,11,5,0,0,11,5,16
PUERTO CARABUCO,consulta externa,menores de 6 meses,2020-01-01,11,17,3,2,14,19,33
PUERTO GONZALO MORENO,consulta externa,menores de 6 meses,2020-01-01,34,27,8,12,42,39,81
PUERTO PEREZ,consulta externa,menores de 6 meses,2020-01-01,3,5,0,0,3,5,8
PUERTO QUIJARRO,consulta externa,menores de 6 meses,2020-01-01,51,48,8,6,59,54,113
PUERTO RICO,consulta externa,menores de 6 meses,2020-01-01,31,18,0,3,31,21,52
PUERTO SILES,consulta externa,menores de 6 meses,2020-01-01,2,0,0,0,2,0,2
PUERTO SUAREZ,consulta externa,menores de 6 meses,2020-01-01,24,21,6,2,30,23,53
PUERTO VILLARROEL,consulta externa,menores de 6 meses,2020-01-01,331,350,43,45,374,395,769
PUNA,consulta externa,menores de 6 meses,2020-01-01,16,16,0,1,16,17,33
PUNATA,consulta externa,menores de 6 meses,2020-01-01,128,110,40,30,168,140,308
QUIABAYA,consulta externa,menores de 6 meses,2020-01-01,4,8,0,0,4,8,12
QUILLACOLLO,consulta externa,menores de 6 meses,2020-01-01,450,466,251,297,701,763,1464
QUIME,consulta externa,menores de 6 meses,2020-01-01,11,7,1,0,12,7,19
QUIRUSILLAS,consulta externa,menores de 6 meses,2020-01-01,0,3,0,3,0,6,6
RAQAYPAMPA(ETA),consulta externa,menores de 6 meses,2020-01-01,7,13,0,0,7,13,20
RAVELO,consulta externa,menores de 6 meses,2020-01-01,24,14,0,0,24,14,38
REYES,consulta externa,menores de 6 meses,2020-01-01,27,13,0,0,27,13,40
RIBERALTA,consulta externa,menores de 6 meses,2020-01-01,369,312,39,39,408,351,759
ROBORE,consulta externa,menores de 6 meses,2020-01-01,36,20,1,3,37,23,60
RURRENABAQUE,consulta externa,menores de 6 meses,2020-01-01,49,40,1,4,50,44,94
SABAYA,consulta externa,menores de 6 meses,2020-01-01,8,5,1,0,9,5,14
SACABA,consulta externa,menores de 6 meses,2020-01-01,510,504,76,81,586,585,1171
SACABAMBA,consulta externa,menores de 6 meses,2020-01-01,5,3,0,1,5,4,9
SACACA,consulta externa,menores de 6 meses,2020-01-01,30,35,0,0,30,35,65
SAIPINA,consulta externa,menores de 6 meses,2020-01-01,20,9,1,2,21,11,32
SALINAS DE GARCI MENDOZA,consulta externa,menores de 6 meses,2020-01-01,14,18,2,0,16,18,34
SAMAIPATA,consulta externa,menores de 6 meses,2020-01-01,13,9,4,9,17,18,35
SAN AGUSTIN,consulta externa,menores de 6 meses,2020-01-01,1,3,0,0,1,3,4
SAN ANDRES,consulta externa,menores de 6 meses,2020-01-01,21,14,0,0,21,14,35
SAN ANDRES DE MACHACA,consulta externa,menores de 6 meses,2020-01-01,2,3,2,1,4,4,8
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 6 meses,2020-01-01,5,0,0,0,5,0,5
SAN ANTONIO DE LOMERIO,consulta externa,menores de 6 meses,2020-01-01,13,16,0,3,13,19,32
SAN BENITO,consulta externa,menores de 6 meses,2020-01-01,22,23,3,2,25,25,50
SAN BORJA,consulta externa,menores de 6 meses,2020-01-01,99,81,5,6,104,87,191
SAN BUENA VENTURA,consulta externa,menores de 6 meses,2020-01-01,34,37,5,7,39,44,83
SAN CARLOS,consulta externa,menores de 6 meses,2020-01-01,30,25,3,2,33,27,60
SAN IGNACIO,consulta externa,menores de 6 meses,2020-01-01,84,63,8,8,92,71,163
SAN IGNACIO DE VELASCO,consulta externa,menores de 6 meses,2020-01-01,179,150,1,7,180,157,337
SAN JAVIER(BNI),consulta externa,menores de 6 meses,2020-01-01,9,4,0,0,9,4,13
SAN JAVIER(STC),consulta externa,menores de 6 meses,2020-01-01,31,21,0,0,31,21,52
SAN JOAQUIN,consulta externa,menores de 6 meses,2020-01-01,12,22,0,0,12,22,34
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2020-01-01,31,37,14,12,45,49,94
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2020-01-01,23,13,0,0,23,13,36
SAN JULIAN,consulta externa,menores de 6 meses,2020-01-01,129,106,30,21,159,127,286
SAN LORENZO(PND),consulta externa,menores de 6 meses,2020-01-01,24,17,0,0,24,17,41
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2020-01-01,53,47,4,5,57,52,109
SAN LUCAS,consulta externa,menores de 6 meses,2020-01-01,50,63,6,6,56,69,125
SAN MATIAS,consulta externa,menores de 6 meses,2020-01-01,26,25,0,0,26,25,51
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2020-01-01,14,10,16,14,30,24,54
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2020-01-01,8,4,0,0,8,4,12
SAN PEDRO,consulta externa,menores de 6 meses,2020-01-01,59,52,3,5,62,57,119
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2020-01-01,29,32,1,0,30,32,62
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2020-01-01,8,5,2,0,10,5,15
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2020-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2020-01-01,6,2,1,0,7,2,9
SAN PEDRO(PND),consulta externa,menores de 6 meses,2020-01-01,7,4,0,0,7,4,11
SAN RAFAEL,consulta externa,menores de 6 meses,2020-01-01,22,24,22,23,44,47,91
SAN RAMON BENI,consulta externa,menores de 6 meses,2020-01-01,17,9,0,0,17,9,26
SAN RAMON SCZ,consulta externa,menores de 6 meses,2020-01-01,9,9,0,1,9,10,19
SANTA ANA,consulta externa,menores de 6 meses,2020-01-01,48,30,50,32,98,62,160
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2020-01-01,3910,3537,871,916,4781,4453,9234
SANTA ROSA,consulta externa,menores de 6 meses,2020-01-01,15,11,2,0,17,11,28
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2020-01-01,54,31,0,1,54,32,86
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2020-01-01,3,2,0,0,3,2,5
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2020-01-01,10,8,4,0,14,8,22
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2020-01-01,2,4,0,0,2,4,6
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2020-01-01,3,0,0,0,3,0,3
SANTIVAÑES,consulta externa,menores de 6 meses,2020-01-01,20,4,3,0,23,4,27
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2020-01-01,4,7,4,3,8,10,18
SAPAHAQUI,consulta externa,menores de 6 meses,2020-01-01,11,14,1,1,12,15,27
SENA,consulta externa,menores de 6 meses,2020-01-01,1,6,0,0,1,6,7
SHINAOTA,consulta externa,menores de 6 meses,2020-01-01,122,115,4,7,126,122,248
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2020-01-01,36,28,0,1,36,29,65
SICAYA,consulta externa,menores de 6 meses,2020-01-01,12,16,0,1,12,17,29
SIPE SIPE,consulta externa,menores de 6 meses,2020-01-01,140,123,29,31,169,154,323
SOPACHUY,consulta externa,menores de 6 meses,2020-01-01,23,25,0,0,23,25,48
SORACACHI,consulta externa,menores de 6 meses,2020-01-01,10,5,0,0,10,5,15
SORATA,consulta externa,menores de 6 meses,2020-01-01,43,29,4,1,47,30,77
SUCRE,consulta externa,menores de 6 meses,2020-01-01,1010,1031,208,301,1218,1332,2550
TACACHI,consulta externa,menores de 6 meses,2020-01-01,2,2,0,1,2,3,5
TACACOMA,consulta externa,menores de 6 meses,2020-01-01,17,15,0,1,17,16,33
TACOBAMBA,consulta externa,menores de 6 meses,2020-01-01,9,12,0,0,9,12,21
TACOPAYA,consulta externa,menores de 6 meses,2020-01-01,10,7,0,0,10,7,17
TAHUA,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
TAPACARI,consulta externa,menores de 6 meses,2020-01-01,32,37,3,2,35,39,74
TARABUCO,consulta externa,menores de 6 meses,2020-01-01,21,15,0,0,21,15,36
TARACO,consulta externa,menores de 6 meses,2020-01-01,8,3,0,3,8,6,14
TARATA,consulta externa,menores de 6 meses,2020-01-01,18,12,7,1,25,13,38
TARIJA,consulta externa,menores de 6 meses,2020-01-01,867,772,195,169,1062,941,2003
TARVITA,consulta externa,menores de 6 meses,2020-01-01,50,47,0,0,50,47,97
TEOPONTE,consulta externa,menores de 6 meses,2020-01-01,27,34,7,8,34,42,76
TIAHUANACU,consulta externa,menores de 6 meses,2020-01-01,20,8,2,2,22,10,32
TINGUIPAYA,consulta externa,menores de 6 meses,2020-01-01,19,18,0,0,19,18,37
TIPUANI,consulta externa,menores de 6 meses,2020-01-01,18,12,4,5,22,17,39
TIQUIPAYA,consulta externa,menores de 6 meses,2020-01-01,282,283,24,24,306,307,613
TIRAQUE (CBBA),consulta externa,menores de 6 meses,2020-01-01,37,41,30,30,67,71,138
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 6 meses,2020-01-01,0,2,0,0,0,2,2
TOCO,consulta externa,menores de 6 meses,2020-01-01,15,7,2,1,17,8,25
TODOS SANTOS,consulta externa,menores de 6 meses,2020-01-01,1,0,0,0,1,0,1
TOLATA,consulta externa,menores de 6 meses,2020-01-01,23,27,3,3,26,30,56
TOLEDO,consulta externa,menores de 6 meses,2020-01-01,3,11,0,1,3,12,15
TOMAVE,consulta externa,menores de 6 meses,2020-01-01,22,12,0,0,22,12,34
TOMINA,consulta externa,menores de 6 meses,2020-01-01,26,14,0,0,26,14,40
TORO TORO,consulta externa,menores de 6 meses,2020-01-01,18,7,0,0,18,7,25
TOTORA(CBBA),consulta externa,menores de 6 meses,2020-01-01,45,33,2,1,47,34,81
TOTORA(ORR),consulta externa,menores de 6 meses,2020-01-01,6,8,0,2,6,10,16
