,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,57,44,10,8,67,52,119
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,215,212,21,11,236,223,459
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2020-01-01,178,170,7,6,185,176,361
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,50,52,19,33,69,85,154
BAURES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,57,53,6,12,63,65,128
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,8,9,0,0,8,9,17
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,12,9,0,0,12,9,21
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2020-01-01,40,35,15,8,55,43,98
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,408,408,44,45,452,453,905
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,216,212,2,3,218,215,433
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2020-01-01,41,35,0,1,41,36,77
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,17,12,0,0,17,12,29
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,72,72,3,1,75,73,148
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,266,188,3,9,269,197,466
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,339,288,11,3,350,291,641
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,92,88,8,8,100,96,196
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2020-01-01,90,93,0,1,90,94,184
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,120,125,0,1,120,126,246
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,33,24,1,0,34,24,58
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,67,71,11,15,78,86,164
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,149,149,0,5,149,154,303
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,24,13,3,1,27,14,41
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,556,564,75,42,631,606,1237
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,207,196,55,42,262,238,500
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,41,50,2,3,43,53,96
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,237,211,2,6,239,217,456
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,480,368,212,191,692,559,1251
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1,1,0,0,1,1,2
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,185,152,23,26,208,178,386
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,29,35,1,2,30,37,67
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,45,50,7,6,52,56,108
CATACORA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,30,29,9,9,39,38,77
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,18,14,0,2,18,16,34
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,171,160,13,12,184,172,356
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,64,43,1,1,65,44,109
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,527,467,41,36,568,503,1071
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,10,8,0,1,10,9,19
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,112,95,6,4,118,99,217
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,498,449,4,3,502,452,954
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,11,12,0,0,11,12,23
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,10,5,0,0,10,5,15
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,20,18,22,23,42,41,83
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2020-01-01,122,123,52,49,174,172,346
CHUMA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,38,53,2,0,40,53,93
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,71,49,0,1,71,50,121
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,93,90,1,1,94,91,185
CLIZA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,158,125,33,38,191,163,354
COBIJA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,518,500,118,91,636,591,1227
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,280,277,14,9,294,286,580
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,8216,7584,2407,2314,10623,9898,20521
COIPASA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,0,1,0,0,0,1,1
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,346,336,144,148,490,484,974
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2020-01-01,134,109,26,6,160,115,275
COLLANA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,19,16,0,0,19,16,35
COLOMI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,156,143,31,18,187,161,348
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,57,57,10,6,67,63,130
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,349,264,3,0,352,264,616
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,87,68,6,0,93,68,161
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,77,79,0,2,77,81,158
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,10,9,0,0,10,9,19
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,149,104,7,6,156,110,266
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,9,6,0,0,9,6,15
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2020-01-01,124,119,15,5,139,124,263
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,49,55,11,8,60,63,123
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,129,113,5,5,134,118,252
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,44,45,5,3,49,48,97
COROICO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,128,114,68,55,196,169,365
CORQUE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,37,44,3,6,40,50,90
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,183,182,9,10,192,192,384
COTOCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,814,839,81,99,895,938,1833
CRUZ DE MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,3,1,0,0,3,1,4
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,227,196,27,24,254,220,474
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2020-01-01,22,22,7,1,29,23,52
CUEVO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,99,78,39,45,138,123,261
CULPINA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,132,109,6,6,138,115,253
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,20,28,0,2,20,30,50
CURVA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,39,19,1,1,40,20,60
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,30,27,7,2,37,29,66
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,7053,6499,2384,2254,9437,8753,18190
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,28,27,0,4,28,31,59
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2020-01-01,170,159,0,0,170,159,329
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,117,121,4,5,121,126,247
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,925,810,307,373,1232,1183,2415
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2020-01-01,53,40,2,0,55,40,95
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,204,191,3,3,207,194,401
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,561,500,23,17,584,517,1101
ESCARA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,5,5,0,0,5,5,10
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,38,38,1,3,39,41,80
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,2,4,8,5,10,9,19
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,37,28,0,0,37,28,65
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2020-01-01,28,16,0,0,28,16,44
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2020-01-01,43,36,2,3,45,39,84
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,166,159,39,34,205,193,398
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,84,54,4,2,88,56,144
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,234,260,27,29,261,289,550
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2020-01-01,64,73,12,11,76,84,160
GUANAY,consulta externa,ninos  de 1 a 4 anos,2020-01-01,153,155,39,30,192,185,377
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,23,18,1,0,24,18,42
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2020-01-01,485,378,21,24,506,402,908
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,247,258,28,31,275,289,564
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,90,105,27,47,117,152,269
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,42,29,5,3,47,32,79
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,14,8,0,1,14,9,23
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,163,148,77,49,240,197,437
HUARACAJE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,83,69,4,2,87,71,158
HUARINA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,35,36,23,13,58,49,107
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,13,19,11,10,24,29,53
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,27,20,1,1,28,21,49
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,12,12,0,0,12,12,24
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,34,42,0,0,34,42,76
ICLA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,119,107,37,37,156,144,300
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,141,134,1,6,142,140,282
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,50,37,3,2,53,39,92
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,123,131,6,3,129,134,263
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,155,123,45,33,200,156,356
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,148,158,6,11,154,169,323
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,61,49,39,36,100,85,185
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,326,335,34,36,360,371,731
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1741,1515,237,205,1978,1720,3698
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,6736,6084,2045,1922,8781,8006,16787
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1,0,0,0,1,0,1
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,172,154,12,21,184,175,359
LAJA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,105,90,7,5,112,95,207
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,40,41,0,0,40,41,81
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,36,35,0,0,36,35,71
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,437,395,9,4,446,399,845
LLICA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,18,15,0,0,18,15,33
LORETO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,58,58,2,4,60,62,122
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2020-01-01,75,67,1,1,76,68,144
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,34,22,4,0,38,22,60
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,72,54,2,1,74,55,129
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,147,123,0,1,147,124,271
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,121,100,17,12,138,112,250
MALLA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,19,16,0,1,19,17,36
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,141,165,30,21,171,186,357
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,77,66,6,7,83,73,156
MINEROS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,220,207,34,30,254,237,491
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,257,220,16,25,273,245,518
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,60,49,6,3,66,52,118
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,5,5,0,1,5,6,11
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,33,49,9,9,42,58,100
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,301,301,78,62,379,363,742
MONTERO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,2070,1768,429,331,2499,2099,4598
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,25,15,0,1,25,16,41
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,57,34,0,1,57,35,92
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,59,43,4,2,63,45,108
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,0,3,3,9,3,12,15
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,20,21,0,0,20,21,41
OCURI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,117,135,2,0,119,135,254
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,101,122,25,35,126,157,283
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,92,80,1,3,93,83,176
ORURO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,2603,2491,380,308,2983,2799,5782
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,338,260,12,14,350,274,624
PADILLA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,142,132,5,6,147,138,285
PAILON,consulta externa,ninos  de 1 a 4 anos,2020-01-01,354,312,59,42,413,354,767
PALCA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,115,115,3,9,118,124,242
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,441,424,52,55,493,479,972
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,31,41,1,1,32,42,74
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,56,71,10,8,66,79,145
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,40,39,3,6,43,45,88
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,32,25,12,7,44,32,76
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,132,119,14,10,146,129,275
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,25,40,2,5,27,45,72
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,63,70,17,18,80,88,168
POCOATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,131,103,0,2,131,105,236
POCONA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,133,104,1,5,134,109,243
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,94,81,9,8,103,89,192
POOPO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,51,59,1,3,52,62,114
PORCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,78,77,1,3,79,80,159
POROMA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,157,159,1,1,158,160,318
PORONGO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,170,142,12,13,182,155,337
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,101,100,12,9,113,109,222
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2020-01-01,44,44,5,4,49,48,97
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,15,14,1,2,16,16,32
POTOSI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1694,1593,130,109,1824,1702,3526
PRESTO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,65,71,4,1,69,72,141
PUCARA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,13,14,9,3,22,17,39
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,123,144,7,13,130,157,287
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,36,25,6,6,42,31,73
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,54,64,8,3,62,67,129
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,109,121,38,41,147,162,309
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,14,25,0,1,14,26,40
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,98,107,34,32,132,139,271
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,121,86,7,5,128,91,219
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,5,9,0,1,5,10,15
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,118,131,22,19,140,150,290
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1045,937,63,58,1108,995,2103
PUNA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,100,119,2,2,102,121,223
PUNATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,334,258,71,54,405,312,717
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,29,27,2,0,31,27,58
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1215,1209,440,416,1655,1625,3280
QUIME,consulta externa,ninos  de 1 a 4 anos,2020-01-01,57,53,0,0,57,53,110
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,5,10,0,0,5,10,15
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,58,52,0,0,58,52,110
RAVELO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,127,93,0,0,127,93,220
REYES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,139,149,6,5,145,154,299
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,813,812,146,120,959,932,1891
ROBORE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,242,218,15,7,257,225,482
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2020-01-01,292,243,21,6,313,249,562
SABAYA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,54,37,3,3,57,40,97
SACABA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,1439,1329,162,167,1601,1496,3097
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,33,17,3,7,36,24,60
SACACA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,174,152,0,1,174,153,327
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,71,53,20,15,91,68,159
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,76,67,5,6,81,73,154
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,49,79,30,37,79,116,195
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2020-01-01,22,18,0,1,22,19,41
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,172,156,18,19,190,175,365
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,23,18,2,4,25,22,47
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,21,12,0,0,21,12,33
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,112,118,8,6,120,124,244
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,119,77,10,10,129,87,216
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,601,527,56,61,657,588,1245
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,144,125,19,13,163,138,301
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,245,252,33,28,278,280,558
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,322,283,41,27,363,310,673
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,874,816,30,32,904,848,1752
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2020-01-01,37,34,0,0,37,34,71
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2020-01-01,101,64,5,3,106,67,173
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2020-01-01,76,54,3,9,79,63,142
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,240,218,26,33,266,251,517
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,125,121,8,13,133,134,267
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2020-01-01,507,453,59,78,566,531,1097
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2020-01-01,184,174,3,2,187,176,363
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2020-01-01,276,218,13,10,289,228,517
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,293,223,27,18,320,241,561
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2020-01-01,167,144,1,4,168,148,316
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,133,111,12,10,145,121,266
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,35,25,0,0,35,25,60
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2020-01-01,388,290,34,19,422,309,731
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,177,133,0,1,177,134,311
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,40,34,0,5,40,39,79
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2020-01-01,11,8,0,0,11,8,19
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,23,19,8,9,31,28,59
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2020-01-01,50,48,0,0,50,48,98
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2020-01-01,91,78,82,80,173,158,331
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,72,87,4,4,76,91,167
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2020-01-01,57,55,6,2,63,57,120
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,157,153,100,137,257,290,547
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,11412,10162,2653,2283,14065,12445,26510
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,95,99,10,0,105,99,204
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,288,269,13,12,301,281,582
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2020-01-01,17,9,0,0,17,9,26
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2020-01-01,53,81,6,2,59,83,142
