municipality,group,variable,month,Vacunaciones SRP fuera de servicio,TOTAL
OMEREQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,7,7
ORURO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,56,56
PADCAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,5,5
PADILLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
PAILON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,15,15
PALCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,11,11
PALOS BLANCOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,17,17
PAMPA GRANDE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,18,18
PAPEL PAMPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
PASORAPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,5,5
PATACAMAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
PELECHUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,9,9
POCOATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,19,19
POCONA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
POJO (CBBA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,6,6
PORCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
POROMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,20,20
PORONGO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,9,9
PORTACHUELO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
PORVENIR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,5,5
POSTRER VALLE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
POTOSI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,18,18
PRESTO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,12,12
PUCARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,1,1
PUCARANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,25,25
PUERTO ACOSTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
PUERTO CARABUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,28,28
PUERTO GONZALO MORENO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,7,7
PUERTO PEREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,18,18
PUERTO QUIJARRO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,10,10
PUERTO RICO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
PUERTO SUAREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,14,14
PUERTO VILLARROEL,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,16,16
PUNA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,28,28
PUNATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,18,18
QUILLACOLLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,30,30
QUIME,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,15,15
RAVELO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,6,6
RIBERALTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,28,28
ROBORE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,10,10
RURRENABAQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SACABA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,72,72
SACABAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,6,6
SACACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,16,16
SAIPINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
SALINAS DE GARCI MENDOZA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,8,8
SAMAIPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,12,12
SAN ANDRES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,19,19
SAN ANDRES DE MACHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,11,11
SAN BENITO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SAN BUENA VENTURA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,10,10
SAN CARLOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
SAN IGNACIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,10,10
SAN IGNACIO DE VELASCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,34,34
SAN JAVIER(STC),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,8,8
SAN JOAQUIN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SAN JOSE DE CHIQUITOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,6,6
SAN JUAN DE YAPACANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
SAN JULIAN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,21,21
SAN LORENZO(PND),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SAN LORENZO(TJA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,13,13
SAN LUCAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,25,25
SAN MATIAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,13,13
SAN MIGUEL DE VELASCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,9,9
SAN PABLO DE LIPEZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,1,1
SAN PEDRO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,6,6
SAN PEDRO DE BUENA VISTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,8,8
SAN PEDRO DE CURAHUARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,6,6
SAN PEDRO DE TIQUINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
SAN RAFAEL,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SAN RAMON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,15,15
SAN RAMON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,207,207
SANTA ROSA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,5,5
SANTA ROSA DEL SARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,26,26
SANTIAGO DE CALLAPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
SANTIAGO DE HUARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SANTIVAÑES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SANTUARIO DE QUILLACAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,1,1
SAPAHAQUI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
SENA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
SICA SICA (VILLA AROMA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,9,9
SICAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
SIPE SIPE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,21,21
SOPACHUY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,9,9
SORATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,13,13
SUCRE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,47,47
TACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
TACACOMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,5,5
TACOBAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,4,4
TACOPAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,7,7
TAHUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,3,3
TAPACARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,12,12
TARABUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,32,32
TARACO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,10,10
TARATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,2,2
TARIJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2006-01-01,46,46
