,group,variable,month,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 1ER TRIMESTRE DEL EMBARAZO < A 10,TOTALES
COLQUENCHA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,3,0,0,0,0,0,6
COLQUIRI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,2,3,1,0,0,0,0,8
COMANCHE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
COMARAPA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,12,0,0,0,0,0,0,0,14
CONCEPCION,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,5,0,22,0,4,0,0,0,0,0,32
CORIPATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,9,0,5,0,0,0,0,0,15
CORO CORO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,5,1,2,1,0,0,0,0,10
COROICO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,10,0,2,0,0,0,0,0,13
COTAGAITA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,6,0,4,0,1,0,0,0,13
COTOCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,7,0,34,0,40,0,3,0,0,0,84
CUATRO CAÑADAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,11,0,3,0,0,0,0,0,18
CUEVO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,2,0,1,1,0,0,0,4
CULPINA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,0,13,2,1,0,0,0,0,0,21
CURAHUARA DE CARANGAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
CURVA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
DESAGUADERO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,2,0,0,0,0,0,4
EL ALTO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,62,43,527,118,152,30,0,0,0,0,933
EL PUENTE(STC),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,1,9,1,2,0,0,0,0,0,13
EL PUENTE(TJA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,6,0,3,0,0,0,0,0,9
EL TORNO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
EL VILLAR,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,2,1,0,0,0,0,4
ENTRE RIOS TRJ,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,10,0,2,0,0,0,0,0,12
ENTRE RIOS CBBA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,16,0,31,0,3,1,0,0,0,0,51
EUCALIPTUS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
EUREKA (SANTOS MERCADO),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
FERNANDEZ ALONSO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,3,0,1,1,0,0,0,0,7
FILADELFIA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,0,1,0,0,0,4
GAIOC JATUN AYLLU YURA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,5,0,3,0,0,0,0,0,8
GUANAY,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,6,0,0,0,0,0,6
GUAQUI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,6,0,0,0,0,0,0,0,7
GUAYARAMERIN,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,0,14,1,12,0,2,0,0,0,34
GUTIERREZ,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
HUACARETA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,2,0,7,0,1,0,0,0,0,0,11
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
HUACHACALLA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
HUANUNI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,12,0,2,0,3,0,0,0,19
HUATAJATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
HUAYLLAMARCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
HUMANATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,4,0,0,0,0,0,0,0,5
ICHOCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
ICLA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,1,7,0,0,0,0,0,0,0,12
INCAHUASI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,1,3,0,0,0,0,0,0,0,6
INGAVI (HUMAITA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,1,1,0,0,0,0,0,0,0,2
INQUISIVI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,1,5,0,0,0,0,0,10
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,8,1,0,0,0,0,13
JESUS DE MACHACA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,7,1,3,1,0,0,0,0,12
LA ASUNTA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,2,0,11,0,29,0,0,0,0,0,43
LA GUARDIA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,15,0,72,0,18,0,0,0,0,0,105
LA PAZ,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,28,0,527,2,279,1,0,0,0,0,837
LAGUNILLAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,3,6,2,2,0,0,0,14
LAJA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,1,8,0,10,1,0,0,0,0,20
LAS CARRERAS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
LICOMA PAMPA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
LLALLAGUA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,1,18,0,6,0,1,0,0,0,31
LLICA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,3,0,0,0,0,0,4
LORETO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,2,0,0,0,0,0,0,0,3
MACHACAMARCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
MACHARETI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,1,0,0,0,0,0,4
MAGDALENA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,2,0,3,0,3,0,0,0,9
MAIRANA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,7,0,2,0,0,0,0,0,11
MAPIRI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,0,25,0,4,0,0,0,0,0,34
MECAPACA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,0,0,7,1,6,0,0,0,0,0,15
MINEROS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,11,0,4,0,0,0,0,0,17
MIZQUE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,7,0,17,0,4,0,0,0,0,0,28
MOCOMOCO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,1,2,0,0,0,0,0,5
MONTEAGUDO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,13,0,8,0,0,0,0,0,23
MONTERO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,17,0,61,0,45,0,2,0,0,0,126
MORO MORO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,1,0,0,0,0,0,0,3
MOROCHATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,1,0,0,0,3
NAZACARA DE PACAJES,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
OCURI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,4,0,4,0,0,0,0,0,10
OKINAWA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,6,0,9,0,0,0,0,0,0,0,15
OMEREQUE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,5,1,0,0,0,0,0,0,7
ORURO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,34,0,253,3,62,2,0,0,0,0,354
PADCAYA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,5,0,2,0,0,0,0,0,9
PADILLA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,1,0,0,0,0,0,0,5
PAILON,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,5,0,10,40,1,2,0,0,0,0,58
PALCA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,19,2,0,0,0,0,25
PALOS BLANCOS,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,15,2,3,0,0,0,0,0,24
PAMPA GRANDE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,5,0,0,0,0,0,0,0,7
PAPEL PAMPA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
PASORAPA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
PATACAMAYA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,14,1,4,0,0,0,0,0,20
PAZÑA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3
PELECHUCO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,4,0,0,0,0,0,0,0,8
POCOATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,9,3,1,0,0,0,0,0,17
POCONA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,1,2,2,1,0,0,0,0,0,6
POJO (CBBA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,1,0,7,2,0,0,0,0,0,10
POOPO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,4,0,0,0,0,0,7
PORCO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,8,3,7,0,0,0,0,0,19
POROMA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,4,1,5,0,0,0,0,0,12
PORONGO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,5,1,2,0,0,0,0,0,10
PORTACHUELO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,2,0,2,0,0,0,0,0,0,0,4
PORVENIR,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,5,0,0,0,0,0,0,0,6
POTOSI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,30,0,184,4,101,0,2,0,0,0,322
PRESTO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
PUCARA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
PUCARANI,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,4,0,17,0,4,0,1,0,0,0,26
PUERTO ACOSTA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,6,0,0,0,0,0,9
PUERTO CARABUCO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,5,1,3,0,0,0,0,0,9
PUERTO GONZALO MORENO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,3,0,0,0,0,0,0,0,4
PUERTO PEREZ,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,6,0,0,0,0,0,0,0,6
PUERTO QUIJARRO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,6,0,23,0,13,0,0,0,0,0,42
PUERTO RICO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,3,0,5,0,1,0,0,0,0,0,10
PUERTO SUAREZ,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,5,0,2,0,0,0,0,0,8
PUERTO VILLARROEL,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,2,0,10,0,52,0,7,0,0,0,0,0,71
PUNA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,2,0,0,0,0,0,4
PUNATA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,4,1,25,10,12,0,0,0,0,0,53
QUIABAYA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,2,0,1,0,0,0,0,0,4
QUILLACOLLO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,20,6,129,21,55,8,0,0,0,0,239
QUIME,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,6,1,1,0,0,0,0,0,9
RAQAYPAMPA(ETA),consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
RAVELO,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2
REYES,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,5,0,5,0,0,0,0,0,10
RIBERALTA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,5,0,20,0,67,0,80,1,0,0,0,0,173
ROBORE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,1,0,0,0,9,0,8,0,3,0,0,0,21
RURRENABAQUE,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,9,0,4,0,0,0,0,0,13
SACABA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,11,0,88,8,23,5,5,0,0,0,140
SACABAMBA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SACACA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,3,0,12,0,3,0,0,0,0,0,18
SAIPINA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,1,0,2,0,1,0,0,0,0,0,4
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas en el 1er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,0,0,0,0,0,0,4
