,group,variable,month,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 2DO TRIMESTRE DEL EMBARAZO < A 10,TOTALES
COMARAPA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
CONCEPCION,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,3,0,6,0,0,0,0,0,0,0,9
CORIPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,2,0,0,0,0,0,4
CORO CORO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,2
COROICO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,4,0,2,0,0,0,0,0,7
COTAGAITA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,3,0,3,0,4,0,0,0,0,0,10
COTOCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,11,0,80,0,21,0,3,0,0,0,115
CUATRO CAÑADAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,3,0,1,0,0,0,0,0,6
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
CUEVO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
CULPINA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,1,0,0,0,0,0,0,3
CURAHUARA DE CARANGAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
CURVA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,2
DESAGUADERO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,2,1,0,0,0,0,0,0,4
EL ALTO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,42,28,258,56,108,17,0,0,0,0,509
EL CHORO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,1,0,0,0,2
EL PUENTE(STC),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
EL PUENTE(TJA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2
EL TORNO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,10,0,38,1,6,0,1,0,0,0,56
EL VILLAR,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
ENTRE RIOS TRJ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
ENTRE RIOS CBBA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,14,0,1,1,0,0,0,0,18
ESCOMA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,2,0,1,0,0,0,0,0,5
FERNANDEZ ALONSO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,2,0,2,0,1,0,0,0,7
GAIOC JATUN AYLLU YURA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2
GENERAL SAAVEDRA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
GIA-TIM,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
GUANAY,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,1,4,0,5,0,0,0,0,0,10
GUAQUI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
GUAYARAMERIN,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,8,1,10,0,3,0,0,0,24
GUTIERREZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,4,0,0,0,0,0,5
HUACARAJE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
HUACARETA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
HUANUNI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
HUARINA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
HUMANATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ICHOCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,2
ICLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
INCAHUASI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
INGAVI (HUMAITA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
INQUISIVI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,1,0,0,0,0,3
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,1,3,0,0,0,0,0,4
IXIAMAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
JESUS DE MACHACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
LA ASUNTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,10,0,19,0,0,0,0,0,31
LA GUARDIA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,2,0,15,0,53,0,8,0,0,0,0,0,78
LA PAZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,8,0,152,2,85,0,9,0,0,0,256
LAGUNILLAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
LAJA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,2,2,0,0,0,0,0,0,0,5
LICOMA PAMPA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
LLALLAGUA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,1,0,5,0,10,0,1,0,0,0,0,0,17
LORETO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MACHACAMARCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
MACHARETI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,2,1,1,0,0,0,0,0,5
MAGDALENA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,4,0,0,0,0,0,0,0,6
MAIRANA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,3,1,1,0,1,0,0,0,0,0,6
MAPIRI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,4,1,0,0,0,0,0,0,7
MECAPACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,1,2,0,1,0,0,0,0,0,4
MINEROS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,3,0,0,0,0,0,6
MIZQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
MOCOMOCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
MOJINETE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
MOJOCOYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
MONTEAGUDO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,1,0,0,0,0,0,4
MONTERO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,4,0,35,1,32,1,2,0,0,0,75
MORO MORO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1
MOROCHATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,2,0,3,0,0,0,0,0,6
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
OCURI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,3,0,1,0,0,0,0,0,5
OKINAWA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
OMEREQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,2,0,0,0,0,0,0,0,3
ORURO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,2,0,26,3,197,3,71,2,0,0,0,0,304
PADCAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
PADILLA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,1,0,0,1,0,0,0,0,4
PAILON,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,4,10,0,0,0,0,0,0,14
PALCA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,6,0,0,0,0,0,7
PALOS BLANCOS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,4,0,1,0,0,0,0,0,5
PAMPA AULLAGAS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,2
PAMPA GRANDE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
PATACAMAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,8,0,3,0,0,0,0,0,11
PAZÑA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2
PELECHUCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
POCOATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,5,0,5,3,1,2,0,0,0,0,16
POCONA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,1,0,0,0,3,2,0,0,0,0,0,6
POJO (CBBA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,1,0,1,1,1,0,0,0,0,4
POOPO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
PORCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,11,0,2,0,0,0,0,0,15
POROMA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,1,0,0,1,0,1,0,0,0,5
PORONGO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
POTOSI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,29,3,94,2,85,1,22,0,0,0,236
PRESTO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,0,0,1,0,0,0,0,0,3
PUCARANI,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,8,0,2,0,0,0,0,0,12
PUERTO ACOSTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
PUERTO GONZALO MORENO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO PEREZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
PUERTO RICO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,2,0,0,0,0,0,0,0,3
PUERTO SILES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
PUERTO SUAREZ,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,3,0,0,0,0,0,0,0,5
PUERTO VILLARROEL,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,17,0,4,0,0,0,0,0,22
PUNA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,0,0,2,0,0,0,0,0,3
PUNATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,1,0,6,0,11,1,5,0,0,0,0,0,24
QUIABAYA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
QUILLACOLLO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,6,2,21,5,12,3,0,0,0,0,49
QUIME,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
RAQAYPAMPA(ETA),consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
RAVELO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,1,1,3,0,1,0,0,0,0,0,6
REYES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
RIBERALTA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,2,0,4,0,16,0,18,0,0,0,0,0,40
ROBORE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,8,0,11,0,3,0,0,0,22
RURRENABAQUE,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,2,0,9,0,9,0,0,0,0,0,20
SACABA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,10,1,63,9,21,3,0,0,0,0,107
SACACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,1,1,0,1,0,0,0,0,0,3
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SAMAIPATA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN ANDRES,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,5,0,1,0,1,0,0,0,7
SAN ANDRES DE MACHACA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,3
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN BORJA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,9,2,22,10,7,3,0,0,53
SAN BUENA VENTURA,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,8,0,5,0,0,0,0,0,0,0,13
SAN CARLOS,consultas prenatales,nuevas en el 2do trimestre del embarazo,2024-01-01,0,0,0,0,3,0,14,0,3,0,0,0,20
