,group,variable,month,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 10 A 14,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 15 A 19,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 20 A 34,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 35 A 49,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO 50 Y +,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO < A 10,NUEVAS EN EL 3ER TRIMESTRE DEL EMBARAZO < A 10,TOTALES
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
IXIAMAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,3,0,0,0,0,0,0,0,4
JESUS DE MACHACA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
LA ASUNTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,1,2,0,0,0,0,0,4
LA GUARDIA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,5,0,27,0,5,0,0,0,0,0,37
LA PAZ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,9,0,60,0,54,0,0,0,0,0,123
LLALLAGUA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,5,0,2,0,0,0,0,0,8
MACHARETI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
MAIRANA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MECAPACA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MINEROS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,2,0,0,0,1,0,0,0,4
MIZQUE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
MOCOMOCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
MONTERO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,85,0,44,0,1,0,0,0,130
MOROCHATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,2,0,0,0,0,4
ORURO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,1,0,15,1,150,2,82,0,0,0,0,0,251
PAILON,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,19,0,0,0,0,0,0,19
PALCA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
PALOS BLANCOS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,1,0,3,0,0,0,0,0,6
PATACAMAYA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,3,0,2,0,0,0,0,0,0,0,5
PAZÑA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
PELECHUCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
POCOATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,2,1,0,0,0,0,0,4
POCONA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,2,0,2,0,0,0,0,4
POJO (CBBA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
PORCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
POROMA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
POTOSI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,7,0,15,1,65,0,1,0,0,0,89
PUCARANI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,1,0,2,0,6,0,1,0,0,0,0,0,10
PUERTO ACOSTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
PUERTO CARABUCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO QUIJARRO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,14,0,25,0,8,0,0,0,0,0,47
PUERTO SUAREZ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,4,0,0,0,0,0,0,0,5
PUERTO VILLARROEL,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,10,0,3,0,0,0,0,0,15
PUNA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
PUNATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,3,0,0,0,0,0,3
QUILLACOLLO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,4,0,0,0,0,0,6
RAVELO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,1,0,0,0,0,3
RIBERALTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,2,0,2,0,5,0,7,0,0,0,0,0,16
SACABA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,2,25,2,8,0,3,0,0,0,42
SACACA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
SAIPINA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,1,4,0,1,0,0,0,0,0,6
SAN BORJA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,7,0,1,0,0,0,11
SAN CARLOS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,4,0,2,0,1,0,0,0,7
SAN IGNACIO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,6,0,15,0,0,0,0,0,23
SAN JAVIER(BNI),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1
SAN JAVIER(STC),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,5,0,2,0,0,0,0,0,9
SAN JULIAN,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN LUCAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,3,1,2,0,0,0,0,0,0,0,6
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,1,0,0,0,0,0,0,0,2
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,1,0,0,0,0,3
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN PEDRO DE MACHA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN PEDRO(PND),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN RAFAEL,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,5,0,25,0,4,0,0,0,0,0,34
SAN RAMON BENI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,20,3,245,13,615,2,184,2,0,0,1084
SANTA ROSA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
SANTA ROSA DEL SARA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
SANTIAGO DE HUARI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
SHINAOTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2
SICA SICA (VILLA AROMA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
SIPE SIPE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,9,0,1,0,0,0,0,0,12
SORACACHI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,3,0,0,0,0,0,5
SORATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,2,0,3,0,1,0,0,0,0,0,6
SUCRE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,4,0,23,0,7,0,0,0,0,0,34
TACACOMA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
TARATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
TARIJA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,56,0,21,1,0,0,0,0,79
TIAHUANACU,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
TINGUIPAYA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,3,1,0,0,0,0,6
TIQUIPAYA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,5,2,1,0,0,0,0,0,9
TIRAQUE (CBBA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
TOCO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
TOLEDO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,2,0,0,0,0,0,3
TRINIDAD,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,6,0,17,0,26,1,5,0,0,0,55
TUPIZA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,2,0,0,0,0,0,3
UNCIA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,3,0,6,0,5,0,0,0,15
UYUNI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,2,2,1,0,0,0,7
VIACHA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,3,3,7,1,0,0,0,0,15
VILA VILA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,1,1,0,2,0,0,0,0,0,4
VILLA CHARCAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
VILLA MONTES,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,4,0,5,0,1,0,0,0,0,0,10
VILLA TUNARI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,2,0,4,0,0,0,0,0,6
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
VILLAZON,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,3,0,2,0,0,0,0,0,5
VINTO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,7,1,1,1,0,0,0,0,10
VITICHI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
WARNES,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,11,0,37,0,6,0,0,0,0,0,54
YACO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
YACUIBA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,3,0,3,0,0,0,0,0,7
YAMPARAEZ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
YANACACHI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
YAPACANI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,21,0,10,4,15,10,0,7,0,0,0,67
YOCALLA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1
YOTALA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
ACHACACHI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,5,0,0,0,0,0,5
ACHOCALLA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,5,0,0,0,0,0,5
AIQUILE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ANDAMARCA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,1
APOLO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,1,0,1,0,0,0,0,0,0,0,2
ARQUE,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,1,0,0,0,1,0,0,0,0,0,2
ASCENCION DE GUARAYOS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,3,0,14,0,0,0,0,0,0,0,17
ATOCHA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,1,0,5,0,0,0,0,0,6
AYATA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
BATALLAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,2,0,1,0,0,0,0,0,3
BAURES,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2
BELEN DE URMIRI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,9,0,1,0,0,0,0,0,10
BETANZOS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,2,0,1,0,0,0,0,0,0,0,3
BOLIVAR,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,2,0,0,0,0,0,0,0,0,0,2
BUENA VISTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,3,0,0,0,4
CABEZAS,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,1,0,7,0,1,0,0,0,9
"CAIZA ""D""",consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CALACOTO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,1
CAMIRI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CAPINOTA,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,2
CAQUIAVIRI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,1
CARACOLLO,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,5,0,2,0,0,0,0,0,0,0,7
CARANAVI,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
CARMEN RIVERO TORREZ,consultas prenatales,nuevas en el 3er trimestre del embarazo,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1
