,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL 10 A 14,MUJERES CON 4TA CONSULTA PRENATAL 10 A 14,MUJERES CON 4TA CONSULTA PRENATAL 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL 20 A 34,MUJERES CON 4TA CONSULTA PRENATAL 20 A 34,MUJERES CON 4TA CONSULTA PRENATAL 35 A 49,MUJERES CON 4TA CONSULTA PRENATAL 35 A 49,MUJERES CON 4TA CONSULTA PRENATAL 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL < A 10,MUJERES CON 4TA CONSULTA PRENATAL < A 10,TOTALES
COLLANA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,9,1,19,0,3,0,0,0,0,0,32
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,5,0,1,0,0,0,0,0,0,0,7
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,5,1,10,2,2,0,0,0,0,0,20
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,3,0,1,0,0,0,0,0,5
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,4,3,6,0,0,0,0,0,0,13
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,8,0,3,0,0,0,0,0,12
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,14,0,52,0,5,0,0,0,0,0,71
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,6,0,5,0,0,0,0,0,11
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,3,0,4,0,0,0,0,0,10
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,3,0,0,0,0,0,0,0,4
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,10,0,4,0,0,0,0,0,14
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,1,1,0,0,0,0,4
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,7,1,7,0,0,0,0,0,17
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,8,0,56,0,23,0,5,0,0,0,92
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,1,13,0,1,0,0,0,0,0,15
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,1,1,2,0,0,0,0,0,0,4
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,1,11,0,1,1,0,0,0,0,16
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,4,0,0,0,0,0,7
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,4,0,47,16,502,111,168,37,0,0,0,0,885
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,5,0,1,0,0,0,0,0,8
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,4,1,1,1,0,0,0,0,7
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,12,0,38,0,12,0,0,0,0,0,62
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,10,0,0,0,0,0,0,0,13
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,7,0,20,0,8,0,0,0,0,0,35
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,5,0,0,0,0,0,0,0,6
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,1,0,7,0,4,0,0,0,0,0,13
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,3,0,1,0,0,0,4
GAIOC JATUN AYLLU YURA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,3,0,1,0,0,0,7
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,22,1,2,0,0,0,0,0,26
GIA-TIM,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,0,2,0,0,0,0,2
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,6,0,1,0,0,0,0,0,9
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,7,0,9,0,1,0,0,0,0,0,17
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,7,0,2,0,0,0,0,0,10
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,16,0,38,0,13,0,4,0,0,0,72
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,18,0,1,0,0,0,0,0,20
HUACARAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,2,0,1,0,0,0,5
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,2,0,4,0,0,0,0,0,7
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
HUACHACALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,18,0,2,0,0,0,0,0,21
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,2,0,1,0,0,0,0,0,4
HUATAJATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,2,0,0,0,0,3
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,2
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,1,1,1,0,1,0,0,0,0,5
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,6,3,2,0,0,0,0,0,14
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,1,1,0,0,0,0,5
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,10,0,2,1,0,0,0,0,13
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,3,0,1,0,0,0,0,0,5
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,11,0,8,0,0,0,0,0,19
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,6,0,38,1,9,0,0,0,0,0,54
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,6,0,76,0,16,0,0,0,0,0,98
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,26,0,333,0,206,0,0,0,0,0,565
LA RIVERA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,0,0,1,0,1,2,0,0,0,0,5
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,8,0,2,0,0,0,0,0,11
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,6,0,30,0,7,1,0,0,0,0,44
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,6,0,0,0,0,0,0,0,6
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,1,0,5,0,3,0,0,0,0,0,10
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,9,0,8,0,1,0,0,0,20
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,10,0,1,0,0,0,0,0,13
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,2
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,17,0,0,0,0,0,0,0,19
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,10,1,3,0,0,0,0,0,14
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,4,0,12,0,1,0,0,0,0,0,1,0,18
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,8,1,6,0,0,0,0,0,16
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,6,0,1,2,0,0,0,0,10
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,1,5,0,0,0,0,0,9
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,4,0,8,0,5,0,0,0,0,0,17
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,17,0,131,0,45,0,7,0,0,0,200
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,2,1,0,0,0,0,5
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,0,0,0,0,1,0,0,0,4
NAZACARA DE PACAJES,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,5,2,1,0,0,0,0,0,10
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,4,0,9,0,2,0,0,0,0,0,15
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,4,0,0,0,0,0,0,0,4
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,2,0,21,1,292,5,89,1,0,0,0,0,411
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,16,1,2,0,0,0,0,0,22
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,1,2,0,1,0,0,0,0,0,5
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,11,15,0,6,0,0,0,0,34
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,4,1,0,0,0,0,8
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,28,0,2,0,0,0,0,0,33
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,5,0,1,0,0,0,0,0,8
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,1,0,0,0,0,0,4
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,6,0,17,0,3,0,0,0,0,0,26
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,2,0,0,0,0,0,5
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,3,5,3,0,0,0,0,0,0,13
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,3,3,0,2,2,0,0,0,0,10
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,2,1,6,1,0,0,0,0,0,10
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,3,0,3,0,0,0,0,0,6
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,9,0,4,0,0,0,0,0,15
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,1,3,2,2,1,0,0,0,0,11
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,3,0,7,0,2,0,0,0,0,0,12
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,5,0,0,0,0,0,0,0,7
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,1,0,1,0,0,0,0,0,3
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,30,1,203,8,144,0,13,0,0,0,399
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,1,0,0,1,0,0,0,0,0,3
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,12,0,4,0,0,0,0,0,17
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,0,0,0,0,4,0,0,0,0,0,4
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,3,0,1,0,0,0,0,0,6
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,1,0,5,0,0,0,0,0,0,0,7
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,2,0,0,0,0,0,0,0,3
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,1,4,4,11,13,3,5,0,0,0,0,41
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,9,0,1,0,0,0,0,0,12
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,17,0,39,0,5,0,0,0,0,0,62
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,1,0,17,0,53,0,10,0,1,0,0,0,82
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,2,0,7,0,2,0,0,0,0,0,11
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,21,1,7,0,0,0,0,0,30
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,9,6,95,13,22,7,0,0,0,0,152
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,2,0,2,0,0,0,0,0,5
RAQAYPAMPA(ETA),consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2024-01-01,0,0,1,1,1,0,0,0,0,0,0,0,3
