,group,variable,month,REPETIDAS 10 A 14,REPETIDAS 10 A 14,REPETIDAS 15 A 19,REPETIDAS 15 A 19,REPETIDAS 20 A 34,REPETIDAS 20 A 34,REPETIDAS 35 A 49,REPETIDAS 35 A 49,REPETIDAS 50 Y +,REPETIDAS 50 Y +,REPETIDAS < A 10,REPETIDAS < A 10,TOTALES
CORQUE,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,0,8,1,0,0,0,0,11
COTAGAITA,consultas prenatales,repetidas,2024-01-01,0,0,14,0,49,2,22,1,1,0,0,0,89
COTOCA,consultas prenatales,repetidas,2024-01-01,0,1,37,0,267,1,135,0,22,1,0,0,464
CUATRO CAÑADAS,consultas prenatales,repetidas,2024-01-01,1,0,10,1,87,0,6,0,0,0,0,0,105
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2024-01-01,0,0,2,0,7,0,3,0,0,0,0,0,12
CUEVO,consultas prenatales,repetidas,2024-01-01,0,0,1,1,2,2,0,0,0,0,0,0,6
CULPINA,consultas prenatales,repetidas,2024-01-01,0,0,4,3,42,5,10,3,0,0,0,0,67
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2024-01-01,0,0,0,0,5,0,0,1,0,0,0,0,6
CURVA,consultas prenatales,repetidas,2024-01-01,0,0,2,0,2,0,2,1,0,0,0,0,7
DESAGUADERO,consultas prenatales,repetidas,2024-01-01,0,0,4,0,21,0,8,0,0,0,0,0,33
EL ALTO,consultas prenatales,repetidas,2024-01-01,7,2,472,92,3184,604,1304,183,0,0,0,0,5848
EL CHORO,consultas prenatales,repetidas,2024-01-01,0,0,0,0,1,0,5,0,0,0,0,0,6
EL PUENTE(STC),consultas prenatales,repetidas,2024-01-01,4,0,13,0,35,0,10,0,0,0,0,0,62
EL PUENTE(TJA),consultas prenatales,repetidas,2024-01-01,0,0,1,1,17,2,10,0,0,0,0,0,31
EL TORNO,consultas prenatales,repetidas,2024-01-01,1,0,42,0,189,0,103,0,18,0,0,0,353
EL VILLAR,consultas prenatales,repetidas,2024-01-01,0,0,2,0,4,1,6,2,0,0,0,0,15
ENTRE RIOS TRJ,consultas prenatales,repetidas,2024-01-01,1,0,7,0,44,1,10,1,0,0,0,0,64
ENTRE RIOS CBBA,consultas prenatales,repetidas,2024-01-01,1,0,54,0,228,2,47,0,0,0,0,0,332
ESCOMA,consultas prenatales,repetidas,2024-01-01,0,0,2,0,6,0,2,0,0,0,0,0,10
EUCALIPTUS,consultas prenatales,repetidas,2024-01-01,0,0,4,0,15,0,3,0,0,0,0,0,22
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2024-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2
EXALTACION,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
FERNANDEZ ALONSO,consultas prenatales,repetidas,2024-01-01,1,0,7,0,33,1,23,1,3,0,0,0,69
FILADELFIA,consultas prenatales,repetidas,2024-01-01,1,0,0,0,3,0,24,0,3,0,0,0,31
GAIOC JATUN AYLLU YURA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,6,0,7,2,2,0,0,0,17
GENERAL SAAVEDRA,consultas prenatales,repetidas,2024-01-01,1,0,10,0,68,1,8,0,0,0,0,0,88
GIA-TIM,consultas prenatales,repetidas,2024-01-01,0,0,0,0,0,0,3,2,0,0,0,0,5
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2024-01-01,0,0,8,0,27,1,5,0,0,0,0,0,41
GUANAY,consultas prenatales,repetidas,2024-01-01,0,0,13,2,43,2,4,0,0,0,0,0,64
GUAQUI,consultas prenatales,repetidas,2024-01-01,0,0,6,0,18,0,6,0,0,0,0,0,30
GUAYARAMERIN,consultas prenatales,repetidas,2024-01-01,4,0,43,0,170,0,59,0,6,0,0,0,282
GUTIERREZ,consultas prenatales,repetidas,2024-01-01,0,0,7,0,49,0,7,0,0,0,0,0,63
HUACARAJE,consultas prenatales,repetidas,2024-01-01,0,0,0,0,5,0,10,0,3,0,0,0,18
HUACARETA,consultas prenatales,repetidas,2024-01-01,0,0,7,0,17,0,12,0,0,0,0,0,36
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2024-01-01,0,0,0,0,4,1,5,1,0,0,0,0,11
HUACHACALLA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,2
HUANUNI,consultas prenatales,repetidas,2024-01-01,0,0,11,0,91,0,10,0,0,0,0,0,112
HUARINA,consultas prenatales,repetidas,2024-01-01,0,0,4,0,13,0,4,1,0,0,0,0,22
HUATAJATA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,5,0,0,0,0,0,0,0,6
HUAYLLAMARCA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,8,1,1,2,0,0,0,0,13
HUMANATA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,4,0,3,2,0,0,0,0,10
ICHOCA,consultas prenatales,repetidas,2024-01-01,0,0,2,0,4,3,1,3,0,0,0,0,13
ICLA,consultas prenatales,repetidas,2024-01-01,0,0,6,2,7,1,2,2,0,0,0,0,20
INCAHUASI,consultas prenatales,repetidas,2024-01-01,0,0,17,3,31,14,8,4,0,0,0,0,77
INGAVI (HUMAITA),consultas prenatales,repetidas,2024-01-01,0,0,0,0,7,0,0,0,0,0,0,0,7
INQUISIVI,consultas prenatales,repetidas,2024-01-01,0,0,3,0,17,1,8,10,0,0,0,0,39
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2024-01-01,0,0,4,1,44,5,6,4,0,0,0,0,64
IXIAMAS,consultas prenatales,repetidas,2024-01-01,3,0,9,0,26,0,9,0,0,0,0,0,47
JESUS DE MACHACA,consultas prenatales,repetidas,2024-01-01,0,0,4,0,27,0,12,0,0,0,0,0,43
LA ASUNTA,consultas prenatales,repetidas,2024-01-01,2,0,30,1,180,6,42,0,0,0,0,0,261
LA GUARDIA,consultas prenatales,repetidas,2024-01-01,2,0,55,0,339,0,82,0,0,0,0,0,478
LA PAZ,consultas prenatales,repetidas,2024-01-01,2,0,161,0,2311,2,1610,0,1,0,0,0,4087
LA RIVERA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,2,0,0,0,0,0,0,0,3
LAGUNILLAS,consultas prenatales,repetidas,2024-01-01,0,0,0,0,1,2,15,12,1,0,0,0,31
LAJA,consultas prenatales,repetidas,2024-01-01,0,0,13,11,58,1,13,1,0,0,0,0,97
LAS CARRERAS,consultas prenatales,repetidas,2024-01-01,0,0,1,0,7,0,1,1,0,0,0,0,10
LICOMA PAMPA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,1,0,9,0,0,0,0,0,10
LLALLAGUA,consultas prenatales,repetidas,2024-01-01,0,0,25,2,160,0,104,4,22,0,0,0,317
LLICA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,3,2,6,1,0,0,0,0,12
LORETO,consultas prenatales,repetidas,2024-01-01,1,0,3,0,11,0,0,0,0,0,0,0,15
LURIBAY,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,0,20,0,0,0,0,0,22
MACHACAMARCA,consultas prenatales,repetidas,2024-01-01,0,0,0,1,19,0,2,0,0,0,0,0,22
MACHARETI,consultas prenatales,repetidas,2024-01-01,1,0,7,0,17,0,5,0,0,0,0,0,30
MAGDALENA,consultas prenatales,repetidas,2024-01-01,0,0,10,0,35,1,22,0,3,0,0,0,71
MAIRANA,consultas prenatales,repetidas,2024-01-01,0,0,20,0,54,0,10,0,0,0,0,0,84
MALLA,consultas prenatales,repetidas,2024-01-01,0,0,4,0,3,2,0,0,0,0,0,0,9
MAPIRI,consultas prenatales,repetidas,2024-01-01,0,0,24,0,87,2,14,0,0,0,0,0,127
MECAPACA,consultas prenatales,repetidas,2024-01-01,0,0,4,0,27,1,21,2,0,0,0,0,55
MINEROS,consultas prenatales,repetidas,2024-01-01,14,0,69,1,15,1,5,0,3,0,1,0,109
MIZQUE,consultas prenatales,repetidas,2024-01-01,1,0,22,0,66,3,22,1,0,0,0,0,115
MOCOMOCO,consultas prenatales,repetidas,2024-01-01,0,0,6,1,20,5,3,3,0,0,0,0,38
MOJINETE,consultas prenatales,repetidas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
MOJOCOYA,consultas prenatales,repetidas,2024-01-01,1,0,0,1,7,1,18,0,2,0,0,0,30
MONTEAGUDO,consultas prenatales,repetidas,2024-01-01,2,0,13,0,75,1,31,1,0,0,0,0,123
MONTERO,consultas prenatales,repetidas,2024-01-01,2,0,88,1,521,1,255,0,19,0,0,0,887
MORO MORO,consultas prenatales,repetidas,2024-01-01,0,0,0,0,7,2,0,0,0,0,0,0,9
MOROCHATA,consultas prenatales,repetidas,2024-01-01,0,0,3,0,14,1,14,2,0,0,0,0,34
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2024-01-01,0,0,5,0,9,0,2,0,3,0,0,0,19
NAZACARA DE PACAJES,consultas prenatales,repetidas,2024-01-01,0,0,0,0,6,0,1,0,0,0,0,0,7
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1
OCURI,consultas prenatales,repetidas,2024-01-01,1,0,13,2,32,7,9,3,0,0,0,0,67
OKINAWA,consultas prenatales,repetidas,2024-01-01,0,0,14,0,38,0,7,0,0,0,2,0,61
OMEREQUE,consultas prenatales,repetidas,2024-01-01,0,0,3,0,17,0,1,0,0,0,0,0,21
ORURO,consultas prenatales,repetidas,2024-01-01,13,0,187,9,2046,37,554,6,0,0,0,0,2852
PADCAYA,consultas prenatales,repetidas,2024-01-01,0,0,11,0,49,1,12,0,0,0,0,0,73
PADILLA,consultas prenatales,repetidas,2024-01-01,1,0,5,1,14,0,9,0,0,0,0,0,30
PAILON,consultas prenatales,repetidas,2024-01-01,0,0,12,2,34,96,0,14,0,0,0,0,158
PALCA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,10,1,30,3,0,0,0,0,44
PALOS BLANCOS,consultas prenatales,repetidas,2024-01-01,1,0,21,0,118,0,32,0,0,0,0,0,172
PAMPA AULLAGAS,consultas prenatales,repetidas,2024-01-01,0,0,0,0,6,0,3,0,0,0,0,0,9
PAMPA GRANDE,consultas prenatales,repetidas,2024-01-01,0,0,4,0,18,0,7,0,0,0,0,0,29
PAPEL PAMPA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,11,1,2,0,0,0,0,0,14
PASORAPA,consultas prenatales,repetidas,2024-01-01,0,0,2,0,4,0,2,0,0,0,0,0,8
PATACAMAYA,consultas prenatales,repetidas,2024-01-01,0,0,28,0,107,0,25,0,0,0,0,0,160
PAZÑA,consultas prenatales,repetidas,2024-01-01,0,0,1,0,13,0,12,0,0,0,0,0,26
PELECHUCO,consultas prenatales,repetidas,2024-01-01,0,0,4,0,21,0,9,1,2,0,0,0,37
POCOATA,consultas prenatales,repetidas,2024-01-01,1,0,13,10,46,10,5,5,0,0,0,0,90
POCONA,consultas prenatales,repetidas,2024-01-01,0,1,1,5,12,7,7,4,0,0,0,0,37
POJO (CBBA),consultas prenatales,repetidas,2024-01-01,0,0,7,4,13,25,3,1,0,0,0,0,53
POOPO,consultas prenatales,repetidas,2024-01-01,0,0,0,0,8,0,23,0,0,0,0,0,31
PORCO,consultas prenatales,repetidas,2024-01-01,0,0,22,1,54,5,16,2,2,2,0,0,104
POROMA,consultas prenatales,repetidas,2024-01-01,0,0,13,5,12,7,8,5,0,0,0,0,50
PORONGO,consultas prenatales,repetidas,2024-01-01,0,0,9,0,25,0,9,0,0,0,0,0,43
PORTACHUELO,consultas prenatales,repetidas,2024-01-01,0,0,4,0,14,0,1,0,0,0,0,0,19
PORVENIR,consultas prenatales,repetidas,2024-01-01,0,0,4,0,7,0,3,0,0,0,0,0,14
POSTRER VALLE,consultas prenatales,repetidas,2024-01-01,0,0,1,0,5,0,2,0,0,0,0,0,8
POTOSI,consultas prenatales,repetidas,2024-01-01,3,0,141,4,949,27,481,1,46,0,0,0,1652
PRESTO,consultas prenatales,repetidas,2024-01-01,0,0,3,1,2,3,5,2,0,0,0,0,16
PUCARA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2
PUCARANI,consultas prenatales,repetidas,2024-01-01,0,0,12,0,85,0,17,0,1,0,0,0,115
PUERTO ACOSTA,consultas prenatales,repetidas,2024-01-01,0,0,2,0,11,1,6,0,0,0,0,0,20
PUERTO CARABUCO,consultas prenatales,repetidas,2024-01-01,0,0,4,0,22,3,7,0,0,0,0,0,36
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2024-01-01,1,0,6,0,28,0,5,0,0,0,0,0,40
PUERTO PEREZ,consultas prenatales,repetidas,2024-01-01,0,0,6,0,15,0,1,0,0,0,0,0,22
PUERTO QUIJARRO,consultas prenatales,repetidas,2024-01-01,1,0,15,0,53,0,14,0,0,0,0,0,83
PUERTO RICO,consultas prenatales,repetidas,2024-01-01,1,0,10,0,23,0,4,0,0,0,0,0,38
PUERTO SUAREZ,consultas prenatales,repetidas,2024-01-01,0,0,64,0,188,1,5,0,0,0,0,0,258
PUERTO VILLARROEL,consultas prenatales,repetidas,2024-01-01,20,0,127,0,430,0,91,0,1,0,0,0,669
PUNA,consultas prenatales,repetidas,2024-01-01,1,0,11,0,32,3,8,1,0,0,0,0,56
PUNATA,consultas prenatales,repetidas,2024-01-01,1,0,16,3,177,18,53,1,0,0,0,0,269
QUIABAYA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,3
QUILLACOLLO,consultas prenatales,repetidas,2024-01-01,2,0,63,19,515,99,102,26,0,0,0,0,826
QUIME,consultas prenatales,repetidas,2024-01-01,0,0,2,0,21,2,6,0,0,0,0,0,31
QUIRUSILLAS,consultas prenatales,repetidas,2024-01-01,0,0,0,0,3,0,0,0,0,0,0,0,3
RAQAYPAMPA(ETA),consultas prenatales,repetidas,2024-01-01,0,0,4,0,7,0,3,0,0,0,0,0,14
RAVELO,consultas prenatales,repetidas,2024-01-01,0,0,4,1,8,1,7,3,0,0,0,0,24
REYES,consultas prenatales,repetidas,2024-01-01,0,0,2,0,11,0,37,0,6,0,0,0,56
RIBERALTA,consultas prenatales,repetidas,2024-01-01,6,0,149,0,449,0,207,0,0,0,0,0,811
ROBORE,consultas prenatales,repetidas,2024-01-01,0,0,4,0,24,0,33,0,9,0,0,0,70
RURRENABAQUE,consultas prenatales,repetidas,2024-01-01,0,0,24,0,89,0,14,0,2,0,0,0,129
SABAYA,consultas prenatales,repetidas,2024-01-01,0,0,1,1,13,1,0,0,0,0,0,0,16
SACABA,consultas prenatales,repetidas,2024-01-01,6,0,113,5,650,37,202,9,18,1,0,0,1041
SACABAMBA,consultas prenatales,repetidas,2024-01-01,0,0,3,0,3,1,1,0,0,0,0,0,8
SACACA,consultas prenatales,repetidas,2024-01-01,1,0,10,5,29,5,8,4,0,0,0,0,62
SAIPINA,consultas prenatales,repetidas,2024-01-01,0,4,0,18,1,2,0,0,0,0,0,0,25
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2024-01-01,0,0,3,0,18,8,2,0,0,0,0,0,31
SAMAIPATA,consultas prenatales,repetidas,2024-01-01,1,0,9,0,39,0,8,0,0,0,0,0,57
SAN AGUSTIN,consultas prenatales,repetidas,2024-01-01,0,0,1,0,2,0,2,0,0,0,0,0,5
SAN ANDRES,consultas prenatales,repetidas,2024-01-01,5,0,1,0,21,0,12,0,2,0,0,0,41
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2024-01-01,0,0,0,0,4,1,4,1,0,0,0,0,10
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2024-01-01,0,0,0,0,1,0,2,0,0,0,0,0,3
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2024-01-01,0,0,4,0,16,1,4,1,2,0,0,0,28
SAN BENITO,consultas prenatales,repetidas,2024-01-01,0,0,6,0,29,0,11,0,0,0,0,0,46
SAN BORJA,consultas prenatales,repetidas,2024-01-01,0,0,9,0,50,4,147,8,15,3,0,0,236
SAN BUENA VENTURA,consultas prenatales,repetidas,2024-01-01,0,0,13,0,53,0,10,0,0,0,0,0,76
SAN CARLOS,consultas prenatales,repetidas,2024-01-01,1,0,1,0,7,0,72,4,6,0,0,0,91
SAN IGNACIO,consultas prenatales,repetidas,2024-01-01,0,0,17,0,43,0,31,0,7,0,0,0,98
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2024-01-01,0,0,38,2,171,3,127,1,14,0,0,0,356
SAN JAVIER(BNI),consultas prenatales,repetidas,2024-01-01,0,0,0,0,4,0,8,0,0,0,0,0,12
SAN JAVIER(STC),consultas prenatales,repetidas,2024-01-01,0,0,9,0,47,0,8,0,0,0,0,0,64
SAN JOAQUIN,consultas prenatales,repetidas,2024-01-01,0,0,0,0,7,5,28,7,4,0,0,0,51
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2024-01-01,1,0,29,0,59,0,12,0,0,0,0,0,101
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2024-01-01,0,0,0,0,2,1,6,1,1,0,0,0,11
SAN JULIAN,consultas prenatales,repetidas,2024-01-01,2,0,34,0,199,0,57,0,4,0,0,0,296
SAN LORENZO(PND),consultas prenatales,repetidas,2024-01-01,0,0,7,0,15,3,13,1,0,0,0,0,39
SAN LORENZO(TJA),consultas prenatales,repetidas,2024-01-01,1,0,8,1,70,2,16,1,0,0,0,0,99
SAN LUCAS,consultas prenatales,repetidas,2024-01-01,0,0,21,5,71,6,16,2,0,0,0,0,121
SAN MATIAS,consultas prenatales,repetidas,2024-01-01,0,0,21,0,78,0,19,0,0,0,0,0,118
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2024-01-01,3,0,22,2,50,0,12,2,0,0,0,0,91
