,group,variable,month,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE A. < 15,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE B. 15 A 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE C. 20 - 34,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE D. 35 - 49,INTERRUPCIONES LEGALES DEL EMBARAZO POR RIESGO DE SALUD DE LA MADRE E. 50 Y MAS,TOTALES
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-06-01,0,4,13,1,0,18
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-07-01,0,0,0,3,0,3
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-07-01,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-07-01,0,0,6,0,0,6
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-07-01,0,2,25,4,0,31
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-08-01,0,0,3,3,0,6
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-08-01,0,2,14,4,0,20
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-08-01,0,5,7,3,0,15
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-09-01,0,0,2,1,0,3
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-09-01,0,3,3,10,0,16
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-09-01,0,4,25,7,0,36
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-09-01,0,3,33,2,0,38
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-09-01,0,5,7,3,0,15
CHULUMANI (V. DE LA LIBERTAD),interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,1,0,2,1,0,4
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,0,3,2,10,0,15
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,0,4,17,0,0,21
SAN JOAQUIN,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,0,0,1,0,0,1
SAN LUCAS,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,0,1,6,1,0,8
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-10-01,1,7,22,1,0,31
CHULUMANI (V. DE LA LIBERTAD),interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,1,0,0,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,0,4,2,0,6
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,3,7,2,0,12
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,5,15,2,0,22
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,1,25,4,0,30
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,6,23,1,0,30
TRINIDAD,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,1,0,1,0,2
YACUIBA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-11-01,0,0,1,0,0,1
EL ALTO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-12-01,0,1,1,3,0,5
ORURO,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-12-01,0,0,1,0,0,1
POTOSI,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-12-01,0,2,19,8,0,29
SANTA CRUZ DE LA SIERRA,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-12-01,0,0,17,18,0,35
SUCRE,interrupcion legal del embarazo,interrupciones legales del embarazo por riesgo de salud de la madre,2023-12-01,0,8,19,0,0,27
