municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,162,162
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,74,74
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,10,10
TINGUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,6,6
TOTORA(CBBA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,23,23
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,56,56
TURCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
URUBICHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
VIACHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
VILLA CHARCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,2,2
VILLA SERRANO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,23,23
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,24,24
YOCALLA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
YUNCHARA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-01-01,1,1
ANCORAIMES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
ARQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,4,4
AYO AYO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,7,7
AZURDUY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
BELLA FLOR,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,6,6
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
CARAPARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,33,33
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,17,17
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,17,17
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,19,19
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,9,9
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,17,17
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,4,4
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
HUACARETA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,5,5
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
HUATAJATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,5,5
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
INQUISIVI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
IXIAMAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,291,291
LAJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
LURIBAY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,14,14
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,8,8
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,119,119
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
OCURI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,903,903
PADILLA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,21,21
PAMPA GRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
POCOATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
POJO (CBBA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,26,26
PRESTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
PUERTO GONZALO MORENO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
PUERTO SILES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
PUNATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
QUIABAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,19,19
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,20,20
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
SALINAS DE GARCI MENDOZA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,25,25
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
SAN MATIAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,6,6
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,4,4
SAN PEDRO DE BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,45,45
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,4,4
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,188,188
TACACOMA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,4,4
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,59,59
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,16,16
TINGUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
TIPUANI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
TIRAQUE (CBBA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
TOLATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,24,24
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,54,54
URIONDO (A. CONCEPCION),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
VILLA CHARCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
VILLA NUEVA (LOMA ALTA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,33,33
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
VITICHI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,16,16
YAMPARAEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,2,2
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
YOCALLA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-02-01,1,1
ALCALA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,4,4
ANCORAIMES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
ARQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
AUCAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
AYO AYO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
AZURDUY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,16,16
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,4,4
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
CARAPARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
CLIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,125,125
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,6,6
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,21,21
COLQUECHACA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
COMBAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,9,9
CULPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,17,17
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
EL PUENTE(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
EL VILLAR,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
ESCOMA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
GUTIERREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,6,6
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,385,385
LURIBAY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,6,6
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,4,4
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,217,217
OKINAWA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
OMEREQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,130,130
PADILLA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,31,31
PAILON,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
PALCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
PAMPA GRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
POCOATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
PORCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
PORONGO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
POSTRER VALLE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,69,69
PRESTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
PUERTO GONZALO MORENO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
PUERTO SILES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,16,16
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
RAVELO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,6,6
RURRENABAQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,14,14
SACABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
SAN BORJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
SAN BUENA VENTURA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,35,35
SAN JAVIER(BNI),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
SAN JOSE DE CHIQUITOS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
SAN JULIAN,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
SAN LORENZO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
SAN MATIAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,4,4
SAN PEDRO(PND),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,68,68
SICA SICA (VILLA AROMA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,153,153
TACACOMA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,5,5
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,59,59
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,7,7
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,4,4
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,23,23
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,56,56
URUBICHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
VACAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
VALLEGRANDE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
VIACHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
VILLA CHARCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,2,2
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,25,25
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,8,8
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,59,59
YUNCHARA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
ZUDAÑEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2013-03-01,1,1
ACACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,1,1
ACHACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,1,1
ALCALA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,6,6
ANCORAIMES,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,1,1
ANDAMARCA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,1,1
ARQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,14,14
AUCAPATA,referencias y retornos,pacientes retornados al establecimiento de origen,2013-04-01,2,2
