,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,3,2,3,5
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,29,6,29,6,35
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,48,12,48,12,60
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,19,8,19,8,27
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,2,1,2,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,27,3,27,3,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,11,2,11,13
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,10,7,10,7,17
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,10,0,10,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,74,25,74,25,99
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,31,9,31,9,40
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,3,13,3,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,6,1,6,7
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,50,1,50,1,51
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,0,4,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,3,4,3,7
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,8,0,8,8
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,17,13,17,30
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,18,22,18,22,40
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,24,4,24,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,11,8,11,19
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,0,7,0,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,7,11,7,18
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,70,16,70,16,86
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,116,11,116,11,127
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1434,37,1434,37,1471
LA RIVERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,7,5,7,12
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,19,13,19,13,32
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,0,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,68,43,68,43,111
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,1,4,1,5
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,3,0,3,3
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,5,2,5,7
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,10,0,10,0,10
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,7,6,7,13
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,17,4,17,4,21
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,4,0,4,4
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,22,7,22,7,29
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,6,11,6,17
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,42,13,42,13,55
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,31,41,31,41,72
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,12,11,12,23
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,13,9,13,22
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,33,10,33,10,43
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,184,8,184,8,192
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,31,44,31,44,75
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,10,33,10,33,43
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,27,7,27,7,34
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,9,3,9,12
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,523,34,523,34,557
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,5,8,5,13
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,3,12,3,15
PAILON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,36,11,36,11,47
PALCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,20,2,20,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,44,1,44,1,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,1,11,1,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,6,1,6,7
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,27,12,27,12,39
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,6,3,6,9
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,5,5,5,10
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,28,4,28,32
POCONA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,28,15,28,15,43
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,14,11,14,11,25
POOPO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,17,5,17,5,22
PORCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,38,5,38,5,43
POROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,22,15,22,37
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,6,8,6,14
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,33,2,33,2,35
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,0,7,0,7
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,471,15,471,15,486
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,6,9,6,9,15
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,2,1,2,3
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,46,22,46,22,68
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,17,15,17,32
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,15,4,15,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,2,0,2,2
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,4,0,4,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,17,12,17,12,29
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,1,9,1,10
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,35,3,35,3,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,82,7,82,7,89
PUNA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,33,34,33,34,67
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,51,4,51,4,55
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,150,10,150,10,160
QUIME,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,17,11,17,28
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,12,8,12,20
REYES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,19,0,19,0,19
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,213,17,213,17,230
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,14,7,14,21
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,37,5,37,5,42
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,0,4,0,4
SACABA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,236,66,236,66,302
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,5,2,5,7
SACACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,29,8,29,37
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2,6,2,6,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,7,8,7,15
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,3,9,3,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,15,5,15,5,20
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,2,3,2,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,10,4,10,14
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,16,6,16,6,22
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,59,9,59,9,68
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,20,4,20,4,24
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,28,3,28,3,31
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,27,18,27,18,45
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,90,11,90,11,101
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,2,3,2,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,20,4,20,4,24
SAN JOAQUIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,2,4,2,6
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,27,15,27,15,42
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,4,13,4,17
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,53,13,53,13,66
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,0,8,0,8
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,6,21,6,27
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,30,45,30,45,75
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,28,3,28,3,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,12,3,12,3,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,5,0,5,5
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,19,3,19,3,22
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,13,42,13,42,55
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,5,1,5,6
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,5,6,5,6,11
SAN RAFAEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,9,2,9,2,11
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,2,8,2,10
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,24,0,24,0,24
SANTA ANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,24,2,24,2,26
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,2547,208,2547,208,2755
SANTA ROSA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,20,5,20,5,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,21,5,21,5,26
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,3,6,3,6,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,12,1,12,13
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,0,6,0,6,6
SANTIVAÑES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,4,4,4,4,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,7,1,7,1,8
SAPAHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,8,8,8,8,16
SENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,10,1,10,1,11
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,25,14,25,14,39
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,1,2,1,2,3
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,50,3,50,3,53
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-01-01,11,6,11,6,17
