,group,variable,month,BCG,BCG,TOTALES,TOTALES,TOTALES
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,26,7,26,33
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2009-01-01,0,9,0,9,9
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,0,3,0,3
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,9,3,9,12
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,62,19,62,19,81
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2009-01-01,80,5,80,5,85
LA PAZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,1914,1,1914,1,1915
LA RIVERA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,4,2,4,6
LAJA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,29,3,29,32
LAS CARRERAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,1,2,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,3,4,3,7
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2009-01-01,51,57,51,57,108
LLICA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,7,0,7,7
LURIBAY,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,14,3,14,17
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,1,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,3,7,3,10
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,5,8,5,13
MAIRANA,vacunaciones en menores de 1 ano,bcg,2009-01-01,21,0,21,0,21
MALLA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,5,0,5,5
MAPIRI,vacunaciones en menores de 1 ano,bcg,2009-01-01,19,8,19,8,27
MECAPACA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,2,3,2,5
MINEROS,vacunaciones en menores de 1 ano,bcg,2009-01-01,34,3,34,3,37
MIZQUE,vacunaciones en menores de 1 ano,bcg,2009-01-01,40,20,40,20,60
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,13,2,13,15
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,7,2,7,9
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2009-01-01,35,4,35,4,39
MONTERO,vacunaciones en menores de 1 ano,bcg,2009-01-01,289,3,289,3,292
MORO MORO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,0,2,0,2
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,20,5,20,25
OCURI,vacunaciones en menores de 1 ano,bcg,2009-01-01,10,35,10,35,45
OKINAWA,vacunaciones en menores de 1 ano,bcg,2009-01-01,18,2,18,2,20
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,10,5,10,15
ORURO,vacunaciones en menores de 1 ano,bcg,2009-01-01,579,9,579,9,588
PADCAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,3,7,3,10
PADILLA,vacunaciones en menores de 1 ano,bcg,2009-01-01,15,1,15,1,16
PAILON,vacunaciones en menores de 1 ano,bcg,2009-01-01,16,9,16,9,25
PALCA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,14,1,14,15
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,33,8,33,8,41
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,2,1,2,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,4,8,4,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,2,0,2,2
PASORAPA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,2,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,24,10,24,10,34
PAZÑA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,2,3,2,5
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,9,2,9,11
POCOATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,31,3,31,34
POCONA,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,14,13,14,27
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2009-01-01,15,6,15,6,21
POOPO,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,5,8,5,13
PORCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,32,3,32,3,35
POROMA,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,10,7,10,17
PORONGO,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,6,5,6,11
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2009-01-01,42,6,42,6,48
PORVENIR,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,5,1,5,6
POTOSI,vacunaciones en menores de 1 ano,bcg,2009-01-01,452,8,452,8,460
PRESTO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,10,2,10,12
PUCARANI,vacunaciones en menores de 1 ano,bcg,2009-01-01,22,24,22,24,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,17,11,17,11,28
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,21,0,21,21
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,6,1,6,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,12,0,12,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2009-01-01,19,7,19,7,26
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,3,2,3,5
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,39,0,39,0,39
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2009-01-01,119,2,119,2,121
PUNA,vacunaciones en menores de 1 ano,bcg,2009-01-01,38,31,38,31,69
PUNATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,40,7,40,7,47
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,2,2,2,4
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2009-01-01,191,0,191,0,191
QUIME,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,17,4,17,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,0,5,0,5
RAVELO,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,3,1,3,4
REYES,vacunaciones en menores de 1 ano,bcg,2009-01-01,17,0,17,0,17
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,246,5,246,5,251
ROBORE,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,29,8,29,37
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2009-01-01,40,0,40,0,40
SABAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,1,4,1,5
SACABA,vacunaciones en menores de 1 ano,bcg,2009-01-01,215,7,215,7,222
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,1,1,1,2
SACACA,vacunaciones en menores de 1 ano,bcg,2009-01-01,18,20,18,20,38
SAIPINA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,3,2,3,5
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,12,6,12,18
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,8,7,8,15
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2009-01-01,11,1,11,1,12
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,4,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,2,4,2,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,4,3,4,7
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2009-01-01,24,0,24,0,24
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2009-01-01,64,13,64,13,77
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2009-01-01,17,6,17,6,23
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,28,6,28,6,34
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2009-01-01,32,23,32,23,55
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,125,9,125,9,134
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2009-01-01,29,4,29,4,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,10,1,10,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2009-01-01,30,19,30,19,49
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,3,8,3,11
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2009-01-01,70,16,70,16,86
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2009-01-01,5,1,5,1,6
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2009-01-01,11,2,11,2,13
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,27,26,27,26,53
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,22,4,22,4,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,2,13,2,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,5,2,5,7
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,0,13,0,13
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2009-01-01,10,24,10,24,34
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,5,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,6,3,6,9
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,0,7,0,7
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2009-01-01,23,0,23,0,23
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,6,6,6,12
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2009-01-01,28,0,28,0,28
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2768,158,2768,158,2926
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2009-01-01,11,6,11,6,17
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,6,13,6,19
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,3,2,3,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,2,1,2,3
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,6,0,6,6
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,1,2,1,3
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,4,3,4,7
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,9,5,9,14
SENA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,3,6,3,9
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2009-01-01,7,20,7,20,27
SICAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,3,3,3,6
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2009-01-01,53,2,53,2,55
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2009-01-01,14,10,14,10,24
SORACACHI,vacunaciones en menores de 1 ano,bcg,2009-01-01,5,7,5,7,12
SORATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,13,19,13,19,32
SUCRE,vacunaciones en menores de 1 ano,bcg,2009-01-01,540,7,540,7,547
TACACHI,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,8,6,8,14
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,5,4,5,9
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,16,7,16,23
TAHUA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,2,0,2,2
TAPACARI,vacunaciones en menores de 1 ano,bcg,2009-01-01,23,19,23,19,42
TARABUCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,34,10,34,10,44
TARACO,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,5,0,5,5
TARATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,12,0,12,0,12
TARIJA,vacunaciones en menores de 1 ano,bcg,2009-01-01,375,1,375,1,376
TARVITA,vacunaciones en menores de 1 ano,bcg,2009-01-01,8,6,8,6,14
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,5,7,5,12
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,9,7,9,16
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,9,38,9,38,47
TIPUANI,vacunaciones en menores de 1 ano,bcg,2009-01-01,11,2,11,2,13
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2009-01-01,93,5,93,5,98
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2009-01-01,78,12,78,12,90
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2009-01-01,2,1,2,1,3
TOCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,3,3,3,6
TOLATA,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,0,3,0,3
TOLEDO,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,1,1,1,2
TOMAVE,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,8,2,8,10
TOMINA,vacunaciones en menores de 1 ano,bcg,2009-01-01,12,4,12,4,16
TORO TORO,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,9,3,9,12
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2009-01-01,20,2,20,2,22
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2009-01-01,0,4,0,4,4
TRIGAL,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2009-01-01,251,3,251,3,254
TUPIZA,vacunaciones en menores de 1 ano,bcg,2009-01-01,62,13,62,13,75
TURCO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,0,2,0,2
UMALA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,8,0,8,8
UNCIA,vacunaciones en menores de 1 ano,bcg,2009-01-01,41,15,41,15,56
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,bcg,2009-01-01,10,4,10,4,14
URUBICHA,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,5,7,5,12
UYUNI,vacunaciones en menores de 1 ano,bcg,2009-01-01,31,1,31,1,32
VACAS,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,11,1,11,12
VALLEGRANDE,vacunaciones en menores de 1 ano,bcg,2009-01-01,24,0,24,0,24
VIACHA,vacunaciones en menores de 1 ano,bcg,2009-01-01,47,15,47,15,62
VILA VILA,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,5,4,5,9
VILLA MONTES,vacunaciones en menores de 1 ano,bcg,2009-01-01,64,2,64,2,66
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,bcg,2009-01-01,1,3,1,3,4
VILLA RIVERO,vacunaciones en menores de 1 ano,bcg,2009-01-01,3,1,3,1,4
VILLA SERRANO,vacunaciones en menores de 1 ano,bcg,2009-01-01,19,10,19,10,29
VILLA TUNARI,vacunaciones en menores de 1 ano,bcg,2009-01-01,121,8,121,8,129
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,bcg,2009-01-01,5,2,5,2,7
VILLAZON,vacunaciones en menores de 1 ano,bcg,2009-01-01,60,3,60,3,63
VINTO,vacunaciones en menores de 1 ano,bcg,2009-01-01,74,4,74,4,78
VITICHI,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,8,7,8,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,1,1,1,2
WARNES,vacunaciones en menores de 1 ano,bcg,2009-01-01,86,3,86,3,89
YACO,vacunaciones en menores de 1 ano,bcg,2009-01-01,2,7,2,7,9
YACUIBA,vacunaciones en menores de 1 ano,bcg,2009-01-01,146,6,146,6,152
YAMPARAEZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,10,1,10,1,11
YANACACHI,vacunaciones en menores de 1 ano,bcg,2009-01-01,4,2,4,2,6
YAPACANI,vacunaciones en menores de 1 ano,bcg,2009-01-01,71,3,71,3,74
YOCALLA,vacunaciones en menores de 1 ano,bcg,2009-01-01,1,9,1,9,10
YOTALA,vacunaciones en menores de 1 ano,bcg,2009-01-01,6,3,6,3,9
YUNCHARA,vacunaciones en menores de 1 ano,bcg,2009-01-01,0,7,0,7,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,bcg,2009-01-01,7,2,7,2,9
ACACIO,vacunaciones en menores de 1 ano,bcg,2009-02-01,5,7,5,7,12
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2009-02-01,29,50,29,50,79
