,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,100,4,100,4,104
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,1,4,1,5
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,28,13,28,13,41
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,48,19,48,19,67
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,8,1,8,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,22,9,22,9,31
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,21,8,21,8,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,11,3,11,14
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,12,14,12,14,26
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,9,2,9,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,67,21,67,21,88
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,17,10,17,10,27
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,8,4,8,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,5,0,5,5
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,36,2,36,2,38
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,7,1,7,8
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,9,1,9,10
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,7,4,7,11
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,24,19,24,19,43
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,0,2,0,2
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,26,6,26,32
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,12,17,12,17,29
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,0,18,0,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,6,13,6,19
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,68,12,68,12,80
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,91,14,91,14,105
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1442,42,1442,42,1484
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,6,5,6,11
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,11,16,11,16,27
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,5,4,5,9
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,56,57,56,57,113
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,0,2,0,2
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,3,0,3,3
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,7,7,7,14
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,6,7,6,13
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,6,5,6,11
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,17,11,17,11,28
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,11,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,16,3,16,3,19
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,7,10,7,17
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,29,17,29,17,46
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,14,37,14,37,51
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,12,1,12,13
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,1,6,1,7
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,43,4,43,4,47
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,189,23,189,23,212
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,2,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,21,42,21,42,63
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,2,2,2,4
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,11,28,11,28,39
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,14,8,14,8,22
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,5,3,5,8
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,483,33,483,33,516
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,7,18,7,25
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,14,8,14,8,22
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,37,16,37,16,53
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,12,5,12,17
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,26,2,26,2,28
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,2,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,4,18,4,22
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,7,0,7,7
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,3,6,3,9
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,19,10,19,10,29
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,2,7,2,9
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,11,2,11,13
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,33,5,33,38
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,11,9,11,20
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,4,20,4,24
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,3,4,3,7
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,5,20,5,25
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,10,9,10,19
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,8,9,8,17
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,25,0,25,0,25
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,0,1,0,1
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,0,5,0,5
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,381,19,381,19,400
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,10,6,10,16
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,1,2,1,3
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,27,19,27,19,46
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,12,21,12,21,33
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,15,5,15,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,2,0,2,2
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,5,0,5,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,26,9,26,9,35
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,10,1,10,1,11
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,7,20,7,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,78,8,78,8,86
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,26,34,26,34,60
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,46,3,46,3,49
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,197,13,197,13,210
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,14,7,14,21
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,8,14,8,14,22
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,21,0,21,0,21
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,224,25,224,25,249
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,17,10,17,10,27
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,3,18,3,21
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,0,4,0,4
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,214,67,214,67,281
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,4,5,4,9
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,15,15,15,15,30
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,6,9,6,15
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,7,7,7,14
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,7,2,7,2,9
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,14,12,14,12,26
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,1,4,1,4,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,2,4,2,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,8,4,8,4,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,22,11,22,11,33
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,77,8,77,8,85
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,12,13,12,25
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,20,6,20,6,26
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,35,33,35,33,68
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,92,16,92,16,108
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,2,0,2,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,23,4,23,4,27
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,2,6,2,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,35,5,35,5,40
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,17,1,17,1,18
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,66,23,66,23,89
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,1,2,1,3
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,19,8,19,8,27
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,24,30,24,30,54
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,5,18,5,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,18,5,18,5,23
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,30,0,30,0,30
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,22,6,22,28
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,6,8,6,8,14
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,2,2,2,4
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,9,2,9,2,11
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,3,3,3,6
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,22,0,22,0,22
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,35,4,35,4,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2412,205,2412,205,2617
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,6,13,6,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,26,6,26,6,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,3,3,3,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,10,5,10,15
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,0,4,0,4,4
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,3,4,3,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,2,6,2,6,8
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,9,5,9,14
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,2,13,2,15
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,19,28,19,28,47
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,3,2,3,2,5
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,57,5,57,5,62
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,5,13,5,13,18
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,4,9,4,9,13
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,13,46,13,46,59
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2009-01-01,430,30,430,30,460
